,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genre,Themes,Demographics
0,"Sorcery Fight, JJK",呪術廻戦,Jujutsu Kaisen,Jujutsu Kaisen,Jujutsu Kaisen,Jujutsu Kaisen,['TV'],24,Finished Airing,"Oct 3, 2020 to Mar 27, 2021",['Fall 2020'],Saturdays at 01:25 (JST),"['Mainichi Broadcasting System', 'TOHO animation', 'Shueisha', 'dugout', 'Sumzap']",['VIZ Media'],['MAPPA'],['Manga'],"['Action', 'Award Winning', 'Supernatural']",['School'],['Shounen'],23 min. per ep.,R - 17+ (violence & profanity),8.57,#109,#13,"2,740,023","93,063",1798795,"Idly indulging in baseless paranormal activities with the Occult Club, high schooler Yuuji Itadori spends his days at either the clubroom or the hospital, where he visits his bedridden grandfather. However, this leisurely lifestyle soon takes a turn for the strange when he unknowingly encounters a cursed item. Triggering a chain of supernatural occurrences, Yuuji finds himself suddenly thrust into the world of Curses—dreadful beings formed from human malice and negativity—after swallowing the said item, revealed to be a finger belonging to the demon Sukuna Ryoumen, the King of Curses. Yuuji experiences first-hand the threat these Curses pose to society as he discovers his own newfound powers. Introduced to the Tokyo Prefectural Jujutsu High School, he begins to walk down a path from which he cannot return—the path of a Jujutsu sorcerer. [Written by MAL Rewrite]","['Prequel (Movie) Jujutsu Kaisen 0 Movie', 'Sequel (TV) Jujutsu Kaisen 2nd Season', 'Adaptation (Manga) Jujutsu Kaisen', '']",Jujutsu Kaisen,,,
1,"Haikyu!! TO THE TOP 2nd-cour, Haikyu!! TO THE TOP Part 2",ハイキュー TO THE TOP 第2クール,Haikyu!! To the Top 2nd-cour,Haikyu!! Vierte Staffel 4,Haikyu!! Los Ases del Vóley Temporada 4,Haikyu!! Saison 4 Cour 2,['TV'],12,Finished Airing,"Oct 3, 2020 to Dec 19, 2020",['Fall 2020'],Saturdays at 02:25 (JST),"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",['Sentai Filmworks'],['Production I.G'],['Manga'],,,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.55,#124,#219,"863,774","6,318",513859,"Once called a fallen powerhouse and known as ""Flightless Crows,"" Karasuno High School has finally taken flight at nationals. With a comprehensive performance against Tsubakihara Academy in their first match, the team is now facing its toughest opponent yet: the runners-up of the last Spring Tournament, Inarizaki High School. Furthermore, dealing with the formidable twin Miya brothers only makes things more difficult for Karasuno. As soon as the match begins, Karasuno is overwhelmed by all the noise and jeers from the supporters of Inarizaki High but rekindles its strength thanks to its own loyal fans. Karasuno also gains some momentum by utilizing an attack centered on Shouyou Hinata, but the eccentric play of Atsumu and Osamu Miya delivers an unexpected blow that leaves their opponent astounded. Things are bound to get intense as the match progresses between these two teams. Will Karasuno be able to defeat Inarizaki High and overcome the hurdles that threaten its pursuit to the top? [Written by MAL Rewrite]","['Prequel (TV) Haikyuu!! To the Top', 'Sequel (Movie) Haikyuu!! Movie: Gomisuteba no Kessen', 'Adaptation (Manga) Haikyuu!!', '']",Haikyuu!! To the Top Part 2,['Sports'],"['School', 'Team Sports']",
2,"Generally Cute, Fly Me to the Moon",トニカクカワイイ,Tonikawa: Over The Moon For You,TONIKAWA: Over the Moon For You,Tonikawa: Over the Moon For You,TONIKAWA: Over the Moon For You,['TV'],12,Finished Airing,"Oct 3, 2020 to Dec 19, 2020",['Fall 2020'],Saturdays at 01:05 (JST),"['Shogakukan-Shueisha Productions', 'Warner Bros. Japan', 'KlockWorx', 'Shogakukan', 'Crunchyroll']",['Anime Limited'],['Seven Arcs'],['Manga'],"['Comedy', 'Romance']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.86,#912,#264,"783,366","10,209",440794,"Nasa Yuzaki is determined to leave his name in the history books. Ranking first in the national mock exam and aiming for a distinguished high school, he is certain that he has his whole life mapped out. However, fate is a fickle mistress. On his way home one snowy evening, Nasa's eyes fall upon a peerless beauty across the street. Bewitched, Nasa tries to approach her—only to get blindsided by an oncoming truck. Thankfully, his life is spared due to the girl's swift action. Bleeding by the side of an ambulance, he watches as the girl walks away under the moonlight—reminiscent of Princess Kaguya leaving for the moon. Refusing to let this chance meeting end, he forces his crippled body to chase after her and asks her out. Surprised by his foolhardiness and pure resolve, the girl accepts his confession under a single condition: they can only be together if he marries her! [Written by MAL Rewrite]","['Sequel (OVA) Tonikaku Kawaii: SNS', 'Adaptation (Manga) Tonikaku Kawaii']",Tonikaku Kawaii,,,
3,"DanMachi 3rd Season, Is It Wrong That I Want to Meet You in a Dungeon 3rd Season",ダンジョンに出会いを求めるのは間違っているだろうかIII,Is It Wrong to Try to Pick Up Girls in a Dungeon? III,Danmachi Is It Wrong to Try to Pick Up Girls in a Dungeon? III,Is It Wrong to Try to Pick Up Girls in a Dungeon? (Danmachi) III,Is It Wrong to Try to Pick Up Girls in a Dungeon? SAISON 3,['TV'],12,Finished Airing,"Oct 3, 2020 to Dec 19, 2020",['Fall 2020'],Saturdays at 00:30 (JST),"['Movic', 'Warner Bros. Japan', 'KlockWorx', 'Hakuhodo DY Music & Pictures', 'Egg Firm', 'FuRyu', 'GREE', 'SB Creative']",['Sentai Filmworks'],['J.C.Staff'],['Light novel'],"['Action', 'Adventure', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.46,#2105,#357,"638,294","1,933",332460,"Upon his run-in with a Vouivre—a monster known to be very dangerous—Hestia Familia's captain Bell Cranel is struck with incomprehension. Despite its preceding reputation, the supposed bloodthirsty creature happens to be crying and flees from a group of adventurers. The monster, taking the form of a terrified little girl, prompts Bell to swiftly decide to hide her. Unbeknownst to him, this act of kindness will cause massive repercussions that will soon echo throughout the entire city of Orario. [Written by MAL Rewrite]","['Prequel (TV) Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II', 'Sequel (TV) Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen', 'Adaptation (Manga) Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka', 'Adaptation (Manga) Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II']",Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,,,
4,,アクダマドライブ,Akudama Drive,,,,['TV'],12,Finished Airing,"Oct 8, 2020 to Dec 24, 2020",['Fall 2020'],Thursdays at 21:30 (JST),"['Marvelous Entertainment', 'Yomiko Advertising', 'Delfi Sound', 'NBCUniversal Entertainment Japan', 'Amuse', 'Sammy', 'Contents Seed', 'BS NTV', 'Aeon Entertainment']",['Funimation'],['Pierrot'],Original,"['Action', 'Sci-Fi', 'Suspense']",,,24 min. per ep.,R - 17+ (violence & profanity),7.58,#1637,#523,"458,195","3,875",212570,"The bustling metropolis of Kansai, where cybernetic screens litter the neon landscape, may seem like a technological utopia at first glance. But in the dark alleys around the brightly-lit buildings, an unforgiving criminal underbelly still exists in the form of fugitives known as ""Akudama."" No stranger to these individuals, Kansai police begin the countdown to the public execution of an infamous Akudama ""Cutthroat,"" guilty of killing 999 people. However, a mysterious message is sent to several elite Akudama, enlisting them to free Cutthroat for a substantial amount of money. An invisible hand seeks to gather these dangerous personas in one place, ensuring that the execution is well underway to becoming a full-blown bloodbath. [Written by MAL Rewrite]",[],Akudama Drive,,"['Adult Cast', 'Gore']",
5,Moriarty's Patriotism,憂国のモリアーティ,Moriarty the Patriot,Moriarty the Patriot,,Moriarty the Patriot,['TV'],11,Finished Airing,"Oct 11, 2020 to Dec 20, 2020",['Fall 2020'],Sundays at 23:53 (JST),"['Mainichi Broadcasting System', 'Shueisha', 'Yomiuri TV Enterprise', 'Bandai Namco Arts', 'Bandai Spirits']",['Funimation'],['Production I.G'],['Manga'],"['Mystery', 'Suspense']",,['Shounen'],23 min. per ep.,R - 17+ (violence & profanity),8.17,#435,#524,"457,559","7,790",193004,"During the late 19th century, Great Britain has become the greatest empire the world has ever known. Hidden within its success, the nation's rigid economic hierarchy dictates the value of one's life solely on status and wealth. To no surprise, the system favors the aristocracy at the top and renders it impossible for the working class to ascend the ranks. William James Moriarty, the second son of the Moriarty household, lives as a regular noble while also being a consultant for the common folk to give them a hand and solve their problems. However, deep inside him lies a desire to destroy the current structure that dominates British society and those who benefit from it. Alongside his brothers Albert and Louis, William will do anything it takes to change the filthy world he lives in—even if blood must be spilled. [Written by MAL Rewrite]","['Sequel (TV) Yuukoku no Moriarty Part 2', 'Adaptation (Manga) Yuukoku no Moriarty']",Yuukoku no Moriarty,,"['Adult Cast', 'Historical', 'Organized Crime', 'Psychological']",
6,,魔女の旅々,Wandering Witch: The Journey of Elaina,Elainas Reise,,Wandering Witch: The Journey of Elaina,['TV'],12,Finished Airing,"Oct 2, 2020 to Dec 18, 2020",['Fall 2020'],Fridays at 21:00 (JST),"['Lantis', 'Movic', 'AT-X', 'Kadokawa Media House', 'Kadokawa', 'SB Creative']",['Funimation'],['C2C'],['Light novel'],"['Adventure', 'Fantasy']",,,24 min. per ep.,R - 17+ (violence & profanity),7.56,#1716,#570,"426,473","4,093",194882,"Since childhood, Elaina has always been fascinated by the stories written within her favorite book, especially those about Nike, a renowned witch who had numerous great travels across the world. Wanting to experience the awe of adventure herself, Elaina strives to become a witch, and despite the numerous trials that come her way, she eventually succeeds. Now a full-fledged witch, Elaina finally embarks on her long-awaited journey, in which she meets many people along the way, learning their various stories. Through all of this, she explores the world at its fullest—experiencing both its bright and dark sides—starting her legendary tale. [Written by MAL Rewrite]","['Adaptation (Manga) Majo no Tabitabi', 'Adaptation (Light Novel) Majo no Tabitabi']",Majo no Tabitabi,,,
7,"Mahouka Koukou no Rettousei 2nd Season, The Irregular at Magic High School Season 2",魔法科高校の劣等生 来訪者編,The Irregular at Magic High School: Visitor Arc,The Irregular at Magic High School: Visitor Arc,,The Irregular at Magic High School: Visitor Arc,['TV'],13,Finished Airing,"Oct 4, 2020 to Dec 27, 2020",['Fall 2020'],Sundays at 00:30 (JST),"['Aniplex', 'Square Enix', 'Movic', 'Studio Mausu', 'Straight Edge', 'Kadokawa']",['Aniplex of America'],['8bit'],['Light novel'],"['Action', 'Fantasy', 'Romance', 'Sci-Fi']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.27,#2970,#662,"377,427","1,249",172575,"Following the events of ""Scorched Halloween,"" the world is introduced to a terrifyingly powerful Strategic class magician. In an effort to uncover the identity of this person, the United States of the North American Continent (USNA) dispatches the most powerful asset in its arsenal to Japan on a covert mission—the elite magician unit ""Stars"" and its commander, Angie Sirius. At First High School, Tatsuya Shiba and his friends are having a farewell party for Shizuku Kitayama, who is leaving to study abroad in the USNA as part of an exchange program. In her place, the group welcomes the beautiful Angelina ""Lina"" Kudou Shields. Around the same time, Tatsuya is informed about the USNA's plan to uncover his true identity. Elsewhere in Tokyo, numerous reports arise of seemingly random bodies found drained of blood. Dubbed as the works of a vampire, it does not take long for Tatsuya to connect the dots and realize that it is almost impossible for the timing of these events to be mere coincidence. [Written by MAL Rewrite]","['Prequel (TV) Mahouka Koukou no Rettousei', 'Sequel (TV) Mahouka Koukou no Rettousei 3rd Season', 'Adaptation (Manga) Mahouka Koukou no Rettousei: Raihousha-hen', 'Adaptation (Manga) Mahouka Koukou no Rettousei: Ichijou Masaki Tenkou-hen']",Mahouka Koukou no Rettousei: Raihousha-hen,,"['School', 'Urban Fantasy']",
8,,無能なナナ,Talentless Nana,Talentless Nana,,Talentless Nana,['TV'],13,Finished Airing,"Oct 4, 2020 to Dec 27, 2020",['Fall 2020'],Sundays at 21:30 (JST),"['Square Enix', 'AT-X', 'Nippon Columbia', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Docomo Anime Store', 'Yomiuri TV Enterprise', 'Kanon Sound', 'NichiNare', 'Kadokawa', 'Show Corporation']","['Funimation', 'Muse Communication']",['Bridge'],['Manga'],,,['Shounen'],23 min. per ep.,R - 17+ (violence & profanity),7.17,#3526,#718,"352,858","1,662",172373,"Fifty years ago, horrific creatures dubbed as the ""enemies of humanity"" suddenly appeared around the world. To combat these threats, teenagers gifted with supernatural abilities called ""Talents""—such as pyrokinesis and time travel—hone their powers at an academy on a secluded island. Nanao Nakajima, however, is quite different from the others on the island: he has no Talent. With many ""Talented"" teenagers around him, Nanao is often a target for bullying, but even so, he still strives to complete his training. Soon after, two transfer students, the mysterious Kyouya Onodera and the mind-reading Nana Hiiragi, join the class. But just as everyone starts blending as comrades-in-arms, mysterious disappearances begin to threaten the class's entire foundation. [Written by MAL Rewrite]","['Adaptation (Manga) Munou na Nana', '']",Munou na Nana,['Suspense'],"['Psychological', 'Super Power']",
9,"The Last Battlefield Between You and I, or Perhaps the Beginning of the World's Holy War, Kimisen",キミと僕の最後の戦場、あるいは世界が始まる聖戦,Our Last Crusade or the Rise of a New World,Our Last Crusade or the Rise of a New World,,Our Last Crusade or the Rise of a New World,['TV'],12,Finished Airing,"Oct 7, 2020 to Dec 23, 2020",['Fall 2020'],Wednesdays at 23:30 (JST),"['Pony Canyon', 'AT-X', 'ABC Animation', 'Kadokawa Media House', 'Kadokawa', 'Bit grooove promotion', 'A3']",['Funimation'],['SILVER LINK.'],['Light novel'],"['Action', 'Fantasy', 'Romance']",['Military'],,23 min. per ep.,PG-13 - Teens 13 or older,6.69,#5952,#802,"319,536","1,397",141847,"A force known as Astral power permeates throughout the world, wielded by astral mages. Fearing its destructive power, the ""Empire"" persecutes those who show their abilities. The tormented mages then founded the Nebulis Sovereignty to flee from their oppressors. Since then, the two nations have been in bitter conflict, the war still going strong for more than a century. After committing the great crime of freeing an imprisoned witch, the talented knight Iska is sentenced to prison. A year later, the Empire leadership suddenly decides to set him free, with the condition that he hunts down a fearsome mage known as the ""Ice Calamity Witch."" Hoping to end the war, Iska agrees. Coincidentally, the Ice Calamity Witch herself, Aliceliese ""Alice"" Lou Nebulis XI, also wishes for peace and is willing to do everything she can to bring down the Empire. As Iska and Alice both yearn for a crusade that will turn the world into one without struggle, woe, or pain, the strings of fate tie them ever closer together, creating a bond that goes beyond something fabricated by mere coincidence. [Written by MAL Rewrite]","['Sequel (TV) Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen Season II', 'Adaptation (Manga) Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen', 'Adaptation (Light Novel) Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen', '']","Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",,,
