,Synonyms,Japanese,English,Spanish,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Theme,Demographic,Genre,Demographics
0,Zero's Familiar,ゼロの使い魔,The Familiar of Zero,La Magia de Zero,['TV'],13,Finished Airing,"Jul 3, 2006 to Sep 25, 2006",['Summer 2006'],Mondays at 00:30 (JST),"['Genco', 'Media Factory', 'Shochiku', 'Bushiroad', 'Happinet Pictures']","['Sentai Filmworks', 'Geneon Entertainment USA']",['J.C.Staff'],['Light novel'],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']","['Harem', 'Isekai', 'School']",23 min. per ep.,PG-13 - Teens 13 or older,7.21,#3320,#235,"843,598","8,028",474802,"Louise Françoise Le Blanc de La Vallière is a self-absorbed mage in a world of wands, cloaks, and royalty. Although she studies at Tristain Academy, a prestigious school for magicians, she has a major problem: Louise is unable to cast magic properly, earning her the nickname of ""Louise the Zero"" from her classmates. When the first year students are required to perform a summoning ritual, Louise's summoning results in a catastrophic explosion! Everyone deems this to be yet another failure, but when the smoke clears, a boy named Saito Hiraga appears. Now Louise's familiar, Saito is treated as a slave, forced to clean her clothes and eat off the ground. But when an unfamiliar brand is found etched on Saito's hand from the summoning ritual, it is believed to be the mark of a powerful familiar named Gandalfr. Wild, adventurous, and explosive, Zero no Tsukaima follows Saito as he comes to terms with his new life and as Louise proves that there is more to her than her nickname suggests. [Written by MAL Rewrite]","['Sequel (TV) Zero no Tsukaima: Futatsuki no Kishi', 'Adaptation (Manga) Zero no Tsukaima', 'Adaptation (Manga) Zero no Tsukaima Chevalier', 'Adaptation (Light Novel) Zero no Tsukaima']",Zero no Tsukaima,,,,,,
1,Welcome to the NHK,N・H・Kにようこそ！,Welcome to the N.H.K.,Welcome to the N-H-K,['TV'],24,Finished Airing,"Jul 10, 2006 to Dec 18, 2006",['Summer 2006'],Mondays at 00:00 (JST),"['Victor Entertainment', 'Omnibus Promotion']","['ADV Films', 'Funimation']",['Gonzo'],Novel,"['Comedy', 'Drama', 'Romance', 'Suspense']","['Adult Cast', 'Otaku Culture', 'Psychological']",23 min. per ep.,R+ - Mild Nudity,8.31,#273,#266,"784,172","28,038",351272,"Twenty-two-year-old college dropout Tatsuhiro Satou has been a hikikomori for almost four years now. In his isolation, he has come to believe in many obscure conspiracy theories, but there is one in particular which he holds unshakable faith in: the theory that the evil conspirator behind his shut-in NEET (Not in Employment, Education or Training) status is the Nihon Hikikomori Kyokai (NHK)—an evil and secret organization dedicated to fostering the spread of hikikomori culture. NHK ni Youkoso! is a psychological dramedy that follows Tatsuhiro as he strives to escape from the NHK's wicked machinations and the disease of self-wrought isolation, while struggling to even just leave his apartment and find a job. His unexpected encounter with the mysterious Misaki Nakahara might signal a reversal of fortune for Tatsuhiro, but with this meeting comes the inevitable cost of having to face his greatest fear—society. [Written by MAL Rewrite]","['Adaptation (Manga) NHK ni Youkoso!', 'Adaptation (Novel) NHK ni Youkoso!']",NHK ni Youkoso!,Welcome to the N-H-K,Bienvenue Dans La NHK!,,,,
2,Bokuraga Ita,僕等がいた,We Were There,,['TV'],26,Finished Airing,"Jul 4, 2006 to Dec 26, 2006",['Summer 2006'],Tuesdays at 02:00 (JST),"['Marvelous Entertainment', 'Pony Canyon', 'Delfi Sound']","None found,",['Artland'],['Manga'],"['Drama', 'Romance']",,25 min. per ep.,PG-13 - Teens 13 or older,7.24,#3161,#1100,"236,522","1,931",101603,"Going into her first year of high school, Nanami Takahashi is filled with the hope of making many new friends. After meeting the shy Yuri Yamamoto, she hears about a popular boy in their class: Yano Motoharu. Yuri cares little for Yano because of his past relationship with her older sister Nana, and at first, Nanami doesn't like his attitude either. However, Nanami soon begins to warm up to Yano and takes a liking to him. The two spend more of their time together and eventually decide to start dating. But their love is not without challenges; Yano has trouble opening up to Nanami, since his first girlfriend, Nana, died in a car accident the year before, and she had been with one of her ex-boyfriends at the time. Finding themselves living in the shadow of Yano's relationship with Nana, Nanami and Yano struggle to keep their relationship afloat amid misunderstandings and heartache with the certainty of their love for each other. [Written by MAL Rewrite]","['Adaptation (Manga) Bokura ga Ita', '']",Bokura ga Ita,,C'était Nous,['Love Polygon'],['Shoujo'],,
3,"Honey and Clover 2, Honey & Clover II",ハチミツとクローバー II,Honey and Clover II,Honey and Clover Temporada 2,['TV'],12,Finished Airing,"Jun 30, 2006 to Sep 15, 2006",['Summer 2006'],Fridays at 00:45 (JST),"['Dentsu', 'Genco', 'Fuji TV', 'Asmik Ace', 'Sony Music Entertainment', 'Shueisha']","['VIZ Media', 'Discotek Media']",['J.C.Staff'],['Manga'],"['Drama', 'Romance']","['Adult Cast', 'Love Polygon', 'Visual Arts']",23 min. per ep.,PG-13 - Teens 13 or older,8.18,#422,#2093,"109,428",950,55480,"Back from his journey across Japan, Yuuta Takemoto reminisces about his college life so far. He has matured significantly since his second year and is motivated to move forward. Feeling more confident than ever before, he finally confesses to Hagumi Hanamoto, the girl he has been in love with since their first encounter. However, Hagumi has been confused by her attempts to understand the mysterious Shinobu Morita. Hiding behind a playful demeanor, Morita may be the most burdened by his own potential. Meanwhile, Takumi Mayama has become a full-fledged working adult and has landed Ayumi Yamada several pottery orders through his company in an act of friendship. The five youths continue to face individual hardships in academics, work, love, and friendship as they push each other toward the paths that they are destined to walk. [Written by MAL Rewrite]","['Prequel (TV) Hachimitsu to Clover', 'Prequel (Special) Hachimitsu to Clover Specials', 'Adaptation (Manga) Hachimitsu to Clover', '']",Hachimitsu to Clover II,,,,['Josei'],,
4,The Beast Claw,ケモノヅメ,,,['TV'],13,Finished Airing,"Aug 6, 2006 to Nov 5, 2006",['Summer 2006'],Sundays at 00:30 (JST),"['WOWOW', 'Imagine']","None found,",['Madhouse'],Original,"['Action', 'Avant Garde', 'Horror', 'Romance', 'Supernatural']","['Adult Cast', 'Gore', 'Mythology']",23 min. per ep.,R+ - Mild Nudity,7.34,#2636,#2578,"78,833",503,20828,"Creatures known as Shokujinki have been secretly living alongside humans for hundreds of years. Though they may look like humans, Shokujinki are able to transform into uncontrollable beasts with gigantic claws and consume humans to survive. The equally secretive Kifuuken dojo specializes in killing Shokujinki by cutting off their arms, and is the only force preventing unchecked Shokujinki domination. Toshihiko Momota, the son of the leader of the Kifuuken, is instantly charmed by a mysterious woman named Yuka Kamitsuki. Their relationship is complicated, however, because unbeknownst to them both, Yuka is a Shokujinki and Toshihiko is sworn to kill her. Meanwhile, the Kifuuken is having a crisis of confidence as Toshihiko's brother Kazuma pushes against tradition and tries to modernize the Kifuuken. As emotions are strained and the secrets of both the past and present are revealed, who will live, and who will be eaten? [Written by MAL Rewrite]",[],Kemonozume,,,,,,
5,,シュヴァリエ Le Chevalier D'Eon,,Le Chevailer d'Eon,['TV'],24,Finished Airing,"Jul 2, 2006 to Feb 24, 2007",['Summer 2006'],Saturdays at 19:00 (JST),"['WOWOW', 'Shochiku', 'BMG Japan', 'Kodansha', 'Sakura Create']","['ADV Films', 'Funimation']",['Production I.G'],Original,"['Mystery', 'Supernatural']",,25 min. per ep.,R - 17+ (violence & profanity),7.17,#3523,#2956,"62,475",255,16155,"In 18th century Paris, a coffin is found floating down the Seine River. It carries the corpse of noblewoman Lia de Beaumont: a spy of King Louis XV, and whose younger brother D'Eon has just been knighted. When several disappearances occur throughout Paris, the young knight believes that they are somehow connected to his sister's death. Hoping to find her killers, D'Eon joins the secret police to investigate the incidents. Following the clues, they piece together that a conspiracy between members of the French and Russian nobility, spurred on by a cult, may be behind the disappearances. D'Eon concludes that Lia may have uncovered the truth while on a mission and was killed as a result. That night, the secret police are to arrest the Duke of Orléans on suspicion of being the mastermind. One of their own transforms into a demon called a Gargoyle and massacres the group. D'Eon attempts to rescue the sole survivor, only to find that he too has been transformed. During the ensuing battle, D'Eon is possessed by Lia's vengeful soul, who takes command of his body and slays the Gargoyle herself. In the aftermath, D'Eon must gather allies to discover the depth of this supernatural conspiracy. [Written by MAL Rewrite]","[""Adaptation (Manga) Le Chevalier D'Eon Read Manga"", '']",Le Chevalier D'Eon,,Le Chevalier d'Eon,['Historical'],,,
6,Tona-gura!,となグラ！,,,['TV'],13,Finished Airing,"Jul 9, 2006 to Oct 1, 2006",['Summer 2006'],Sundays at 00:30 (JST),['Starchild Records'],['Discotek Media'],['Daume'],['Manga'],"['Comedy', 'Romance', 'Ecchi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.66,#6159,#3269,"51,307",52,23748,"Kazuki has been awaiting 10 years for the day when her neighbours moved back to their old house. She has a crush on Yuuji, whom she considers as her first love but to whom she never managed to express her feelings for him before they moved out. Yuuji often comes over to play with Kazuki, Kazuki's older sister Hatsune and Yuuji's sister Marie when they were kids. Her ideal depiction of Yuuji was soon shattered when he turned out more than she had expected, him acting all ecchi during their reunion. With their parents off in South America, both families must learn to live with each other and rekindle the childhood feelings they shared together. Things get even more crazy as they attend the same school. (Source: ANN)","['Adaptation (Manga) Tona-Gura!', '']",Tonagura!,,,['School'],['Shounen'],,
7,PPGZ,出ましたっ！パワパフガールズZ,Powerpuff Girls Z,,['TV'],52,Finished Airing,"Jul 1, 2006 to Jun 30, 2007",['Summer 2006'],Saturdays at 07:00 (JST),"['TV Tokyo', 'Aniplex', 'Sony Music Entertainment']","None found,",['Toei Animation'],Other,"['Action', 'Comedy', 'Sci-Fi']","['School', 'Super Power']",24 min. per ep.,PG - Children,6.49,#7153,#3887,"37,343",193,15956,"Based on the American cartoon, ""The Powerpuff Girls."" Professor Utonium and his son Ken are studying the strange Chemical X. When a mochi cake falls into the formula, it changes into Chemical Z. Ken fires a ray of Chemical Z at a glacier in Tokyo Bay, however that causes strange black and white lights to scatter. The black lights turn its victims into monsters, with emphasis on a black light hitting a zoo monkey and transforming him into Mojo Jojo. The white lights, however, aim at three normal girls, Momoko, Miyako, and Kaoru. This gives them the power to transform into superheroes, the Powerpuff Girls Z!","['Adaptation (Manga) Demashita! Powerpuff Girls Z', '']",Demashita! Powerpuff Girls Z,,,,,,
8,,NIGHT HEAD GENESIS (ナイト ヘッド ジェネシス),,,['TV'],24,Finished Airing,"Jun 17, 2006 to Dec 31, 2006",['Summer 2006'],Unknown,"['Actas', 'HoriPro', 'Four Some']",['Media Blasters'],['Bee Media'],Other,"['Drama', 'Mystery', 'Sci-Fi', 'Suspense']","['Psychological', 'Super Power']",24 min. per ep.,R - 17+ (violence & profanity),6.71,#5857,#4156,"32,558",69,10561,"Following a 15-year long seclusion in a research facility, brothers Naoto and Naoya Kirihara finally escape after the psychic barrier separating them from the outside world collapses. Abandoned by their parents, who feared their supernatural powers, the siblings now strive for a normal life. However, the two are soon forced to use their talents to save lives as the ""minus energy"" begins to engulf the world and crimes involving psychic abilities gradually multiply. Learning to control their capabilities and using them for the sake of others will prove challenging, for Naoya is traumatized by his psychic abilities that allow him to read people's minds; while Naoto has hurt many close ones due to his unstable psychokinetic powers. With the help of the mysterious Shouko Futami, who can see into the future, the Kirihara brothers must find a way to foil the plans of an organization that seems to be linked to the harmful events related to gifted individuals. [Written by MAL Rewrite]","['Adaptation (Manga) Night Head', 'Adaptation (Manga) Night Head Genesis']",Night Head Genesis,,,,,,
9,,イノセント・ヴィーナス,,,['TV'],12,Finished Airing,"Jul 27, 2006 to Oct 26, 2006",['Summer 2006'],Unknown,['Bandai Visual'],['ADV Films'],"[""Brain's Base""]",Original,"['Action', 'Adventure', 'Drama', 'Sci-Fi']","['Mecha', 'Military']",23 min. per ep.,PG-13 - Teens 13 or older,6.76,#5577,#4468,"27,905",51,10746,"In the year 2010 AD, Hyper Hurricanes born concurrently all over the world caused severe damage. Five billion people lost their lives, decreasing the world's population to 3 billion. Existing economies and military were wiped out. Countries were frozen under solid ice, plains sank beneath seas, the world was changed dramatically. Human civilization enters a chaotic era. Poverty flourished outside of these economic zones and slums were widespread. The ruling class called themselves Logos and maintained their position by force of arms. They call the poor Revenus, who are exiled to live outside the special economic areas. Time has passed since then. Katsuragi Jo and Tsurasawa Jin, escape from Phantom, a force organized to watch Revenus and to suppress renegade elements of the Logos, taking with them a mysterious girl, Nobuto Sana. There are many who are interested in her, all with their own reasons.",[],Innocent Venus,,,,,,
