ID,Title,Link,Roles,Type,Season,Year,Score,Members
1596,Arcade Gamer Fubuki,https://myanimelist.net/anime/1596/Arcade_Gamer_Fubuki,Theme Song Composition (OP),OVA,,2002,5.27,9101.0
6166,Asobi ni Iku yo!,https://myanimelist.net/anime/6166/Asobi_ni_Iku_yo,Planning,TV,Summer,2010,6.56,208203.0
9618,Asobi ni Iku yo!: Asobi ni Oide,https://myanimelist.net/anime/9618/Asobi_ni_Iku_yo__Asobi_ni_Oide,Planning,OVA,,2011,6.72,49504.0
6347,Baka to Test to Shoukanjuu,https://myanimelist.net/anime/6347/Baka_to_Test_to_Shoukanjuu,Producer,TV,Winter,2010,7.5,651609.0
8516,Baka to Test to Shoukanjuu Ni!,https://myanimelist.net/anime/8516/Baka_to_Test_to_Shoukanjuu_Ni,Producer,TV,Summer,2011,7.66,378554.0
9471,Baka to Test to Shoukanjuu: Matsuri,https://myanimelist.net/anime/9471/Baka_to_Test_to_Shoukanjuu__Matsuri,Producer,OVA,,2011,7.55,128604.0
9907,Bokura no Live Kimi to no Life,https://myanimelist.net/anime/9907/Bokura_no_Live_Kimi_to_no_Life,Producer,Music,,2010,7.06,20593.0
17677,Buki yo Saraba,https://myanimelist.net/anime/17677/Buki_yo_Saraba,Planning,Movie,,2013,6.88,13550.0
12293,Campione! Matsurowanu Kamigami to Kamigoroshi no Maou,https://myanimelist.net/anime/12293/Campione_Matsurowanu_Kamigami_to_Kamigoroshi_no_Maou,Producer,TV,Summer,2012,6.9,403371.0
5356,Canaan,https://myanimelist.net/anime/5356/Canaan,Executive Producer,TV,Summer,2009,7.21,239242.0
62,D.C.: Da Capo,https://myanimelist.net/anime/62/DC__Da_Capo,Theme Song Composition (ED2),TV,Summer,2003,6.71,77913.0
8086,Densetsu no Yuusha no Densetsu,https://myanimelist.net/anime/8086/Densetsu_no_Yuusha_no_Densetsu,Producer,TV,Summer,2010,7.49,313399.0
653,Galaxy Angel 3,https://myanimelist.net/anime/653/Galaxy_Angel_3,Theme Song Arrangement (OP1),TV,Fall,2002,7.27,10654.0
652,Galaxy Angel Z,https://myanimelist.net/anime/652/Galaxy_Angel_Z,Theme Song Arrangement (OP),TV,Winter,2002,7.15,11456.0
17679,Gambo,https://myanimelist.net/anime/17679/Gambo,Planning,Movie,,2013,6.52,9666.0
25183,Gangsta.,https://myanimelist.net/anime/25183/Gangsta,Planning,TV,Summer,2015,7.41,603613.0
1581,Gift: Eternal Rainbow,https://myanimelist.net/anime/1581/Gift__Eternal_Rainbow,Producer,TV,Fall,2006,6.55,32742.0
14131,Girls & Panzer,https://myanimelist.net/anime/14131/Girls___Panzer,Chief Producer,TV,Fall,2012,7.53,317616.0
18617,Girls & Panzer Movie,https://myanimelist.net/anime/18617/Girls___Panzer_Movie,Chief Producer,Movie,,2015,8.18,112006.0
18619,Girls & Panzer: Kore ga Hontou no Anzio-sen desu!,https://myanimelist.net/anime/18619/Girls___Panzer__Kore_ga_Hontou_no_Anzio-sen_desu,Chief Producer,OVA,,2014,7.72,51244.0
6787,Goulart Knights: Evoked the Beginning Black,https://myanimelist.net/anime/6787/Goulart_Knights__Evoked_the_Beginning_Black,Producer,OVA,,2010,5.67,11843.0
13993,Goulart Knights: Evoked the Beginning White,https://myanimelist.net/anime/13993/Goulart_Knights__Evoked_the_Beginning_White,Producer,OVA,,2011,5.94,3224.0
13161,Hagure Yuusha no Aesthetica,https://myanimelist.net/anime/13161/Hagure_Yuusha_no_Aesthetica,Producer,TV,Summer,2012,6.69,444483.0
13639,Hi no Youjin,https://myanimelist.net/anime/13639/Hi_no_Youjin,Planning,Movie,,2012,6.31,8888.0
11135,Hybrid Child,https://myanimelist.net/anime/11135/Hybrid_Child,Planning,OVA,,2014,7.49,81301.0
10568,Kamisama no Memochou,https://myanimelist.net/anime/10568/Kamisama_no_Memochou,Producer,TV,Summer,2011,7.46,245031.0
32491,Kanojo to Kanojo no Neko: Everything Flows,https://myanimelist.net/anime/32491/Kanojo_to_Kanojo_no_Neko__Everything_Flows,Executive Producer,TV,Winter,2016,7.67,140480.0
147,Kimi ga Nozomu Eien,https://myanimelist.net/anime/147/Kimi_ga_Nozomu_Eien,"Music, Producer",TV,Fall,2003,7.16,146406.0
1856,Kimi ga Nozomu Eien: Ayu Mayu Gekijou,https://myanimelist.net/anime/1856/Kimi_ga_Nozomu_Eien__Ayu_Mayu_Gekijou,"Music, Producer",ONA,,2006,6.16,6863.0
7148,Ladies versus Butlers!,https://myanimelist.net/anime/7148/Ladies_versus_Butlers,Producer,TV,Winter,2010,6.54,229553.0
10213,Maji de Watashi ni Koi Shinasai!,https://myanimelist.net/anime/10213/Maji_de_Watashi_ni_Koi_Shinasai,Planning,TV,Fall,2011,6.65,314878.0
10465,Manyuu Hikenchou,https://myanimelist.net/anime/10465/Manyuu_Hikenchou,Producer,TV,Summer,2011,6.18,86357.0
11761,Medaka Box,https://myanimelist.net/anime/11761/Medaka_Box,Producer,TV,Spring,2012,7.01,267912.0
14527,Medaka Box Abnormal,https://myanimelist.net/anime/14527/Medaka_Box_Abnormal,Producer,TV,Fall,2012,7.38,149013.0
7627,Mitsudomoe,https://myanimelist.net/anime/7627/Mitsudomoe,Producer,TV,Summer,2010,7.51,112287.0
9510,Mitsudomoe Zouryouchuu!,https://myanimelist.net/anime/9510/Mitsudomoe_Zouryouchuu,Producer,TV,Winter,2011,7.65,47738.0
11033,"Natsu-iro Egao de 1, 2, Jump!",https://myanimelist.net/anime/11033/Natsu-iro_Egao_de_1_2_Jump,Producer,Music,,2011,7.23,14460.0
12119,Natsu-iro Kiseki,https://myanimelist.net/anime/12119/Natsu-iro_Kiseki,Executive Producer,TV,Spring,2012,7.01,45133.0
3615,Neo Angelique Abyss,https://myanimelist.net/anime/3615/Neo_Angelique_Abyss,Planning,TV,Spring,2008,6.78,38748.0
4662,Neo Angelique Abyss: Second Age,https://myanimelist.net/anime/4662/Neo_Angelique_Abyss__Second_Age,Planning,TV,Summer,2008,6.97,21366.0
17549,Non Non Biyori,https://myanimelist.net/anime/17549/Non_Non_Biyori,Planning,TV,Fall,2013,7.94,441084.0
23623,Non Non Biyori Repeat,https://myanimelist.net/anime/23623/Non_Non_Biyori_Repeat,Planning,TV,Summer,2015,8.18,206887.0
6201,Princess Lover!,https://myanimelist.net/anime/6201/Princess_Lover,Music,TV,Summer,2009,6.67,236621.0
2967,Saishuu Shiken Kujira,https://myanimelist.net/anime/2967/Saishuu_Shiken_Kujira,Music,ONA,,2007,4.93,6033.0
6500,Seikon no Qwaser,https://myanimelist.net/anime/6500/Seikon_no_Qwaser,Planning,TV,Winter,2010,6.32,341363.0
9202,Seikon no Qwaser: Jotei no Shouzou,https://myanimelist.net/anime/9202/Seikon_no_Qwaser__Jotei_no_Shouzou,Planning,OVA,,2010,6.37,29470.0
9793,Senjou no Valkyria 3: Tagatame no Juusou,https://myanimelist.net/anime/9793/Senjou_no_Valkyria_3__Tagatame_no_Juusou,Producer,OVA,,2011,7.26,15715.0
15119,Senran Kagura,https://myanimelist.net/anime/15119/Senran_Kagura,Associate Producer,TV,Winter,2013,6.27,141891.0
27967,Senran Kagura Estival Versus: Mizugi-darake no Zenyasai,https://myanimelist.net/anime/27967/Senran_Kagura_Estival_Versus__Mizugi-darake_no_Zenyasai,Producer,OVA,,2015,6.48,21560.0
5504,Shinkyoku Soukai Polyphonica Crimson S,https://myanimelist.net/anime/5504/Shinkyoku_Soukai_Polyphonica_Crimson_S,Producer,TV,Spring,2009,7.11,25217.0
31914,Shoujo-tachi wa Kouya wo Mezasu,https://myanimelist.net/anime/31914/Shoujo-tachi_wa_Kouya_wo_Mezasu,Planning,TV,Winter,2016,6.3,124225.0
9930,Snow Halation,https://myanimelist.net/anime/9930/Snow_Halation,Producer,Music,,2010,7.77,23296.0
9393,T.P. Sakura: Time Paladin Sakura,https://myanimelist.net/anime/9393/TP_Sakura__Time_Paladin_Sakura,Producer,OVA,,2011,5.83,5090.0
6758,Tatakau Shisho: The Book of Bantorra,https://myanimelist.net/anime/6758/Tatakau_Shisho__The_Book_of_Bantorra,Producer,TV,Fall,2009,7.18,69781.0
51,Tenshi Kinryouku,https://myanimelist.net/anime/51/Tenshi_Kinryouku,Producer,OVA,,2000,6.24,51112.0
2129,True Tears,https://myanimelist.net/anime/2129/True_Tears,Producer,TV,Winter,2008,7.27,221298.0
14853,Tsukumo,https://myanimelist.net/anime/14853/Tsukumo,Planning,Movie,,2012,6.61,8313.0
2699,Uchuu Kaizoku Mito no Daibouken,https://myanimelist.net/anime/2699/Uchuu_Kaizoku_Mito_no_Daibouken,Producer,TV,Winter,1999,6.36,3635.0
2700,Uchuu Kaizoku Mito no Daibouken: Futari no Joou-sama,https://myanimelist.net/anime/2700/Uchuu_Kaizoku_Mito_no_Daibouken__Futari_no_Joou-sama,Producer,TV,Summer,1999,6.08,2064.0
