ID,Title,Link,Roles,Type,Season,Year,Score,Members
320,A Kite,https://myanimelist.net/anime/320/A_Kite,Key Animation,OVA,,1998,6.53,77701.0
1636,Ai Shimai Tsubomi... Kegashite Kudasai,https://myanimelist.net/anime/1636/Ai_Shimai_Tsubomi_Kegashite_Kudasai,"Original Character Design, Character Design",OVA,,2004,6.03,6702.0
5025,Dengeki Oshioki Musume Gootaman: Gootaman Tanjou-hen,https://myanimelist.net/anime/5025/Dengeki_Oshioki_Musume_Gootaman__Gootaman_Tanjou-hen,Key Animation,OVA,,1994,5.15,8621.0
4693,Dochinpira,https://myanimelist.net/anime/4693/Dochinpira,Key Animation,OVA,,1993,5.15,1491.0
4842,Doukyuusei 2,https://myanimelist.net/anime/4842/Doukyuusei_2,Character Design,OVA,,1996,5.62,2564.0
5647,Doukyuusei 2 Special: Sotsugyousei,https://myanimelist.net/anime/5647/Doukyuusei_2_Special__Sotsugyousei,Character Design,OVA,,1999,5.1,2181.0
692,Dousou Kai,https://myanimelist.net/anime/692/Dousou_Kai,Key Animation (eps 1-2),OVA,,1997,5.65,2661.0
3551,Dragon Rider,https://myanimelist.net/anime/3551/Dragon_Rider,Key Animation (ep 1),OVA,,1995,5.58,2419.0
34771,Dynamic Chord,https://myanimelist.net/anime/34771/Dynamic_Chord,"Key Animation (ep 3, ED1-4)",TV,Fall,2017,4.65,10091.0
226,Elfen Lied,https://myanimelist.net/anime/226/Elfen_Lied,"Key Animation (eps 1, 6, 11, OP)",TV,Summer,2004,7.46,1564141.0
376,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",https://myanimelist.net/anime/376/Elfen_Lied__Tooriame_nite_Arui_wa_Shoujo_wa_Ikani_Shite_Sono_Shinjou_ni_Itatta_ka_-_Regenschauer,Key Animation,Special,,2005,7.13,199019.0
725,First Kiss Monogatari,https://myanimelist.net/anime/725/First_Kiss_Monogatari,Key Animation,OVA,,2000,4.86,3480.0
2508,Genshiken 2,https://myanimelist.net/anime/2508/Genshiken_2,Animation Director (ep 5),TV,Fall,2007,7.74,85868.0
13161,Hagure Yuusha no Aesthetica,https://myanimelist.net/anime/13161/Hagure_Yuusha_no_Aesthetica,Animation Director (ep 12),TV,Summer,2012,6.69,444490.0
1988,Himawari!!,https://myanimelist.net/anime/1988/Himawari,Animation Director (ep 1),TV,Winter,2007,6.43,11957.0
4378,Hininden: Gauss,https://myanimelist.net/anime/4378/Hininden__Gauss,"Original Creator, Character Design, Animation Director",OVA,,2005,5.64,2785.0
2371,Hotaruko,https://myanimelist.net/anime/2371/Hotaruko,"Key Animation (eps 1, 3)",OVA,,2003,6.09,5305.0
15377,Hyakka Ryouran: Samurai Bride,https://myanimelist.net/anime/15377/Hyakka_Ryouran__Samurai_Bride,"Animation Director (ep 5, OP), Key Animation (ep 5)",TV,Spring,2013,6.7,104381.0
8277,Hyakka Ryouran: Samurai Girls,https://myanimelist.net/anime/8277/Hyakka_Ryouran__Samurai_Girls,"Animation Director (eps 6, 12)",TV,Fall,2010,6.74,188479.0
1084,I''s,https://myanimelist.net/anime/1084/Is,Character Design,OVA,,2002,5.89,10975.0
811,I''s Pure,https://myanimelist.net/anime/811/Is_Pure,"Character Design, Animation Director",OVA,,2005,6.8,28095.0
1956,Ikkitousen: Dragon Destiny,https://myanimelist.net/anime/1956/Ikkitousen__Dragon_Destiny,"Character Design, Chief Animation Director",TV,Winter,2007,6.73,84457.0
26183,Ikkitousen: Extravaganza Epoch,https://myanimelist.net/anime/26183/Ikkitousen__Extravaganza_Epoch,Character Design,OVA,,2014,6.52,16368.0
4196,Ikkitousen: Great Guardians,https://myanimelist.net/anime/4196/Ikkitousen__Great_Guardians,"Character Design, Chief Animation Director",TV,Summer,2008,6.69,71271.0
11255,Ikkitousen: Shuugaku Toushi Keppuuroku,https://myanimelist.net/anime/11255/Ikkitousen__Shuugaku_Toushi_Keppuuroku,Character Design,OVA,,2011,6.56,21134.0
38425,Ikkitousen: Western Wolves,https://myanimelist.net/anime/38425/Ikkitousen__Western_Wolves,Character Design,OVA,,2019,6.34,16869.0
7580,Ikkitousen: Xtreme Xecutor,https://myanimelist.net/anime/7580/Ikkitousen__Xtreme_Xecutor,"Character Design, Chief Animation Director",TV,Spring,2010,6.71,52926.0
1274,Injuu Gakuen EX,https://myanimelist.net/anime/1274/Injuu_Gakuen_EX,"Character Design, Animation Director (eps 2, 4), Key Animation (eps 1-4)",OVA,,1996,6.07,4016.0
1272,Injuu Gakuen La Blue Girl,https://myanimelist.net/anime/1272/Injuu_Gakuen_La_Blue_Girl,Character Design,OVA,,1992,6.24,9270.0
1273,Injuu Gakuen La☆Blue Girl: Fukkatsu-hen,https://myanimelist.net/anime/1273/Injuu_Gakuen_La☆Blue_Girl__Fukkatsu-hen,Character Design,OVA,,2001,6.13,5259.0
12061,Injuu Seisen XX,https://myanimelist.net/anime/12061/Injuu_Seisen_XX,Character Design,OVA,,1997,5.53,1608.0
3569,Injuu Seisen: Twin Angels,https://myanimelist.net/anime/3569/Injuu_Seisen__Twin_Angels,"Character Design, Animation Director",OVA,,1995,5.64,3074.0
510,Kakyuusei 2: Hitomi no Naka no Shoujo-tachi,https://myanimelist.net/anime/510/Kakyuusei_2__Hitomi_no_Naka_no_Shoujo-tachi,Key Animation (eyecatch),TV,Fall,2004,5.77,7002.0
2243,Karasu Tengu Kabuto,https://myanimelist.net/anime/2243/Karasu_Tengu_Kabuto,"Key Animation (eps 2, 12)",TV,Summer,1990,6.43,3326.0
4803,Kawarazaki-ke no Ichizoku 2,https://myanimelist.net/anime/4803/Kawarazaki-ke_no_Ichizoku_2,Original Character Design,OVA,,2004,5.53,2288.0
40682,Kingdom 3rd Season,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,"Character Design (Sub-Character Design), Chief Animation Director (ep 15, 18, 20, 23), Key Animation (OP2)",TV,Spring,2020,8.83,115144.0
50160,Kingdom 4th Season,https://myanimelist.net/anime/50160/Kingdom_4th_Season,"Character Design (Sub-Character Design), Chief Animation Director (eps 3-4, 7, 10, 14, 17, 19, 22, 25)",TV,Spring,2022,8.73,74384.0
53223,Kingdom 5th Season,https://myanimelist.net/anime/53223/Kingdom_5th_Season,"Character Design (Sub-Character Design), Chief Animation Director",TV,Winter,2024,8.72,46765.0
3323,Kite Liberator,https://myanimelist.net/anime/3323/Kite_Liberator,Key Animation,OVA,,2008,6.2,34886.0
3064,Kizuoibito,https://myanimelist.net/anime/3064/Kizuoibito,Key Animation (eps 4-5),OVA,,1986,4.03,2645.0
35434,Konbini Kareshi,https://myanimelist.net/anime/35434/Konbini_Kareshi,Animation Director (ep 4),TV,Summer,2017,6.26,102901.0
221,Mezzo Forte,https://myanimelist.net/anime/221/Mezzo_Forte,Key Animation (ep 1),OVA,,2000,6.62,36096.0
1763,Midnight Panther,https://myanimelist.net/anime/1763/Midnight_Panther,"Character Design, Animation Director (eps 1-2)",OVA,,1998,5.78,3084.0
2472,Naruto: Shippuuden Movie 1,https://myanimelist.net/anime/2472/Naruto__Shippuuden_Movie_1,Key Animation,Movie,,2007,7.29,308702.0
1359,Nikutai Teni,https://myanimelist.net/anime/1359/Nikutai_Teni,Key Animation (ep 1),OVA,,2003,6.25,11675.0
10924,Queen's Blade OVA,https://myanimelist.net/anime/10924/Queens_Blade_OVA,"Character Design, Chief Animation Director, Series Production Director",OVA,,2011,6.29,17995.0
12065,Queen's Blade OVA Specials,https://myanimelist.net/anime/12065/Queens_Blade_OVA_Specials,Key Animation,Special,,2011,6.03,11379.0
30679,Queen's Blade: Grimoire,https://myanimelist.net/anime/30679/Queens_Blade__Grimoire,Character Design,OVA,,2016,6.11,12754.0
6633,Queen's Blade: Gyokuza wo Tsugu Mono,https://myanimelist.net/anime/6633/Queens_Blade__Gyokuza_wo_Tsugu_Mono,"Character Design, Chief Animation Director (eps 2-12), Animation Director (ep 12), Key Animation (OP, ep 12)",TV,Fall,2009,6.52,57255.0
11859,Queen's Blade: Rebellion,https://myanimelist.net/anime/11859/Queens_Blade__Rebellion,"Character Design, Chief Animation Director (eps 1, 3, 5-6, 9, 11), Assistant Animation Director (OP)",TV,Spring,2012,6.25,45410.0
4719,Queen's Blade: Rurou no Senshi,https://myanimelist.net/anime/4719/Queens_Blade__Rurou_no_Senshi,"Character Design, Chief Animation Director, Animation Director (OP, ep 12), Key Animation (OP)",TV,Spring,2009,6.12,105881.0
8456,Queen's Blade: Utsukushiki Toushi-tachi,https://myanimelist.net/anime/8456/Queens_Blade__Utsukushiki_Toushi-tachi,"Character Design, Chief Animation Director, Animation Director (OP), Key Animation (OP)",OVA,,2010,6.51,24085.0
25859,Re-Kan!,https://myanimelist.net/anime/25859/Re-Kan,"Animation Director (OP), Key Animation (OP)",TV,Spring,2015,6.76,62140.0
3509,Riki-Oh: Toukatsu Jigoku,https://myanimelist.net/anime/3509/Riki-Oh__Toukatsu_Jigoku,Key Animation,OVA,,1989,5.96,4749.0
