ID,Title,Link,Roles,Type,Season,Year,Score,Members
2156,Bakugan Battle Brawlers,https://myanimelist.net/anime/2156/Bakugan_Battle_Brawlers,"Theme Song Performance (OP01, OP02)",TV,Spring,2007,6.48,114143.0
5337,Bakugan Battle Brawlers: New Vestroia,https://myanimelist.net/anime/5337/Bakugan_Battle_Brawlers__New_Vestroia,Theme Song Performance (OP01),TV,Spring,2010,6.57,69865.0
34077,Cardfight!! Vanguard G Next,https://myanimelist.net/anime/34077/Cardfight_Vanguard_G_Next,Theme Song Performance (OP),TV,Fall,2016,6.69,11982.0
15611,Cardfight!! Vanguard: Link Joker-hen,https://myanimelist.net/anime/15611/Cardfight_Vanguard__Link_Joker-hen,Theme Song Performance (OP),TV,Winter,2013,7.15,24567.0
1675,Chou Robot Seimeitai Transformers Micron Densetsu,https://myanimelist.net/anime/1675/Chou_Robot_Seimeitai_Transformers_Micron_Densetsu,Theme Song Performance (OP1),TV,Winter,2003,6.83,10966.0
23511,Choubakuretsu Ijigen Menko Battle: Gigant Shooter Tsukasa,https://myanimelist.net/anime/23511/Choubakuretsu_Ijigen_Menko_Battle__Gigant_Shooter_Tsukasa,Theme Song Performance (OP),TV,Spring,2014,5.43,662.0
34257,Cinderella Girls Gekijou,https://myanimelist.net/anime/34257/Cinderella_Girls_Gekijou,"Theme Song Arrangement (ED5, YOFFY), Theme Song Composition (ED5, YOFFY), Theme Song Lyrics (ED5, YOFFY)",TV,Spring,2017,6.54,19749.0
11385,Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi,https://myanimelist.net/anime/11385/Digimon_Xros_Wars__Toki_wo_Kakeru_Shounen_Hunter-tachi,Inserted Song Performance,TV,Fall,2011,6.41,28180.0
19067,Future Card Buddyfight,https://myanimelist.net/anime/19067/Future_Card_Buddyfight,Theme Song Performance (OP1),TV,Winter,2014,6.73,11924.0
1845,Gaiking: Legend of Daiku-Maryu,https://myanimelist.net/anime/1845/Gaiking__Legend_of_Daiku-Maryu,Theme Song Performance (OP01),TV,Fall,2005,7.13,5667.0
23,Ring ni Kakero 1,https://myanimelist.net/anime/23/Ring_ni_Kakero_1,Theme Song Performance (ED01),TV,Fall,2004,6.36,5407.0
33255,Saiki Kusuo no Ψ-nan,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan,Music,TV,Summer,2016,8.41,1173778.0
34612,Saiki Kusuo no Ψ-nan 2,https://myanimelist.net/anime/34612/Saiki_Kusuo_no_Ψ-nan_2,"Music, Theme Song Performance (OP (斉木ックラバー))",TV,Winter,2018,8.41,679359.0
40542,Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,https://myanimelist.net/anime/40542/Saiki_Kusuo_no_Ψ-nan__Ψ-shidou-hen,Music,ONA,,2019,8.11,235580.0
38249,Saiki Kusuo no Ψ-nan: Kanketsu-hen,https://myanimelist.net/anime/38249/Saiki_Kusuo_no_Ψ-nan__Kanketsu-hen,Music,TV Special,,2018,8.2,233995.0
1837,Sumeba Miyako no Cosmos-sou Suttoko Taisen Dokkoida,https://myanimelist.net/anime/1837/Sumeba_Miyako_no_Cosmos-sou_Suttoko_Taisen_Dokkoida,Theme Song Performance (OP01),TV,Summer,2003,6.76,6925.0
4066,Tytania,https://myanimelist.net/anime/4066/Tytania,Theme Song Performance (ED01),TV,Fall,2008,6.79,20242.0
935,Witchblade,https://myanimelist.net/anime/935/Witchblade,"Theme Song Performance (OP01, ED03)",TV,Spring,2006,7.2,120902.0
482,Yu☆Gi☆Oh! Duel Monsters GX,https://myanimelist.net/anime/482/Yu☆Gi☆Oh_Duel_Monsters_GX,Theme Song Performance (OP04),TV,Fall,2004,7.21,226351.0
