ID,Title,Link,Roles,Type,Season,Year,Score,Members
59199,Classic★Stars,https://myanimelist.net/anime/59199/Classic★Stars,Producer,TV,Spring,2025.0,,2019.0
59078,Princession Orchestra,https://myanimelist.net/anime/59078/Princession_Orchestra,Original Creator,TV,Spring,2025.0,,3112.0
53646,Project Symphogear: Next,https://myanimelist.net/anime/53646/Project_Symphogear__Next,Original Creator,,,,,2597.0
11751,Senki Zesshou Symphogear,https://myanimelist.net/anime/11751/Senki_Zesshou_Symphogear,"Script, Original Creator, Series Production Director, Series Composition",TV,Winter,2012.0,7.04,124038.0
32836,Senki Zesshou Symphogear AXZ,https://myanimelist.net/anime/32836/Senki_Zesshou_Symphogear_AXZ,"Script, Original Creator, Series Composition",TV,Summer,2017.0,7.61,38526.0
36692,Senki Zesshou Symphogear AXZ: Senki Zesshou Shinai Symphogear,https://myanimelist.net/anime/36692/Senki_Zesshou_Symphogear_AXZ__Senki_Zesshou_Shinai_Symphogear,Script,Special,,2017.0,6.96,5751.0
15793,Senki Zesshou Symphogear G,https://myanimelist.net/anime/15793/Senki_Zesshou_Symphogear_G,"Script, Original Creator, Series Composition",TV,Summer,2013.0,7.46,62544.0
20843,Senki Zesshou Symphogear G: Senki Zesshou Shinai Symphogear,https://myanimelist.net/anime/20843/Senki_Zesshou_Symphogear_G__Senki_Zesshou_Shinai_Symphogear,Script,Special,,2014.0,6.88,11387.0
21573,Senki Zesshou Symphogear GX,https://myanimelist.net/anime/21573/Senki_Zesshou_Symphogear_GX,"Script, Original Creator, Series Composition",TV,Summer,2015.0,7.45,49722.0
32151,Senki Zesshou Symphogear GX: Senki Zesshou Shinai Symphogear,https://myanimelist.net/anime/32151/Senki_Zesshou_Symphogear_GX__Senki_Zesshou_Shinai_Symphogear,Script,Special,,2015.0,6.95,7574.0
32843,Senki Zesshou Symphogear XV,https://myanimelist.net/anime/32843/Senki_Zesshou_Symphogear_XV,"Script, Original Creator, Series Composition",TV,Summer,2019.0,8.19,41581.0
