ID,Title,Link,Roles,Type,Season,Year,Score,Members
12149,AKB0048,https://myanimelist.net/anime/12149/AKB0048,Music,TV,Spring,2012,7.35,63519.0
16211,Bakumatsu Gijinden Roman,https://myanimelist.net/anime/16211/Bakumatsu_Gijinden_Roman,Music,TV,Winter,2013,6.13,11275.0
8,Bouken Ou Beet,https://myanimelist.net/anime/8/Bouken_Ou_Beet,Music,TV,Fall,2004,6.92,16205.0
1123,Bouken Ou Beet Excellion,https://myanimelist.net/anime/1123/Bouken_Ou_Beet_Excellion,Music,TV,Fall,2005,6.68,8530.0
16419,Dokidoki! Precure,https://myanimelist.net/anime/16419/Dokidoki_Precure,Music,TV,Winter,2013,6.7,29664.0
12231,Dragon Ball: Episode of Bardock,https://myanimelist.net/anime/12231/Dragon_Ball__Episode_of_Bardock,Music,Special,,2011,7.22,121518.0
10017,Dragon Ball: Super Saiya-jin Zetsumetsu Keikaku,https://myanimelist.net/anime/10017/Dragon_Ball__Super_Saiya-jin_Zetsumetsu_Keikaku,Music,OVA,,2010,6.58,44924.0
2795,Dragonaut: The Resonance,https://myanimelist.net/anime/2795/Dragonaut__The_Resonance,"Theme Song Arrangement (ED1), Theme Song Composition (ED1)",TV,Fall,2007,6.57,79199.0
28669,Go! Princess Precure,https://myanimelist.net/anime/28669/Go_Princess_Precure,Music,TV,Winter,2015,7.81,20532.0
21407,Happiness Charge Precure!,https://myanimelist.net/anime/21407/Happiness_Charge_Precure,Music,TV,Winter,2014,6.8,13418.0
56425,Houkago Shounen Hanako-kun,https://myanimelist.net/anime/56425/Houkago_Shounen_Hanako-kun,Music,TV,Fall,2023,7.09,70082.0
57102,Houkago Shounen Hanako-kun Part 2,https://myanimelist.net/anime/57102/Houkago_Shounen_Hanako-kun_Part_2,Music,TV,Fall,2024,7.05,36322.0
358,"Iriya no Sora, UFO no Natsu",https://myanimelist.net/anime/358/Iriya_no_Sora_UFO_no_Natsu,"Music, Theme Song Arrangement (OP, ED)",OVA,,2005,6.89,26846.0
39534,Jibaku Shounen Hanako-kun,https://myanimelist.net/anime/39534/Jibaku_Shounen_Hanako-kun,Music,TV,Winter,2020,7.83,633862.0
53924,Jibaku Shounen Hanako-kun 2,https://myanimelist.net/anime/53924/Jibaku_Shounen_Hanako-kun_2,Music,TV,Winter,2025,8.0,69644.0
6980,Kaidan Restaurant,https://myanimelist.net/anime/6980/Kaidan_Restaurant,Music,TV,Fall,2009,7.24,17588.0
8492,Kikansha Yaemon,https://myanimelist.net/anime/8492/Kikansha_Yaemon,Music,Movie,,2009,,390.0
10893,Kyousou Giga,https://myanimelist.net/anime/10893/Kyousou_Giga,Music,ONA,,2011,6.9,47454.0
31884,Mahoutsukai Precure!,https://myanimelist.net/anime/31884/Mahoutsukai_Precure,Music,TV,Winter,2016,7.3,16079.0
54717,Mahoutsukai Precure!! Mirai Days,https://myanimelist.net/anime/54717/Mahoutsukai_Precure_Mirai_Days,"Music, Theme Song Arrangement (OP)",TV,Winter,2025,7.14,4364.0
16890,Makai Ouji: Devils and Realist,https://myanimelist.net/anime/16890/Makai_Ouji__Devils_and_Realist,Music,TV,Summer,2013,7.0,119876.0
35656,Oshiri Tantei,https://myanimelist.net/anime/35656/Oshiri_Tantei,Music,TV,Spring,2018,,1079.0
39435,Oshiri Tantei Movie 1: Curry Naru Jiken,https://myanimelist.net/anime/39435/Oshiri_Tantei_Movie_1__Curry_Naru_Jiken,Music,Movie,,2019,,267.0
57590,Oshiri Tantei Movie 5: Saraba Itoshiki Aibou (Oshiri) yo,https://myanimelist.net/anime/57590/Oshiri_Tantei_Movie_5__Saraba_Itoshiki_Aibou_Oshiri_yo,Music,Movie,,2024,,170.0
60613,Oshiri Tantei Movie 6: Star and Moon,https://myanimelist.net/anime/60613/Oshiri_Tantei_Movie_6__Star_and_Moon,Music,Movie,,2025,,104.0
5080,Quiz Magic Academy: The Original Animation,https://myanimelist.net/anime/5080/Quiz_Magic_Academy__The_Original_Animation,"Theme Song Arrangement (OP, ED)",OVA,,2008,6.03,10959.0
1724,Saint October,https://myanimelist.net/anime/1724/Saint_October,"Music, Theme Song Arrangement (ED1-ED3), Theme Song Composition (ED1-ED3)",TV,Winter,2007,6.49,7788.0
37571,Senjuushi,https://myanimelist.net/anime/37571/Senjuushi,Music,TV,Summer,2018,4.91,14183.0
2604,Sky Girls,https://myanimelist.net/anime/2604/Sky_Girls,"Theme Song Arrangement (ED1, ED2), Theme Song Composition (ED1, ED2)",TV,Summer,2007,6.99,25335.0
1480,Sky Girls OVA,https://myanimelist.net/anime/1480/Sky_Girls_OVA,"Theme Song Arrangement (ED), Theme Song Composition (ED)",OVA,,2006,6.59,7613.0
4066,Tytania,https://myanimelist.net/anime/4066/Tytania,"Music, Theme Song Arrangement (OP), Theme Song Composition (OP)",TV,Fall,2008,6.79,20242.0
