ID,Title,Link,Roles,Type,Season,Year,Score,Members
11741,Fate/Zero 2nd Season,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season,Theme Song Performance (ED),TV,Spring,2012,8.54,1153846.0
31500,High School Fleet,https://myanimelist.net/anime/31500/High_School_Fleet,Theme Song Performance (ED),TV,Spring,2016,7.3,108907.0
21603,Mekakucity Actors,https://myanimelist.net/anime/21603/Mekakucity_Actors,Inserted Song Performance,TV,Spring,2014,7.01,449921.0
17074,Monogatari Series: Second Season,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,"Theme Song Performance (ED1, ED4)",TV,Summer,2013,8.76,693081.0
37096,Puzzle & Dragon,https://myanimelist.net/anime/37096/Puzzle___Dragon,"Theme Song Lyrics (ED6), Theme Song Performance (ED6)",TV,Spring,2018,5.83,1722.0
23277,Saenai Heroine no Sodatekata,https://myanimelist.net/anime/23277/Saenai_Heroine_no_Sodatekata,"Theme Song Lyrics (ED), Theme Song Performance (ED)",TV,Winter,2015,7.47,690849.0
30727,Saenai Heroine no Sodatekata ♭,https://myanimelist.net/anime/30727/Saenai_Heroine_no_Sodatekata_♭,Theme Song Performance (OP),TV,Spring,2017,7.76,384681.0
35338,Saenai Heroine no Sodatekata ♭: Koi to Junjou no Service-kai,https://myanimelist.net/anime/35338/Saenai_Heroine_no_Sodatekata_♭__Koi_to_Junjou_no_Service-kai,Theme Song Performance,Special,,2017,7.37,133147.0
36885,Saenai Heroine no Sodatekata Fine,https://myanimelist.net/anime/36885/Saenai_Heroine_no_Sodatekata_Fine,Theme Song Performance (ED),Movie,,2019,8.42,194821.0
29317,Saenai Heroine no Sodatekata: Ai to Seishun no Service-kai,https://myanimelist.net/anime/29317/Saenai_Heroine_no_Sodatekata__Ai_to_Seishun_no_Service-kai,"Theme Song Lyrics (OP), Theme Song Performance (OP)",TV Special,,2015,7.08,134173.0
11757,Sword Art Online,https://myanimelist.net/anime/11757/Sword_Art_Online,Theme Song Performance (ED3),TV,Summer,2012,7.21,3183518.0
21881,Sword Art Online II,https://myanimelist.net/anime/21881/Sword_Art_Online_II,"Theme Song Lyrics (ED2), Theme Song Performance (ED2)",TV,Summer,2014,6.71,2044270.0
27891,Sword Art Online II: Debriefing,https://myanimelist.net/anime/27891/Sword_Art_Online_II__Debriefing,"Theme Song Lyrics (ED), Theme Song Performance (ED)",TV Special,,2014,6.7,135991.0
20021,Sword Art Online: Extra Edition,https://myanimelist.net/anime/20021/Sword_Art_Online__Extra_Edition,Inserted Song Performance,Special,,2013,6.55,327906.0
35250,Urahara,https://myanimelist.net/anime/35250/Urahara,Theme Song Performance (ED),TV,Fall,2017,5.79,36884.0
36726,Yuragi-sou no Yuuna-san,https://myanimelist.net/anime/36726/Yuragi-sou_no_Yuuna-san,Theme Song Performance (OP),TV,Summer,2018,6.98,316506.0
