ID,Title,Link,Roles,Type,Season,Year,Score,Members
1269,Bio Hunter,https://myanimelist.net/anime/1269/Bio_Hunter,ADR Director (French),OVA,,1995,5.95,16540.0
3522,Choujin Locke,https://myanimelist.net/anime/3522/Choujin_Locke,ADR Director (French),Movie,,1984,6.35,4481.0
1761,Golgo 13: Queen Bee,https://myanimelist.net/anime/1761/Golgo_13__Queen_Bee,ADR Director (French),OVA,,1998,6.57,11670.0
496,Kamui no Ken,https://myanimelist.net/anime/496/Kamui_no_Ken,ADR Director (French),Movie,,1985,6.61,8014.0
9817,McDull: Gushi,https://myanimelist.net/anime/9817/McDull__Gushi,Inserted Song Performance (French),Movie,,2001,6.25,546.0
1767,Psycho Diver: Mashou Bosatsu,https://myanimelist.net/anime/1767/Psycho_Diver__Mashou_Bosatsu,ADR Director (French),OVA,,1997,5.59,7104.0
1245,Shihaisha no Tasogare,https://myanimelist.net/anime/1245/Shihaisha_no_Tasogare,ADR Director (French),OVA,,1998,5.81,12808.0
1582,Submarine 707R,https://myanimelist.net/anime/1582/Submarine_707R,ADR Director (French),OVA,,2003,6.21,3429.0
508,Tottoko Hamtarou,https://myanimelist.net/anime/508/Tottoko_Hamtarou,Theme Song Performance (French),TV,Summer,2000,7.01,62772.0
543,Vampire Hunter D (2000),https://myanimelist.net/anime/543/Vampire_Hunter_D_2000,ADR Director (French),Movie,,2000,7.95,220747.0
