ID,Title,Link,Roles,Type,Season,Year,Score,Members
33573,BanG Dream!,https://myanimelist.net/anime/33573/BanG_Dream,Key Animation (OP),TV,Winter,2017,6.99,99462.0
348,Binzume Yousei,https://myanimelist.net/anime/348/Binzume_Yousei,In-Between Animation,TV,Fall,2003,6.44,20356.0
1536,Busou Renkin,https://myanimelist.net/anime/1536/Busou_Renkin,"Animation Director (eps 4, 10, 16), Key Animation (OP)",TV,Fall,2006,7.29,176357.0
61,D.N.Angel,https://myanimelist.net/anime/61/DNAngel,"In-Between Animation (eps 2, 26)",TV,Spring,2003,7.16,188477.0
1250,Erementar Gerad,https://myanimelist.net/anime/1250/Erementar_Gerad,Key Animation (OP),TV,Spring,2005,7.23,98408.0
32901,Eromanga-sensei,https://myanimelist.net/anime/32901/Eromanga-sensei,"Chief Animation Director (eps 1-2, 4-5, 7, 9, 11-12), Animation Director (ep 7, OP, ED2), Key Animation (ep 1)",TV,Spring,2017,6.32,745124.0
36792,Eromanga-sensei OVA,https://myanimelist.net/anime/36792/Eromanga-sensei_OVA,"Chief Animation Director, Animation Director (ep 1)",OVA,,2019,6.78,119666.0
38084,Fate/Grand Order: Zettai Majuu Sensen Babylonia,https://myanimelist.net/anime/38084/Fate_Grand_Order__Zettai_Majuu_Sensen_Babylonia,"Chief Animation Director (eps 6, 10, 12, 14, 17, 19, 21), Animation Director (ED2), Assistant Animation Director (eps 1, 7)",TV,Fall,2019,7.94,297275.0
126,Futakoi Alternative,https://myanimelist.net/anime/126/Futakoi_Alternative,Key Animation (ep 13),TV,Spring,2005,6.84,32777.0
10793,Guilty Crown,https://myanimelist.net/anime/10793/Guilty_Crown,"2nd Key Animation (ep 4), Key Animation (OP 1)",TV,Fall,2011,7.4,1247803.0
1142,Hachimitsu to Clover II,https://myanimelist.net/anime/1142/Hachimitsu_to_Clover_II,Key Animation,TV,Summer,2006,8.18,109564.0
11785,Haiyore! Nyaruko-san,https://myanimelist.net/anime/11785/Haiyore_Nyaruko-san,Key Animation (OP),TV,Spring,2012,6.97,366501.0
26023,Haiyore! Nyaruko-san F,https://myanimelist.net/anime/26023/Haiyore_Nyaruko-san_F,Key Animation (ED),OVA,,2015,7.42,59740.0
15699,Haiyore! Nyaruko-san W,https://myanimelist.net/anime/15699/Haiyore_Nyaruko-san_W,Key Animation (OP),TV,Spring,2013,7.2,187161.0
2883,Iyashite Agerun Saiyuuki,https://myanimelist.net/anime/2883/Iyashite_Agerun_Saiyuuki,2nd Key Animation,OVA,,2007,6.48,7217.0
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,Key Animation (Key Animation Assistance: ED),TV,Winter,2019,8.4,1832913.0
3349,Kiddy GiRL-AND,https://myanimelist.net/anime/3349/Kiddy_GiRL-AND,Key Animation,TV,Fall,2009,6.81,18677.0
36098,Kimi no Suizou wo Tabetai,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,"Character Design, Chief Animation Director",Movie,,2018,8.55,1036531.0
157,Mahou Sensei Negima!,https://myanimelist.net/anime/157/Mahou_Sensei_Negima,"Key Animation (eps 3, 10, 15-16, 19, 22, 24, 26)",TV,Winter,2005,6.92,145462.0
7135,Mahou Sensei Negima! Movie: Anime Final,https://myanimelist.net/anime/7135/Mahou_Sensei_Negima_Movie__Anime_Final,Key Animation,Movie,,2011,6.77,21845.0
5029,Major Movie: Yuujou no Winning Shot,https://myanimelist.net/anime/5029/Major_Movie__Yuujou_no_Winning_Shot,Chief Animation Director,Movie,,2008,7.95,21517.0
9181,Motto To LOVE-Ru,https://myanimelist.net/anime/9181/Motto_To_LOVE-Ru,"Character Design, Chief Animation Director, Animation Director (eps 1-2, OP, ED)",TV,Fall,2010,7.26,344792.0
26351,Nagato Yuki-chan no Shoushitsu,https://myanimelist.net/anime/26351/Nagato_Yuki-chan_no_Shoushitsu,Key Animation (ep 8),TV,Spring,2015,6.72,142874.0
