ID,Title,Link,Roles,Type,Season,Year,Score,Members
55225,Bear Bear Bear Kuma Punch!,https://myanimelist.net/anime/55225/Bear_Bear_Bear_Kuma_Punch,Original Character Design,ONA,,2023,6.13,1638.0
56106,Bear Bear Bear Kuma Punch!! Daiundoukai-hen,https://myanimelist.net/anime/56106/Bear_Bear_Bear_Kuma_Punch_Daiundoukai-hen,Original Character Design,Special,,2023,6.49,2171.0
43353,Bear Bear Bear Kuma!,https://myanimelist.net/anime/43353/Bear_Bear_Bear_Kuma,Original Character Design,ONA,,2020,6.59,9571.0
45605,Bear Bear Bear Kuma! Kumadam-hen,https://myanimelist.net/anime/45605/Bear_Bear_Bear_Kuma_Kumadam-hen,Original Character Design,Special,,2021,5.73,1951.0
52970,Chiichai! Maou-sama!!,https://myanimelist.net/anime/52970/Chiichai_Maou-sama,Original Character Design,ONA,,2022,5.91,3041.0
15809,Hataraku Maou-sama!,https://myanimelist.net/anime/15809/Hataraku_Maou-sama,Original Character Design,TV,Spring,2013,7.71,1613184.0
48413,Hataraku Maou-sama!!,https://myanimelist.net/anime/48413/Hataraku_Maou-sama,Original Character Design,TV,Summer,2022,6.65,503356.0
53200,Hataraku Maou-sama!! 2nd Season,https://myanimelist.net/anime/53200/Hataraku_Maou-sama_2nd_Season,Original Character Design,TV,Summer,2023,6.67,158414.0
55878,Hataraku Maou-sama!! Recap,https://myanimelist.net/anime/55878/Hataraku_Maou-sama_Recap,Original Character Design,Special,,2023,6.07,10246.0
25159,Inou-Battle wa Nichijou-kei no Naka de,https://myanimelist.net/anime/25159/Inou-Battle_wa_Nichijou-kei_no_Naka_de,Original Character Design,TV,Fall,2014,7.04,441923.0
40974,Kuma Kuma Kuma Bear,https://myanimelist.net/anime/40974/Kuma_Kuma_Kuma_Bear,Original Character Design,TV,Fall,2020,7.23,177159.0
45486,Kuma Kuma Kuma Bear Punch!,https://myanimelist.net/anime/45486/Kuma_Kuma_Kuma_Bear_Punch,Original Character Design,TV,Spring,2023,7.28,87941.0
