ID,Title,Link,Roles,Type,Season,Year,Score,Members
33363,"""Eiyuu"" Kaitai",https://myanimelist.net/anime/33363/Eiyuu_Kaitai,Planning,OVA,,2016,5.91,5546.0
37403,Ahiru no Sora,https://myanimelist.net/anime/37403/Ahiru_no_Sora,Executive Producer,TV,Fall,2019,7.26,207426.0
34881,Aho Girl,https://myanimelist.net/anime/34881/Aho_Girl,Chief Producer,TV,Summer,2017,6.72,514377.0
16201,Aku no Hana,https://myanimelist.net/anime/16201/Aku_no_Hana,Producer,TV,Spring,2013,7.15,236591.0
55071,Amagami-san Chi no Enmusubi,https://myanimelist.net/anime/55071/Amagami-san_Chi_no_Enmusubi,Executive Producer,TV,Fall,2024,7.5,81151.0
13863,Arve Rezzle: Kikaijikake no Yousei-tachi,https://myanimelist.net/anime/13863/Arve_Rezzle__Kikaijikake_no_Yousei-tachi,Assistant Producer,Movie,,2013,6.2,26965.0
5342,Asura Cryin',https://myanimelist.net/anime/5342/Asura_Cryin,Producer,TV,Spring,2009,6.88,103938.0
6676,Asura Cryin' 2,https://myanimelist.net/anime/6676/Asura_Cryin_2,Producer,TV,Fall,2009,7.23,63337.0
53428,Ayaka,https://myanimelist.net/anime/53428/Ayaka,Executive Producer,TV,Summer,2023,6.43,50668.0
35964,Basilisk: Ouka Ninpouchou,https://myanimelist.net/anime/35964/Basilisk__Ouka_Ninpouchou,Executive Producer,TV,Winter,2018,5.55,40190.0
58437,"Botsuraku Yotei no Kizoku dakedo, Hima Datta kara Mahou wo Kiwametemita",https://myanimelist.net/anime/58437/Botsuraku_Yotei_no_Kizoku_dakedo_Hima_Datta_kara_Mahou_wo_Kiwametemita,Chief Producer,TV,Winter,2025,6.06,58307.0
52985,Dekoboko Majo no Oyako Jijou,https://myanimelist.net/anime/52985/Dekoboko_Majo_no_Oyako_Jijou,Executive Producer,TV,Fall,2023,6.77,61771.0
57845,Elf-san wa Yaserarenai.,https://myanimelist.net/anime/57845/Elf-san_wa_Yaserarenai,Executive Producer,TV,Summer,2024,5.6,45702.0
49930,Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,https://myanimelist.net/anime/49930/Genjitsu_Shugi_Yuusha_no_Oukoku_Saikenki_Part_2,Executive Producer,TV,Winter,2022,7.43,276732.0
17895,Golden Time,https://myanimelist.net/anime/17895/Golden_Time,Chief Producer,TV,Fall,2013,7.74,1088215.0
59055,"Hana wa Saku, Shura no Gotoku",https://myanimelist.net/anime/59055/Hana_wa_Saku_Shura_no_Gotoku,Executive Producer,TV,Winter,2025,7.18,32876.0
31109,Hatsukoi Monster,https://myanimelist.net/anime/31109/Hatsukoi_Monster,Executive Producer,TV,Summer,2016,5.44,116323.0
10187,HenSemi (TV),https://myanimelist.net/anime/10187/HenSemi_TV,Producer,TV,Spring,2011,6.49,47291.0
2002,Heroic Age,https://myanimelist.net/anime/2002/Heroic_Age,Producer,TV,Spring,2007,7.5,115551.0
50197,"Ijiranaide, Nagatoro-san 2nd Attack",https://myanimelist.net/anime/50197/Ijiranaide_Nagatoro-san_2nd_Attack,Executive Producer,TV,Winter,2023,7.46,309607.0
51265,Inu ni Nattara Suki na Hito ni Hirowareta.,https://myanimelist.net/anime/51265/Inu_ni_Nattara_Suki_na_Hito_ni_Hirowareta,Executive Producer,TV,Winter,2023,5.05,128865.0
54225,Inu ni Nattara Suki na Hito ni Hirowareta. Specials,https://myanimelist.net/anime/54225/Inu_ni_Nattara_Suki_na_Hito_ni_Hirowareta_Specials,Executive Producer,Special,,2023,5.32,22943.0
940,Inukami!,https://myanimelist.net/anime/940/Inukami,Producer,TV,Spring,2006,7.21,71350.0
2132,Inukami! The Movie: Tokumei Reiteki Sousakan Karina Shirou!,https://myanimelist.net/anime/2132/Inukami_The_Movie__Tokumei_Reiteki_Sousakan_Karina_Shirou,Producer,Movie,,2007,7.0,17540.0
636,Juubee-chan 2: Siberia Yagyuu no Gyakushuu,https://myanimelist.net/anime/636/Juubee-chan_2__Siberia_Yagyuu_no_Gyakushuu,Producer,TV,Winter,2004,6.82,12234.0
14467,K,https://myanimelist.net/anime/14467/K,Producer,TV,Fall,2012,7.42,783484.0
16904,K: Missing Kings,https://myanimelist.net/anime/16904/K__Missing_Kings,Producer,Movie,,2014,7.62,260993.0
42822,Kai Byoui Ramune,https://myanimelist.net/anime/42822/Kai_Byoui_Ramune,Executive Producer,TV,Winter,2021,7.15,86010.0
16668,Kakumeiki Valvrave,https://myanimelist.net/anime/16668/Kakumeiki_Valvrave,Producer (General Producer),TV,Spring,2013,7.12,175484.0
