ID,Title,Link,Roles,Type,Season,Year,Score,Members
28861,Takamiya Nasuno desu! Teekyuu Spin-off,https://myanimelist.net/anime/28861/Takamiya_Nasuno_desu_Teekyuu_Spin-off,Original Creator,TV,Spring,2015,6.4,15630.0
31669,Takamiya Nasuno desu! Teekyuu Spin-off Special,https://myanimelist.net/anime/31669/Takamiya_Nasuno_desu_Teekyuu_Spin-off_Special,Original Creator,Special,,2015,5.91,3079.0
15125,Teekyuu,https://myanimelist.net/anime/15125/Teekyuu,Original Creator,TV,Fall,2012,6.55,69210.0
18121,Teekyuu 2,https://myanimelist.net/anime/18121/Teekyuu_2,Original Creator,TV,Summer,2013,6.69,32946.0
21201,Teekyuu 2 Specials,https://myanimelist.net/anime/21201/Teekyuu_2_Specials,Original Creator,Special,,2013,6.48,10851.0
20473,Teekyuu 3,https://myanimelist.net/anime/20473/Teekyuu_3,Original Creator,TV,Fall,2013,6.73,28213.0
22335,Teekyuu 3 Specials,https://myanimelist.net/anime/22335/Teekyuu_3_Specials,Original Creator,Special,,2014,6.46,10031.0
26395,Teekyuu 4,https://myanimelist.net/anime/26395/Teekyuu_4,Original Creator,TV,Spring,2015,6.67,23510.0
31608,Teekyuu 4 Specials,https://myanimelist.net/anime/31608/Teekyuu_4_Specials,Original Creator,Special,,2015,6.35,6297.0
30567,Teekyuu 5,https://myanimelist.net/anime/30567/Teekyuu_5,Original Creator,TV,Summer,2015,6.66,20720.0
31668,Teekyuu 5 Specials,https://myanimelist.net/anime/31668/Teekyuu_5_Specials,Original Creator,Special,,2015,6.2,5070.0
31440,Teekyuu 6,https://myanimelist.net/anime/31440/Teekyuu_6,Original Creator,TV,Fall,2015,6.56,18703.0
32816,Teekyuu 6 Specials,https://myanimelist.net/anime/32816/Teekyuu_6_Specials,Original Creator,Special,,2016,5.8,4421.0
32228,Teekyuu 7,https://myanimelist.net/anime/32228/Teekyuu_7,Original Creator,TV,Winter,2016,6.62,17653.0
32817,Teekyuu 7 Specials,https://myanimelist.net/anime/32817/Teekyuu_7_Specials,Original Creator,Special,,2016,6.17,4105.0
33811,Teekyuu 8,https://myanimelist.net/anime/33811/Teekyuu_8,Original Creator,TV,Fall,2016,6.62,16145.0
34614,Teekyuu 8 Specials,https://myanimelist.net/anime/34614/Teekyuu_8_Specials,Original Creator,Special,,2017,5.98,3950.0
35370,Teekyuu 9,https://myanimelist.net/anime/35370/Teekyuu_9,Original Creator,TV,Summer,2017,6.56,15312.0
32454,Usakame,https://myanimelist.net/anime/32454/Usakame,Original Creator,TV,Spring,2016,5.76,13623.0
