ID,Title,Link,Roles,Type,Season,Year,Score,Members
54468,Akatsuki no Chinkonka,https://myanimelist.net/anime/54468/Akatsuki_no_Chinkonka,Theme Song Performance,Music,,2018,6.34,4176.0
16498,Shingeki no Kyojin,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,Theme Song Performance (OP),TV,Spring,2013,8.56,4133371.0
23775,Shingeki no Kyojin Movie 1: Guren no Yumiya,https://myanimelist.net/anime/23775/Shingeki_no_Kyojin_Movie_1__Guren_no_Yumiya,Theme Song Performance (ED),Movie,,2014,7.82,135105.0
23777,Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa,https://myanimelist.net/anime/23777/Shingeki_no_Kyojin_Movie_2__Jiyuu_no_Tsubasa,Theme Song Performance ((OP)),Movie,,2015,7.95,142481.0
59571,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,https://myanimelist.net/anime/59571/Shingeki_no_Kyojin_Movie__Kanketsu-hen_-_The_Last_Attack,Theme Song Performance,Movie,,2024,8.83,36700.0
18397,Shingeki no Kyojin OVA,https://myanimelist.net/anime/18397/Shingeki_no_Kyojin_OVA,Theme Song Performance,OVA,,2013,7.89,485256.0
25777,Shingeki no Kyojin Season 2,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2,Theme Song Performance,TV,Spring,2017,8.52,2858131.0
35760,Shingeki no Kyojin Season 3,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3,Theme Song Performance (ED),TV,Summer,2018,8.63,2504026.0
38524,Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,Theme Song Performance (OP),TV,Spring,2019,9.05,2421301.0
25781,Shingeki no Kyojin: Kuinaki Sentaku,https://myanimelist.net/anime/25781/Shingeki_no_Kyojin__Kuinaki_Sentaku,Theme Song Performance,OVA,,2014,8.41,540258.0
51535,Shingeki no Kyojin: The Final Season - Kanketsu-hen,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,"Theme Song Performance (OP (Streaming), ED2 (TV Airing))",TV Special,,2023,8.87,752289.0
31374,Shingeki! Kyojin Chuugakkou,https://myanimelist.net/anime/31374/Shingeki_Kyojin_Chuugakkou,Theme Song Performance (OP),TV,Fall,2015,7.21,275861.0
