ID,Title,Link,Roles,Type,Season,Year,Score,Members
3079,Aoki Ryuusei SPT Layzner,https://myanimelist.net/anime/3079/Aoki_Ryuusei_SPT_Layzner,Theme Song Arrangement (OP & ED1),TV,Fall,1985.0,6.89,7747.0
8365,Crayon Shin-chan Movie 13: Densetsu wo Yobu Buriburi 3-pun Dai Shingeki,https://myanimelist.net/anime/8365/Crayon_Shin-chan_Movie_13__Densetsu_wo_Yobu_Buriburi_3-pun_Dai_Shingeki,Music,Movie,,2005.0,6.67,4588.0
8366,Crayon Shin-chan Movie 14: Densetsu wo Yobu Odore! Amigo!,https://myanimelist.net/anime/8366/Crayon_Shin-chan_Movie_14__Densetsu_wo_Yobu_Odore_Amigo,Music,Movie,,2006.0,6.8,5577.0
2172,Crayon Shin-chan Movie 15: Arashi wo Yobu Utau Ketsu dake Bakudan!,https://myanimelist.net/anime/2172/Crayon_Shin-chan_Movie_15__Arashi_wo_Yobu_Utau_Ketsu_dake_Bakudan,Music,Movie,,2007.0,6.83,4334.0
8368,Crayon Shin-chan Movie 17: Otakebe! Kasukabe Yasei Oukoku,https://myanimelist.net/anime/8368/Crayon_Shin-chan_Movie_17__Otakebe_Kasukabe_Yasei_Oukoku,Music,Movie,,2009.0,6.84,4716.0
2907,Cyborg Kuro-chan,https://myanimelist.net/anime/2907/Cyborg_Kuro-chan,Music,TV,Fall,1999.0,7.15,10153.0
1802,Dirty Pair Flash,https://myanimelist.net/anime/1802/Dirty_Pair_Flash,Music,OVA,,1994.0,6.57,11523.0
60090,Ehagaki,https://myanimelist.net/anime/60090/Ehagaki,Theme Song Arrangement,Music,,2013.0,,79.0
5217,Goal FH: Field Hunter,https://myanimelist.net/anime/5217/Goal_FH__Field_Hunter,Music,TV,Spring,1994.0,6.83,2216.0
2697,Hi-Speed Jecy,https://myanimelist.net/anime/2697/Hi-Speed_Jecy,Music,OVA,,1989.0,6.09,2291.0
135,Hikaru no Go,https://myanimelist.net/anime/135/Hikaru_no_Go,Music,TV,Fall,2001.0,8.07,143831.0
645,Hikaru no Go: Hokuto Hai e no Michi,https://myanimelist.net/anime/645/Hikaru_no_Go__Hokuto_Hai_e_no_Michi,Music,Special,,2004.0,7.93,24802.0
2336,Hikaru no Go: New Year Special,https://myanimelist.net/anime/2336/Hikaru_no_Go__New_Year_Special,Music,Special,,2002.0,7.27,9844.0
