ID,Title,Link,Roles,Type,Season,Year,Score,Members
32664,Bananya,https://myanimelist.net/anime/32664/Bananya,ADR Director,TV,Summer,2016,6.76,72768.0
1520,Black Jack,https://myanimelist.net/anime/1520/Black_Jack,ADR Director,OVA,,1993,7.72,42892.0
36896,Boku no Hero Academia the Movie 1: Futari no Hero,https://myanimelist.net/anime/36896/Boku_no_Hero_Academia_the_Movie_1__Futari_no_Hero,ADR Director,Movie,,2018,7.53,780424.0
39565,Boku no Hero Academia the Movie 2: Heroes:Rising,https://myanimelist.net/anime/39565/Boku_no_Hero_Academia_the_Movie_2__Heroes_Rising,ADR Director,Movie,,2019,7.93,599844.0
49345,"Goodbye, Don Glees!",https://myanimelist.net/anime/49345/Goodbye_Don_Glees,ADR Director,Movie,,2022,7.47,27810.0
13215,Guskou Budori no Denki (2012),https://myanimelist.net/anime/13215/Guskou_Budori_no_Denki_2012,ADR Director,Movie,,2012,6.26,7291.0
249,InuYasha,https://myanimelist.net/anime/249/InuYasha,"ADR Director, Dialogue Editing",TV,Fall,2000,7.87,828777.0
6811,InuYasha: Kanketsu-hen,https://myanimelist.net/anime/6811/InuYasha__Kanketsu-hen,ADR Director,TV,Fall,2009,8.2,294687.0
37981,Kaijuu no Kodomo,https://myanimelist.net/anime/37981/Kaijuu_no_Kodomo,ADR Director,Movie,,2019,7.19,118741.0
34233,Kimoshiba,https://myanimelist.net/anime/34233/Kimoshiba,ADR Director,TV,Fall,2016,,451.0
36003,Kimoshiba 2,https://myanimelist.net/anime/36003/Kimoshiba_2,ADR Director,TV,Spring,2017,,286.0
28851,Koe no Katachi,https://myanimelist.net/anime/28851/Koe_no_Katachi,ADR Director,Movie,,2016,8.93,2458796.0
2044,Mahou no Tenshi Creamy Mami,https://myanimelist.net/anime/2044/Mahou_no_Tenshi_Creamy_Mami,ADR Director,TV,Summer,1983,7.2,16252.0
1564,Pokemon Advanced Generation,https://myanimelist.net/anime/1564/Pokemon_Advanced_Generation,ADR Director,TV,Fall,2002,7.13,196356.0
1526,Pokemon Movie 08: Mew to Hadou no Yuusha Lucario,https://myanimelist.net/anime/1526/Pokemon_Movie_08__Mew_to_Hadou_no_Yuusha_Lucario,ADR Director,Movie,,2005,7.33,122413.0
2363,Pokemon Side Stories,https://myanimelist.net/anime/2363/Pokemon_Side_Stories,ADR Director,TV,Winter,2003,6.89,33935.0
1527,Pokemon: Senritsu no Mirage Pokemon,https://myanimelist.net/anime/1527/Pokemon__Senritsu_no_Mirage_Pokemon,ADR Director,ONA,,2006,6.5,33842.0
1559,Shijou Saikyou no Deshi Kenichi,https://myanimelist.net/anime/1559/Shijou_Saikyou_no_Deshi_Kenichi,ADR Director (eps. 1-35),TV,Fall,2006,8.04,313006.0
34498,"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?",https://myanimelist.net/anime/34498/Uchiage_Hanabi_Shita_kara_Miru_ka_Yoko_kara_Miru_ka,ADR Director,Movie,,2017,6.1,221914.0
