ID,Title,Link,Roles,Type,Season,Year,Score,Members
32086,Blame! Movie,https://myanimelist.net/anime/32086/Blame_Movie,ADR Director (French),Movie,,2017,7.02,112529.0
34497,Death March kara Hajimaru Isekai Kyousoukyoku,https://myanimelist.net/anime/34497/Death_March_kara_Hajimaru_Isekai_Kyousoukyoku,ADR Director (French),TV,Winter,2018,6.44,535279.0
8687,Doraemon (2005),https://myanimelist.net/anime/8687/Doraemon_2005,ADR Director (French),TV,Spring,2005,7.72,21529.0
56218,Houkago no Breath,https://myanimelist.net/anime/56218/Houkago_no_Breath,ADR Director (French),ONA,,2023,7.05,7750.0
40351,Pokemon (2019),https://myanimelist.net/anime/40351/Pokemon_2019,ADR Director (French),TV,Fall,2019,7.55,96342.0
53873,Pokemon (2019): Harukanaru Aoi Sora,https://myanimelist.net/anime/53873/Pokemon_2019__Harukanaru_Aoi_Sora,ADR Director (French),TV Special,,2022,7.26,7106.0
50673,Pokemon (2019): Kami to Yobareshi Arceus,https://myanimelist.net/anime/50673/Pokemon_2019__Kami_to_Yobareshi_Arceus,ADR Director (French),ONA,,2022,6.66,9399.0
53876,Pokemon (2023),https://myanimelist.net/anime/53876/Pokemon_2023,ADR Director (French),TV,Spring,2023,7.4,36451.0
9107,Pokemon Best Wishes!,https://myanimelist.net/anime/9107/Pokemon_Best_Wishes,ADR Director,TV,Fall,2010,6.45,109013.0
14093,Pokemon Best Wishes! Season 2,https://myanimelist.net/anime/14093/Pokemon_Best_Wishes_Season_2,ADR Director,TV,Summer,2012,6.46,74656.0
17873,Pokemon Best Wishes! Season 2: Decolora Adventure,https://myanimelist.net/anime/17873/Pokemon_Best_Wishes_Season_2__Decolora_Adventure,ADR Director,TV,Spring,2013,6.32,49195.0
17115,Pokemon Best Wishes! Season 2: Episode N,https://myanimelist.net/anime/17115/Pokemon_Best_Wishes_Season_2__Episode_N,ADR Director,TV,Winter,2013,6.69,52260.0
14123,Pokemon Black and White 2: Introduction Movie,https://myanimelist.net/anime/14123/Pokemon_Black_and_White_2__Introduction_Movie,ADR Director (French),PV,,2012,7.38,18688.0
54633,Pokemon Concierge,https://myanimelist.net/anime/54633/Pokemon_Concierge,ADR Director (French),ONA,,2023,7.7,14280.0
1565,Pokemon Diamond & Pearl,https://myanimelist.net/anime/1565/Pokemon_Diamond___Pearl,ADR Director (French),TV,Fall,2006,7.31,155666.0
49730,Pokemon Evolutions,https://myanimelist.net/anime/49730/Pokemon_Evolutions,ADR Director (French),ONA,,2021,7.44,19219.0
31911,Pokemon Fushigi no Dungeon: Magnagate to Mugendai Meikyuu,https://myanimelist.net/anime/31911/Pokemon_Fushigi_no_Dungeon__Magnagate_to_Mugendai_Meikyuu,ADR Director (French),ONA,,2012,6.26,4570.0
6178,Pokemon Movie 12: Arceus Choukoku no Jikuu e,https://myanimelist.net/anime/6178/Pokemon_Movie_12__Arceus_Choukoku_no_Jikuu_e,ADR Director (French),Movie,,2009,7.05,93000.0
7695,Pokemon Movie 13: Genei no Hasha Zoroark,https://myanimelist.net/anime/7695/Pokemon_Movie_13__Genei_no_Hasha_Zoroark,ADR Director (French),Movie,,2010,6.87,78377.0
10740,Pokemon Movie 14 Black: Victini to Shiroki Eiyuu Reshiram,https://myanimelist.net/anime/10740/Pokemon_Movie_14_Black__Victini_to_Shiroki_Eiyuu_Reshiram,ADR Director,Movie,,2011,6.64,52321.0
9917,Pokemon Movie 14 White: Victini to Kuroki Eiyuu Zekrom,https://myanimelist.net/anime/9917/Pokemon_Movie_14_White__Victini_to_Kuroki_Eiyuu_Zekrom,ADR Director,Movie,,2011,6.65,61694.0
12671,Pokemon Movie 15: Kyurem vs. Seikenshi,https://myanimelist.net/anime/12671/Pokemon_Movie_15__Kyurem_vs_Seikenshi,ADR Director,Movie,,2012,6.48,55964.0
16680,Pokemon Movie 16: Shinsoku no Genosect - Mewtwo Kakusei,https://myanimelist.net/anime/16680/Pokemon_Movie_16__Shinsoku_no_Genosect_-_Mewtwo_Kakusei,ADR Director (French),Movie,,2013,6.38,51884.0
21569,Pokemon Movie 17: Hakai no Mayu to Diancie,https://myanimelist.net/anime/21569/Pokemon_Movie_17__Hakai_no_Mayu_to_Diancie,ADR Director (French),Movie,,2014,6.52,50601.0
25805,Pokemon Movie 18: Ring no Choumajin Hoopa,https://myanimelist.net/anime/25805/Pokemon_Movie_18__Ring_no_Choumajin_Hoopa,ADR Director (French),Movie,,2015,6.62,59361.0
