ID,Title,Link,Roles,Type,Season,Year,Score,Members
35883,Cinderella Girls Gekijou 2nd Season,https://myanimelist.net/anime/35883/Cinderella_Girls_Gekijou_2nd_Season,"Theme Song Arrangement (ED1), Theme Song Composition (ED1)",TV,Fall,2017,6.62,9789.0
36500,Cinderella Girls Gekijou: Kayou Cinderella Theater 2nd Season,https://myanimelist.net/anime/36500/Cinderella_Girls_Gekijou__Kayou_Cinderella_Theater_2nd_Season,"Theme Song Arrangement (ED1), Theme Song Composition (ED1)",ONA,,2017,6.49,4662.0
6119,Cookin' Idol Ai! Mai! Main!,https://myanimelist.net/anime/6119/Cookin_Idol_Ai_Mai_Main,"Theme Song Arrangement (OP2), Theme Song Composition (OP2), Theme Song Lyrics (OP2, OP4)",TV,Spring,2009,6.25,2896.0
22955,Francesca,https://myanimelist.net/anime/22955/Francesca,Theme Song Composition (ED),TV,Summer,2014,5.47,10263.0
35222,Gakuen Babysitters,https://myanimelist.net/anime/35222/Gakuen_Babysitters,Music,TV,Winter,2018,7.9,359576.0
21273,Gochuumon wa Usagi desu ka?,https://myanimelist.net/anime/21273/Gochuumon_wa_Usagi_desu_ka,Music,TV,Spring,2014,7.49,241771.0
38337,Gochuumon wa Usagi desu ka? Bloom,https://myanimelist.net/anime/38337/Gochuumon_wa_Usagi_desu_ka_Bloom,Music,TV,Fall,2020,7.92,68451.0
29787,Gochuumon wa Usagi desu ka??,https://myanimelist.net/anime/29787/Gochuumon_wa_Usagi_desu_ka,Music,TV,Fall,2015,7.77,136947.0
33280,Gochuumon wa Usagi desu ka?? Dear My Sister,https://myanimelist.net/anime/33280/Gochuumon_wa_Usagi_desu_ka_Dear_My_Sister,Music,Movie,,2017,7.79,44423.0
4872,Goku Sayonara Zetsubou Sensei,https://myanimelist.net/anime/4872/Goku_Sayonara_Zetsubou_Sensei,"Theme Song Arrangement (ED2), Theme Song Composition (ED2)",OVA,,2008,7.81,66370.0
23269,Hello!! Kiniro Mosaic,https://myanimelist.net/anime/23269/Hello_Kiniro_Mosaic,Music,TV,Spring,2015,7.49,81550.0
53534,i☆Ris the Movie: Full Energy!!,https://myanimelist.net/anime/53534/i☆Ris_the_Movie__Full_Energy,Music,Movie,,2024,6.47,1272.0
38472,Isekai Quartet,https://myanimelist.net/anime/38472/Isekai_Quartet,Music,TV,Spring,2019,7.37,398914.0
39988,Isekai Quartet 2,https://myanimelist.net/anime/39988/Isekai_Quartet_2,Music,TV,Winter,2020,7.36,244297.0
21327,Isshuukan Friends.,https://myanimelist.net/anime/21327/Isshuukan_Friends,Theme Song Arrangement (ED),TV,Spring,2014,7.52,325568.0
19685,Kanojo ga Flag wo Oraretara,https://myanimelist.net/anime/19685/Kanojo_ga_Flag_wo_Oraretara,Music,TV,Spring,2014,6.35,204720.0
24451,Kanojo ga Flag wo Oraretara: Christmas? Sonna Mono ga Boku ni Tsuuyou Suru to Omou no ka?,https://myanimelist.net/anime/24451/Kanojo_ga_Flag_wo_Oraretara__Christmas_Sonna_Mono_ga_Boku_ni_Tsuuyou_Suru_to_Omou_no_ka,Music,OVA,,2014,6.69,25796.0
10191,Katte ni Kaizou,https://myanimelist.net/anime/10191/Katte_ni_Kaizou,Music,OVA,,2011,6.85,30686.0
16732,Kiniro Mosaic,https://myanimelist.net/anime/16732/Kiniro_Mosaic,Music,TV,Summer,2013,7.23,187300.0
33034,Kiniro Mosaic: Pretty Days,https://myanimelist.net/anime/33034/Kiniro_Mosaic__Pretty_Days,Music,Movie,,2016,7.5,26525.0
41471,Kiniro Mosaic: Thank You!!,https://myanimelist.net/anime/41471/Kiniro_Mosaic__Thank_You,Music,Movie,,2021,7.55,14512.0
52173,Koori Zokusei Danshi to Cool na Douryou Joshi,https://myanimelist.net/anime/52173/Koori_Zokusei_Danshi_to_Cool_na_Douryou_Joshi,Music,TV,Winter,2023,7.31,235390.0
56487,Matsuinu,https://myanimelist.net/anime/56487/Matsuinu,Music,TV,Fall,2023,5.85,1213.0
40327,Mewkledreamy,https://myanimelist.net/anime/40327/Mewkledreamy,Music,TV,Spring,2020,7.0,8844.0
