ID,Title,Link,Roles,Type,Season,Year,Score,Members
282,Angel Heart,https://myanimelist.net/anime/282/Angel_Heart,"Character Design (eps 1-24), Chief Animation Director (eps 1-24)",TV,Fall,2005.0,7.25,19427.0
962,Aria the Natural,https://myanimelist.net/anime/962/Aria_the_Natural,Key Animation (ep 6),TV,Spring,2006.0,8.16,82318.0
971,Astro Boy: Tetsuwan Atom,https://myanimelist.net/anime/971/Astro_Boy__Tetsuwan_Atom,"Animation Director (eps 34-35, 42, 44)",TV,Spring,2003.0,7.08,26855.0
5311,Astroganger,https://myanimelist.net/anime/5311/Astroganger,Key Animation,TV,Fall,1972.0,6.43,1842.0
889,Black Lagoon,https://myanimelist.net/anime/889/Black_Lagoon,Key Animation (ep 7),TV,Spring,2006.0,8.03,1057699.0
2142,Blue Dragon,https://myanimelist.net/anime/2142/Blue_Dragon,Animation Director (ep 6),TV,Spring,2007.0,6.4,57149.0
2915,Chikyuu ga Ugoita Hi,https://myanimelist.net/anime/2915/Chikyuu_ga_Ugoita_Hi,"Character Design, Animation Director",Movie,,1997.0,6.47,1882.0
5941,Cross Game,https://myanimelist.net/anime/5941/Cross_Game,Key Animation (ep 1),TV,Spring,2009.0,8.37,128475.0
19905,"Dai-chan, Daisuki.",https://myanimelist.net/anime/19905/Dai-chan_Daisuki,Chief Animation Director,Movie,,2007.0,,514.0
1535,Death Note,https://myanimelist.net/anime/1535/Death_Note,Animation Director (ep 9),TV,Fall,2006.0,8.62,4078658.0
2030,El Cazador de la Bruja,https://myanimelist.net/anime/2030/El_Cazador_de_la_Bruja,Animation Director (ep 10),TV,Spring,2007.0,7.2,57395.0
2809,Fuusen Shoujo Temple-chan,https://myanimelist.net/anime/2809/Fuusen_Shoujo_Temple-chan,Animation Director,TV,Fall,1977.0,6.25,767.0
8158,Gegege no Kitarou: Jigoku-hen,https://myanimelist.net/anime/8158/Gegege_no_Kitarou__Jigoku-hen,Animation Director,TV,Winter,1988.0,6.23,1627.0
3433,Go-Q-Choji Ikkiman,https://myanimelist.net/anime/3433/Go-Q-Choji_Ikkiman,"Character Design, Animation Director",TV,Spring,1986.0,6.38,1483.0
8120,Gotou ni Naritai.,https://myanimelist.net/anime/8120/Gotou_ni_Naritai,Storyboard,Movie,,1995.0,7.06,3263.0
263,Hajime no Ippo,https://myanimelist.net/anime/263/Hajime_no_Ippo,Animation Director (ep 2),TV,Fall,2000.0,8.78,640815.0
2694,Hidamari no Ki,https://myanimelist.net/anime/2694/Hidamari_no_Ki,Animation Director (ep 21),TV,Spring,2000.0,7.12,5339.0
1358,Hokuto no Ken Movie,https://myanimelist.net/anime/1358/Hokuto_no_Ken_Movie,Key Animation,Movie,,1986.0,7.21,22857.0
17,Hungry Heart: Wild Striker,https://myanimelist.net/anime/17/Hungry_Heart__Wild_Striker,Animation Director (ep 43),TV,Fall,2002.0,7.54,26049.0
5581,"Kaitei Daisensou: Ai no 20,000 Miles",https://myanimelist.net/anime/5581/Kaitei_Daisensou__Ai_no_20000_Miles,Animation Director,TV Special,,1981.0,5.27,852.0
20123,Kappamaki,https://myanimelist.net/anime/20123/Kappamaki,"Character Design, Animation Director",TV,Spring,2003.0,,420.0
207,Lodoss-tou Senki,https://myanimelist.net/anime/207/Lodoss-tou_Senki,Key Animation (ep 11),OVA,,1990.0,7.32,86043.0
8409,Marie & Gali ver. 2.0,https://myanimelist.net/anime/8409/Marie___Gali_ver_20,Key Animation (ep 20),TV,Spring,2010.0,5.99,1354.0
3182,Massugu ni Ikou. 2nd Season,https://myanimelist.net/anime/3182/Massugu_ni_Ikou_2nd_Season,"Episode Director (ep 4), Animation Director (ep 4)",TV,Spring,2004.0,6.54,2779.0
2514,Meitantei Conan OVA 04: Conan to Kid to Crystal Mother,https://myanimelist.net/anime/2514/Meitantei_Conan_OVA_04__Conan_to_Kid_to_Crystal_Mother,Animation Director,,,,7.5,18363.0
11873,Oraa Guzura Dado (1987),https://myanimelist.net/anime/11873/Oraa_Guzura_Dado_1987,Key Animation,TV,Fall,1987.0,6.15,1038.0
525,Otogizoushi,https://myanimelist.net/anime/525/Otogizoushi,"Animation Director (eps 2, 8)",TV,Summer,2004.0,6.91,18962.0
3201,Pure-tou no Nakama-tachi,https://myanimelist.net/anime/3201/Pure-tou_no_Nakama-tachi,Key Animation,TV,Summer,1983.0,6.33,1405.0
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,https://myanimelist.net/anime/46/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Ishinshishi_e_no_Chinkonka,Key Animation,Movie,,1997.0,7.55,54193.0
16510,Shin Shounan Bakusouzoku Arakure Knight,https://myanimelist.net/anime/16510/Shin_Shounan_Bakusouzoku_Arakure_Knight,Character Design (ep 1),OVA,,1997.0,5.95,1018.0
2463,Shounan Bakusouzoku,https://myanimelist.net/anime/2463/Shounan_Bakusouzoku,"Animation Director, Animation Check, Key Animation",OVA,,1986.0,7.56,6460.0
17211,Shouwa Ahozoushi Akanuke Ichiban!,https://myanimelist.net/anime/17211/Shouwa_Ahozoushi_Akanuke_Ichiban,"Animation Director (eps 14, 19)",TV,Fall,1985.0,6.36,1945.0
10014,Shouwa Monogatari,https://myanimelist.net/anime/10014/Shouwa_Monogatari,Animation Director (ep 4),TV,Spring,2011.0,6.85,5928.0
3332,Stop!! Hibari-kun!,https://myanimelist.net/anime/3332/Stop_Hibari-kun,Animation Director,TV,Spring,1983.0,7.03,12423.0
1857,Taiyou no Mokushiroku: A Spirit of the Sun,https://myanimelist.net/anime/1857/Taiyou_no_Mokushiroku__A_Spirit_of_the_Sun,"Character Design, Chief Animation Director",TV Special,,2006.0,6.81,3626.0
8553,Time Bokan Series: Time Patroltai Otasukeman,https://myanimelist.net/anime/8553/Time_Bokan_Series__Time_Patroltai_Otasukeman,"Episode Director, Animation Director",TV,Winter,1980.0,6.3,1671.0
6947,Uchurei!,https://myanimelist.net/anime/6947/Uchurei,"Storyboard (eps 3, 10)",TV,Summer,2009.0,5.51,1565.0
18967,Zukkoke Sannin-gumi: Zukkoke Jikuu Bouken,https://myanimelist.net/anime/18967/Zukkoke_Sannin-gumi__Zukkoke_Jikuu_Bouken,Animation Director,OVA,,1988.0,,725.0
