ID,Title,Link,Roles,Type,Season,Year,Score,Members
9919,Ao no Exorcist,https://myanimelist.net/anime/9919/Ao_no_Exorcist,Key Animation (ep 11),TV,Spring,2011,7.48,1994353.0
3193,Asobot Senki Gokuu,https://myanimelist.net/anime/3193/Asobot_Senki_Gokuu,Character Design,TV,Fall,2002,6.59,4076.0
13553,Bakusou Circuit Roman Twin,https://myanimelist.net/anime/13553/Bakusou_Circuit_Roman_Twin,"Character Design, Animation Director",OVA,,1989,5.77,629.0
269,Bleach,https://myanimelist.net/anime/269/Bleach,Key Animation (ep 366),TV,Fall,2004,7.97,2081613.0
8247,Bleach Movie 4: Jigoku-hen,https://myanimelist.net/anime/8247/Bleach_Movie_4__Jigoku-hen,Key Animation,Movie,,2010,7.62,225713.0
2142,Blue Dragon,https://myanimelist.net/anime/2142/Blue_Dragon,"Character Design, Animation Director (eps 1. 20)",TV,Spring,2007,6.4,57149.0
4197,Blue Dragon: Tenkai no Shichi Ryuu,https://myanimelist.net/anime/4197/Blue_Dragon__Tenkai_no_Shichi_Ryuu,"Character Design, Animation Director (eps 7, 39)",TV,Spring,2008,6.55,19086.0
6636,Chou Kousoku Galvion,https://myanimelist.net/anime/6636/Chou_Kousoku_Galvion,Chief Animation Director,TV,Winter,1984,5.83,2350.0
110,Chuuka Ichiban!,https://myanimelist.net/anime/110/Chuuka_Ichiban,Character Design,TV,Spring,1997,7.6,20977.0
11843,Danshi Koukousei no Nichijou,https://myanimelist.net/anime/11843/Danshi_Koukousei_no_Nichijou,Key Animation (ep 3),TV,Winter,2012,8.23,854748.0
2760,Densetsu Kyojin Ideon: Sesshoku-hen,https://myanimelist.net/anime/2760/Densetsu_Kyojin_Ideon__Sesshoku-hen,Animation Director,Movie,,1982,6.02,5291.0
15957,Dokachin,https://myanimelist.net/anime/15957/Dokachin,Key Animation,TV,Fall,1968,,550.0
7551,Gowapper 5 Gordam,https://myanimelist.net/anime/7551/Gowapper_5_Gordam,"Animation Director (ep 1, 3, 8, 13, 18, 23, 28, 33, 36)",TV,Spring,1976,6.1,1438.0
8195,Guruguru Town Hanamaru-kun,https://myanimelist.net/anime/8195/Guruguru_Town_Hanamaru-kun,Character Design,TV,Fall,1999,6.08,592.0
