ID,Title,Link,Roles,Type,Season,Year,Score,Members
4970,Afro Samurai: Resurrection,https://myanimelist.net/anime/4970/Afro_Samurai__Resurrection,Key Animation,Movie,,2009,7.34,110791.0
29850,AKB48 Stage Fighter,https://myanimelist.net/anime/29850/AKB48_Stage_Fighter,Animation Director,CM,,2011,5.14,1182.0
9645,Be-Bop Highschool,https://myanimelist.net/anime/9645/Be-Bop_Highschool,Animation Director,OVA,,1990,7.49,10264.0
531,Bishoujo Senshi Sailor Moon R: The Movie,https://myanimelist.net/anime/531/Bishoujo_Senshi_Sailor_Moon_R__The_Movie,Key Animation,Movie,,1993,7.72,69952.0
1240,Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,https://myanimelist.net/anime/1240/Bishoujo_Senshi_Sailor_Moon_SuperS__Sailor_9_Senshi_Shuuketsu_Black_Dream_Hole_no_Kiseki,Key Animation,Movie,,1995,7.54,43153.0
4981,Casshern Sins,https://myanimelist.net/anime/4981/Casshern_Sins,"Animation Director (eps 10, 17, 22), Key Animation (eps 10, 14, 17, 22, 24)",TV,Fall,2008,7.5,171990.0
4967,Choujin Locke: Mirror Ring,https://myanimelist.net/anime/4967/Choujin_Locke__Mirror_Ring,Character Design,OVA,,2000,5.46,1495.0
4646,Cobra The Animation: The Psycho-Gun,https://myanimelist.net/anime/4646/Cobra_The_Animation__The_Psycho-Gun,Key Animation (ep 2),OVA,,2008,6.82,6479.0
16419,Dokidoki! Precure,https://myanimelist.net/anime/16419/Dokidoki_Precure,Key Animation (ep 7),TV,Winter,2013,6.7,29667.0
10534,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,https://myanimelist.net/anime/10534/Doraemon_Movie_31__Shin_Nobita_to_Tetsujin_Heidan_-_Habatake_Tenshi-tachi,Key Animation,Movie,,2011,8.29,18583.0
31339,Drifters,https://myanimelist.net/anime/31339/Drifters,"Animation Director (ep 7), Key Animation (eps 1, 12)",TV,Fall,2016,7.88,594840.0
6151,Final Fantasy VII: On the Way to a Smile - Episode: Denzel,https://myanimelist.net/anime/6151/Final_Fantasy_VII__On_the_Way_to_a_Smile_-_Episode__Denzel,Animation Director,OVA,,2009,7.07,27004.0
