ID,Title,Link,Roles,Type,Season,Year,Score,Members
34051,Akiba's Trip The Animation,https://myanimelist.net/anime/34051/Akibas_Trip_The_Animation,Theme Song Performance (ED),TV,Winter,2017,6.48,156274.0
34403,Hajimete no Gal,https://myanimelist.net/anime/34403/Hajimete_no_Gal,Theme Song Lyrics (OP),TV,Summer,2017,6.27,572523.0
2457,Majokko Tsukune-chan,https://myanimelist.net/anime/2457/Majokko_Tsukune-chan,Theme Song Performance,OVA,,2005,6.62,4031.0
4209,Mission-E,https://myanimelist.net/anime/4209/Mission-E,Theme Song Performance (ED),TV,Summer,2008,6.43,6522.0
58082,NEET Kunoichi to Nazeka Dousei Hajimemashita,https://myanimelist.net/anime/58082/NEET_Kunoichi_to_Nazeka_Dousei_Hajimemashita,Theme Song Lyrics (OP),TV,Winter,2025,6.12,42158.0
615,Nurse Witch Komugi-chan Magikarte,https://myanimelist.net/anime/615/Nurse_Witch_Komugi-chan_Magikarte,Theme Song Performance,OVA,,2002,6.64,19320.0
19221,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",https://myanimelist.net/anime/19221/Ore_no_Nounai_Sentakushi_ga_Gakuen_Love_Comedy_wo_Zenryoku_de_Jama_Shiteiru,Theme Song Lyrics (OP),TV,Fall,2013,7.13,417242.0
20939,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru OVA",https://myanimelist.net/anime/20939/Ore_no_Nounai_Sentakushi_ga_Gakuen_Love_Comedy_wo_Zenryoku_de_Jama_Shiteiru_OVA,Theme Song Lyrics (OP),OVA,,2014,7.14,74299.0
39506,Phantasy Star Online 2: Episode Oracle,https://myanimelist.net/anime/39506/Phantasy_Star_Online_2__Episode_Oracle,"Theme Song Composition (ED2), Theme Song Lyrics (ED2), Theme Song Performance (ED2)",TV,Fall,2019,6.5,27369.0
1807,Prism Ark,https://myanimelist.net/anime/1807/Prism_Ark,Theme Song Performance (ED),TV,Fall,2007,6.39,23549.0
10572,Ro-Kyu-Bu!,https://myanimelist.net/anime/10572/Ro-Kyu-Bu,"Theme Song Composition (ED), Theme Song Lyrics (ED)",TV,Summer,2011,6.75,84624.0
2476,School Days,https://myanimelist.net/anime/2476/School_Days,Inserted Song Performance (9),TV,Summer,2007,5.51,687398.0
2104,Seto no Hanayome,https://myanimelist.net/anime/2104/Seto_no_Hanayome,"Theme Song Arrangement (OP), Theme Song Composition (OP), Theme Song Lyrics (OP), Theme Song Performance (OP,ED2), Inserted Song Performance",TV,Spring,2007,7.65,338100.0
5199,Seto no Hanayome Fan Disc,https://myanimelist.net/anime/5199/Seto_no_Hanayome_Fan_Disc,Inserted Song Performance,Special,,2008,6.93,8703.0
4163,Seto no Hanayome OVA,https://myanimelist.net/anime/4163/Seto_no_Hanayome_OVA,"Theme Song Composition (OP), Theme Song Performance (OP & ED 2), Inserted Song Performance",OVA,,2008,7.8,55050.0
25835,Shirobako,https://myanimelist.net/anime/25835/Shirobako,"Theme Song Composition (ED1, ED2)",TV,Fall,2014,8.27,458085.0
28105,Shirobako Specials,https://myanimelist.net/anime/28105/Shirobako_Specials,"Theme Song Lyrics (ED1, ED2)",Special,,2015,6.83,28061.0
681,Tenbatsu Angel Rabbie☆,https://myanimelist.net/anime/681/Tenbatsu_Angel_Rabbie☆,Theme Song Arrangement (ED),OVA,,2004,4.96,3129.0
6148,Yurumates,https://myanimelist.net/anime/6148/Yurumates,"Theme Song Performance (OP,ED)",OVA,,2009,6.33,7337.0
12123,Yurumates 3D,https://myanimelist.net/anime/12123/Yurumates_3D,"Theme Song Composition (OP), Theme Song Lyrics (OP), Theme Song Performance (OP)",TV,Spring,2012,6.27,8691.0
14949,Yurumates 3D OVA,https://myanimelist.net/anime/14949/Yurumates_3D_OVA,"Theme Song Composition (OP), Theme Song Lyrics (OP), Theme Song Performance (OP)",OVA,,2012,6.07,2245.0
14693,Yurumates 3D Plus,https://myanimelist.net/anime/14693/Yurumates_3D_Plus,"Theme Song Composition (OP), Theme Song Lyrics (OP), Theme Song Performance (OP)",TV,Summer,2012,6.36,5416.0
31551,Yurumates 3D Plus: Natsuyasumi Maison du Wish Report,https://myanimelist.net/anime/31551/Yurumates_3D_Plus__Natsuyasumi_Maison_du_Wish_Report,"Theme Song Composition (OP), Theme Song Lyrics (OP), Theme Song Performance (OP)",OVA,,2012,6.1,1164.0
