ID,Title,Link,Roles,Type,Season,Year,Score,Members
31163,Dimension W,https://myanimelist.net/anime/31163/Dimension_W,"Theme Song Arrangement (OP), Theme Song Composition (OP), Theme Song Lyrics (OP), Theme Song Performance",TV,Winter,2016,7.17,306337.0
40488,Futsal Boys!!!!!,https://myanimelist.net/anime/40488/Futsal_Boys,"Theme Song Arrangement (OP), Theme Song Composition (OP), Theme Song Lyrics (OP), Theme Song Performance (ED)",TV,Winter,2022,5.46,34109.0
25183,Gangsta.,https://myanimelist.net/anime/25183/Gangsta,Theme Song Performance (OP),TV,Summer,2015,7.41,603689.0
13331,Jormungand: Perfect Order,https://myanimelist.net/anime/13331/Jormungand__Perfect_Order,"Theme Song Arrangement (OP, ED3), Theme Song Composition (OP, ED3)",TV,Fall,2012,7.89,200767.0
18153,Kyoukai no Kanata,https://myanimelist.net/anime/18153/Kyoukai_no_Kanata,"Theme Song Arrangement (ED), Theme Song Composition (ED), Theme Song Lyrics (ED), Theme Song Performance (ED)",TV,Fall,2013,7.72,1207013.0
23385,Kyoukai no Kanata: Shinonome,https://myanimelist.net/anime/23385/Kyoukai_no_Kanata__Shinonome,Theme Song Performance,Special,,2014,7.62,135384.0
40608,Muv-Luv Alternative,https://myanimelist.net/anime/40608/Muv-Luv_Alternative,Theme Song Performance (ED),TV,Fall,2021,5.85,44743.0
21177,Nobunaga the Fool,https://myanimelist.net/anime/21177/Nobunaga_the_Fool,Theme Song Performance (ED),TV,Winter,2014,6.63,101367.0
58488,Sengoku Youko: Senma Konton-hen,https://myanimelist.net/anime/58488/Sengoku_Youko__Senma_Konton-hen,Theme Song Performance (OP),TV,Summer,2024,7.59,25152.0
39940,Shokugeki no Souma: Shin no Sara,https://myanimelist.net/anime/39940/Shokugeki_no_Souma__Shin_no_Sara,Theme Song Performance (OP),TV,Fall,2019,7.74,645343.0
53730,"Sokushi Cheat ga Saikyou sugite, Isekai no Yatsura ga Marude Aite ni Naranai n desu ga.",https://myanimelist.net/anime/53730/Sokushi_Cheat_ga_Saikyou_sugite_Isekai_no_Yatsura_ga_Marude_Aite_ni_Naranai_n_desu_ga,Theme Song Arrangement (ED),TV,Winter,2024,6.37,161511.0
53026,Synduality: Noir,https://myanimelist.net/anime/53026/Synduality__Noir,"Theme Song Arrangement (OP), Theme Song Composition (OP), Theme Song Lyrics (OP), Theme Song Performance (OP)",TV,Summer,2023,6.82,50854.0
56731,Synduality: Noir Part 2,https://myanimelist.net/anime/56731/Synduality__Noir_Part_2,Theme Song Performance (ED),TV,Winter,2024,7.09,19885.0
39551,Tensei shitara Slime Datta Ken 2nd Season,https://myanimelist.net/anime/39551/Tensei_shitara_Slime_Datta_Ken_2nd_Season,Theme Song Performance (ED),TV,Winter,2021,8.36,1039934.0
53580,Tensei shitara Slime Datta Ken 3rd Season,https://myanimelist.net/anime/53580/Tensei_shitara_Slime_Datta_Ken_3rd_Season,Theme Song Performance (OP),TV,Spring,2024,7.68,408375.0
49877,Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen,https://myanimelist.net/anime/49877/Tensei_shitara_Slime_Datta_Ken_Movie__Guren_no_Kizuna-hen,Inserted Song Performance,Movie,,2022,7.62,227990.0
40911,Yuukoku no Moriarty,https://myanimelist.net/anime/40911/Yuukoku_no_Moriarty,Theme Song Performance (ED),TV,Fall,2020,8.17,463090.0
43325,Yuukoku no Moriarty Part 2,https://myanimelist.net/anime/43325/Yuukoku_no_Moriarty_Part_2,Theme Song Performance (ED),TV,Spring,2021,8.28,272350.0
