ID,Title,Link,Roles,Type,Season,Year,Score,Members
11759,Accel World,https://myanimelist.net/anime/11759/Accel_World,Key Animation (ep 13),TV,Spring,2012,7.2,730877.0
53,Ai Yori Aoshi,https://myanimelist.net/anime/53/Ai_Yori_Aoshi,Key Animation (ep 15),TV,Spring,2002,7.1,114378.0
6347,Baka to Test to Shoukanjuu,https://myanimelist.net/anime/6347/Baka_to_Test_to_Shoukanjuu,Key Animation (ep 2),TV,Winter,2010,7.5,651671.0
34443,Baki,https://myanimelist.net/anime/34443/Baki,"Animation Director (ep 20), Key Animation (ep 20)",ONA,,2018,7.31,452475.0
57,Beck,https://myanimelist.net/anime/57/Beck,Key Animation (ep 2),TV,Fall,2004,8.29,357471.0
269,Bleach,https://myanimelist.net/anime/269/Bleach,"Storyboard, Animation Director, Key Animation",TV,Fall,2004,7.97,2081784.0
8247,Bleach Movie 4: Jigoku-hen,https://myanimelist.net/anime/8247/Bleach_Movie_4__Jigoku-hen,Key Animation,Movie,,2010,7.62,225713.0
49596,Blue Lock,https://myanimelist.net/anime/49596/Blue_Lock,"Chief Animation Director (eps 8, 15, 21), Animation Director (ep 8)",TV,Fall,2022,8.2,795319.0
5941,Cross Game,https://myanimelist.net/anime/5941/Cross_Game,Key Animation (ep 4),TV,Spring,2009,8.37,128480.0
48702,Dance Dance Danseur,https://myanimelist.net/anime/48702/Dance_Dance_Danseur,Chief Animation Director,TV,Spring,2022,7.81,89335.0
35849,Darling in the FranXX,https://myanimelist.net/anime/35849/Darling_in_the_FranXX,Key Animation (ep 9),TV,Winter,2018,7.19,1725671.0
5096,Doraemon Movie 28: Nobita to Midori no Kyojin Den,https://myanimelist.net/anime/5096/Doraemon_Movie_28__Nobita_to_Midori_no_Kyojin_Den,Key Animation,Movie,,2008,7.53,13555.0
37520,Dororo,https://myanimelist.net/anime/37520/Dororo,Animation Director (ep 10),TV,Winter,2019,8.25,1300154.0
40852,Dr. Stone: Stone Wars,https://myanimelist.net/anime/40852/Dr_Stone__Stone_Wars,"Animation Director (eps 5, 11), 2nd Key Animation (ep 11)",TV,Winter,2021,8.15,1113268.0
