ID,Title,Link,Roles,Type,Season,Year,Score,Members
306,Abenobashi Mahou☆Shoutengai,https://myanimelist.net/anime/306/Abenobashi_Mahou☆Shoutengai,Key Animation (ep 9),TV,Spring,2002,7.21,94796.0
1442,Alexander Senki,https://myanimelist.net/anime/1442/Alexander_Senki,Co-Director,TV,Summer,1999,5.77,9438.0
5157,Alexander Senki Movie,https://myanimelist.net/anime/5157/Alexander_Senki_Movie,Co-Director,Movie,,2000,5.79,3015.0
49303,Alice to Therese no Maboroshi Koujou,https://myanimelist.net/anime/49303/Alice_to_Therese_no_Maboroshi_Koujou,Animation Director,Movie,,2023,7.23,111320.0
3829,Anne no Nikki,https://myanimelist.net/anime/3829/Anne_no_Nikki,Animation Director,Movie,,1995,6.73,8526.0
7193,Aoi Bungaku Series,https://myanimelist.net/anime/7193/Aoi_Bungaku_Series,"Storyboard (ep 11), Character Design (ep 11-12), Chief Animation Director (ep 11-12), Animation Director (ep 12), Key Animation (ep 12)",TV,Fall,2009,7.66,227289.0
1961,Arashi no Yoru ni,https://myanimelist.net/anime/1961/Arashi_no_Yoru_ni,Key Animation,Movie,,2005,7.64,24296.0
42829,Boukyaku Battery,https://myanimelist.net/anime/42829/Boukyaku_Battery,Animation Director,ONA,,2020,6.38,4230.0
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,https://myanimelist.net/anime/372/Cardcaptor_Sakura_Movie_2__Fuuin_Sareta_Card,"Storyboard, Key Animation",Movie,,2000,8.21,119679.0
10800,Chihayafuru,https://myanimelist.net/anime/10800/Chihayafuru,"Chief Animation Director (ep 7), Key Animation (OP, eps 3, 6, 11, 13, 25)",TV,Fall,2011,8.18,478287.0
14397,Chihayafuru 2,https://myanimelist.net/anime/14397/Chihayafuru_2,"Key Animation (eps 13, 25)",TV,Winter,2013,8.38,243670.0
2768,CLAMP in Wonderland 2,https://myanimelist.net/anime/2768/CLAMP_in_Wonderland_2,Key Animation,Music,,2007,7.42,21140.0
14353,Death Billiards,https://myanimelist.net/anime/14353/Death_Billiards,Key Animation,Movie,,2013,7.87,246031.0
1535,Death Note,https://myanimelist.net/anime/1535/Death_Note,Key Animation (ep 3),TV,Fall,2006,8.62,4078984.0
5918,Deimos no Hanayome: Ran no Kumikyoku,https://myanimelist.net/anime/5918/Deimos_no_Hanayome__Ran_no_Kumikyoku,Key Animation,OVA,,1988,5.7,7352.0
20201,Easy Cooking Animation: Seishun no Shokutaku,https://myanimelist.net/anime/20201/Easy_Cooking_Animation__Seishun_no_Shokutaku,Key Animation,TV,Summer,1989,,525.0
5554,Eguchi Hisashi no Nantoka Narudesho!,https://myanimelist.net/anime/5554/Eguchi_Hisashi_no_Nantoka_Narudesho,"Storyboard, Episode Director",OVA,,1990,4.63,2859.0
426,Final Fantasy,https://myanimelist.net/anime/426/Final_Fantasy,Character Design,OVA,,1994,6.06,16459.0
408,Final Fantasy VII: Last Order,https://myanimelist.net/anime/408/Final_Fantasy_VII__Last_Order,Key Animation,Special,,2005,7.28,67642.0
8152,Gegege no Kitarou (1985 Movie),https://myanimelist.net/anime/8152/Gegege_no_Kitarou_1985_Movie,Character Design,Movie,,1985,5.98,1329.0
7307,Gegege no Kitarou (1985),https://myanimelist.net/anime/7307/Gegege_no_Kitarou_1985,Character Design,TV,Fall,1985,6.56,3361.0
8158,Gegege no Kitarou: Jigoku-hen,https://myanimelist.net/anime/8158/Gegege_no_Kitarou__Jigoku-hen,Character Design,TV,Winter,1988,6.23,1627.0
8153,Gegege no Kitarou: Youkai Daisensou,https://myanimelist.net/anime/8153/Gegege_no_Kitarou__Youkai_Daisensou,"Character Design, Animation Director",Movie,,1986,6.09,1132.0
3014,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,https://myanimelist.net/anime/3014/Ginga_Eiyuu_Densetsu__Waga_Yuku_wa_Hoshi_no_Taikai,Key Animation,Movie,,1988,7.86,41759.0
1491,Ginga Tetsudou 999,https://myanimelist.net/anime/1491/Ginga_Tetsudou_999,Animation Director,TV,Fall,1978,7.76,41824.0
1301,Ginga Tetsudou 999 (Movie),https://myanimelist.net/anime/1301/Ginga_Tetsudou_999_Movie,Key Animation,Movie,,1979,7.54,22199.0
6734,Ginga Tetsudou 999: Eien no Tabibito Emeraldas,https://myanimelist.net/anime/6734/Ginga_Tetsudou_999__Eien_no_Tabibito_Emeraldas,Animation Director,TV Special,,1980,6.7,2740.0
6735,Ginga Tetsudou 999: Kimi wa Haha no You ni Aiseru ka!!,https://myanimelist.net/anime/6735/Ginga_Tetsudou_999__Kimi_wa_Haha_no_You_ni_Aiseru_ka,Animation Director,TV Special,,1980,6.48,2506.0
6733,Ginga Tetsudou 999: Kimi wa Senshi no You ni Ikirareru ka?,https://myanimelist.net/anime/6733/Ginga_Tetsudou_999__Kimi_wa_Senshi_no_You_ni_Ikirareru_ka,Animation Director,TV Special,,1979,6.45,2277.0
4210,Gokiburi-tachi no Tasogare,https://myanimelist.net/anime/4210/Gokiburi-tachi_no_Tasogare,"Character Design, Animation Director",Movie,,1987,5.81,2632.0
242,Gokusen,https://myanimelist.net/anime/242/Gokusen,"Character Design, Chief Animation Director",TV,Winter,2004,7.41,50827.0
36587,Granblue Fantasy The Animation Season 2,https://myanimelist.net/anime/36587/Granblue_Fantasy_The_Animation_Season_2,"Key Animation (eps 9, 12)",TV,Fall,2019,6.73,71241.0
