ID,Title,Link,Roles,Type,Season,Year,Score,Members
28339,2005-nen Uchuu no Tabi,https://myanimelist.net/anime/28339/2005-nen_Uchuu_no_Tabi,"Director, Key Animation",Special,,2005.0,4.48,2757.0
3829,Anne no Nikki,https://myanimelist.net/anime/3829/Anne_no_Nikki,Key Animation,Movie,,1995.0,6.73,8526.0
40935,Beastars 2nd Season,https://myanimelist.net/anime/40935/Beastars_2nd_Season,"Storyboard (ep 4, 5, 7, 9)",TV,Winter,2021.0,7.76,470224.0
12115,Berserk: Ougon Jidai-hen III - Kourin,https://myanimelist.net/anime/12115/Berserk__Ougon_Jidai-hen_III_-_Kourin,"Storyboard, Key Animation",Movie,,2013.0,8.21,236302.0
33661,Crayon Shin-chan Gaiden: Alien vs. Shinnosuke,https://myanimelist.net/anime/33661/Crayon_Shin-chan_Gaiden__Alien_vs_Shinnosuke,Director,ONA,,2016.0,6.72,3152.0
34835,Crayon Shin-chan Gaiden: Kazokuzure Ookami,https://myanimelist.net/anime/34835/Crayon_Shin-chan_Gaiden__Kazokuzure_Ookami,Director,ONA,,2017.0,6.8,2264.0
31978,Crayon Shin-chan Movie 24: Bakusui! Yumemi World Dai Totsugeki,https://myanimelist.net/anime/31978/Crayon_Shin-chan_Movie_24__Bakusui_Yumemi_World_Dai_Totsugeki,"Storyboard, Episode Director, Art Director",Movie,,2016.0,7.18,4093.0
36566,Crayon Shin-chan Movie 26: Bakumori! Kung Fu Boys - Ramen Tairan,https://myanimelist.net/anime/36566/Crayon_Shin-chan_Movie_26__Bakumori_Kung_Fu_Boys_-_Ramen_Tairan,"Storyboard, Episode Director, Character Design",Movie,,2018.0,6.91,3199.0
38629,Crayon Shin-chan Movie 27: Shinkon Ryokou Hurricane - Ushinawareta Hiroshi,https://myanimelist.net/anime/38629/Crayon_Shin-chan_Movie_27__Shinkon_Ryokou_Hurricane_-_Ushinawareta_Hiroshi,"Storyboard, Episode Director, Character Design",Movie,,2019.0,6.91,2849.0
40329,Crayon Shin-chan Movie 28: Gekitotsu! Rakuga Kingdom to Hobo Yonin no Yuusha,https://myanimelist.net/anime/40329/Crayon_Shin-chan_Movie_28__Gekitotsu_Rakuga_Kingdom_to_Hobo_Yonin_no_Yuusha,Key Animation,Movie,,2020.0,7.19,2463.0
44616,Crayon Shin-chan Movie 29: Mystery Meki! Hana no Tenkasu Gakuen,https://myanimelist.net/anime/44616/Crayon_Shin-chan_Movie_29__Mystery_Meki_Hana_no_Tenkasu_Gakuen,"Storyboard, Episode Director, Character Design, Key Animation, Setting (concept design)",Movie,,2021.0,7.45,3353.0
50562,Crayon Shin-chan Movie 30: Mononoke Ninja Chinpuuden,https://myanimelist.net/anime/50562/Crayon_Shin-chan_Movie_30__Mononoke_Ninja_Chinpuuden,"Storyboard, Key Animation",Movie,,2022.0,7.07,2460.0
1352,Cyber City Oedo 808,https://myanimelist.net/anime/1352/Cyber_City_Oedo_808,"Key Animation (ep 1, 3)",OVA,,1990.0,7.2,34832.0
35740,Doraemon Movie 38: Nobita no Takarajima,https://myanimelist.net/anime/35740/Doraemon_Movie_38__Nobita_no_Takarajima,Key Animation,Movie,,2018.0,7.36,7281.0
4470,Gene Diver,https://myanimelist.net/anime/4470/Gene_Diver,"Character Design, Animation Director",TV,Spring,1994.0,6.3,1228.0
1016,Gunnm,https://myanimelist.net/anime/1016/Gunnm,Key Animation (ep 2),OVA,,1993.0,7.06,65272.0
570,Jin-Rou,https://myanimelist.net/anime/570/Jin-Rou,Key Animation,Movie,,2000.0,7.78,193783.0
617,Juubee Ninpuuchou,https://myanimelist.net/anime/617/Juubee_Ninpuuchou,Key Animation,Movie,,1993.0,7.61,151544.0
3701,Kaiba,https://myanimelist.net/anime/3701/Kaiba,"Storyboard (ep 4), Episode Director (ep 4), Animation Director (ep 4), In-Between Animation (ep 4), Key Animation (ep 4, 8, 11)",TV,Spring,2008.0,8.14,159482.0
1454,Kemonozume,https://myanimelist.net/anime/1454/Kemonozume,"Animation Director (ep 12), In-Between Animation (ep 12), Key Animation (ep 12)",TV,Summer,2006.0,7.34,79048.0
16149,Kick-Heart,https://myanimelist.net/anime/16149/Kick-Heart,"Character Design, Animation Director, Key Animation",Movie,,2013.0,6.42,22268.0
7681,Kyouryuu Wakusei,https://myanimelist.net/anime/7681/Kyouryuu_Wakusei,Character Design,TV,Spring,1993.0,6.41,757.0
207,Lodoss-tou Senki,https://myanimelist.net/anime/207/Lodoss-tou_Senki,Key Animation (ep 6),OVA,,1990.0,7.32,86057.0
1910,Master Keaton OVA,https://myanimelist.net/anime/1910/Master_Keaton_OVA,"Animation Director (ep 9, 14)",OVA,,1999.0,7.73,11326.0
1462,Memories,https://myanimelist.net/anime/1462/Memories,Key Animation (Stink Bomb),Movie,,1995.0,7.72,146195.0
1879,Midnight Eye: Gokuu,https://myanimelist.net/anime/1879/Midnight_Eye__Gokuu,Key Animation,OVA,,1989.0,6.46,15052.0
1880,Midnight Eye: Gokuu II,https://myanimelist.net/anime/1880/Midnight_Eye__Gokuu_II,Key Animation,OVA,,1989.0,6.22,7574.0
19,Monster,https://myanimelist.net/anime/19/Monster,Key Animation (ep 37),TV,Spring,2004.0,8.88,1216619.0
323,Mousou Dairinin,https://myanimelist.net/anime/323/Mousou_Dairinin,"Storyboard (ep 9), Animation Director (ep 4, 9, 12), Key Animation (ep 4, 12, 13)",TV,Winter,2004.0,7.66,444409.0
38292,Mutafukaz,https://myanimelist.net/anime/38292/Mutafukaz,Storyboard,Movie,,2018.0,7.08,24139.0
936,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,https://myanimelist.net/anime/936/Naruto_Movie_2__Dai_Gekitotsu_Maboroshi_no_Chiteiiseki_Dattebayo,Key Animation,Movie,,2005.0,6.88,245981.0
1209,Nasu: Andalusia no Natsu,https://myanimelist.net/anime/1209/Nasu__Andalusia_no_Natsu,"Key Animation, Assistant Animation Director",Movie,,2003.0,6.97,11390.0
597,Neko no Ongaeshi,https://myanimelist.net/anime/597/Neko_no_Ongaeshi,Key Animation,Movie,,2002.0,7.71,291448.0
22841,Okashina Hotel,https://myanimelist.net/anime/22841/Okashina_Hotel,Director,,,,5.2,1603.0
1141,Palme no Ki,https://myanimelist.net/anime/1141/Palme_no_Ki,Key Animation,Movie,,2002.0,6.58,9210.0
1943,Paprika,https://myanimelist.net/anime/1943/Paprika,Key Animation,Movie,,2006.0,8.04,574377.0
28617,Punch Line,https://myanimelist.net/anime/28617/Punch_Line,"Storyboard (ep 8, 9, 12), Key Animation (ep 12)",TV,Spring,2015.0,6.89,240429.0
22417,Quantum Leap,https://myanimelist.net/anime/22417/Quantum_Leap,Key Animation,Music,,2000.0,4.75,701.0
2000,Roujin Z,https://myanimelist.net/anime/2000/Roujin_Z,Key Animation,Movie,,1991.0,7.04,41330.0
1033,Sennen Joyuu,https://myanimelist.net/anime/1033/Sennen_Joyuu,Key Animation,Movie,,2002.0,8.24,198513.0
3599,Shin Kujakuou,https://myanimelist.net/anime/3599/Shin_Kujakuou,Key Animation (ep 1),OVA,,1994.0,5.84,3044.0
9799,Shin-Men,https://myanimelist.net/anime/9799/Shin-Men,"Storyboard (11), Episode Director (11), Animation Director (ep 3, 11), Key Animation (ep 3)",TV,Fall,2010.0,6.14,1929.0
30736,Shingeki no Bahamut: Virgin Soul,https://myanimelist.net/anime/30736/Shingeki_no_Bahamut__Virgin_Soul,Storyboard (ep 3),TV,Spring,2017.0,7.42,252202.0
20057,Space☆Dandy,https://myanimelist.net/anime/20057/Space☆Dandy,"Storyboard (ep 6), Episode Director (ep 6), Animation Director (ep 6), Key Animation (ep 6)",TV,Winter,2014.0,7.88,373026.0
23327,Space☆Dandy 2nd Season,https://myanimelist.net/anime/23327/Space☆Dandy_2nd_Season,"Key Animation (ep 3, 9)",TV,Summer,2014.0,8.26,174792.0
420,Spriggan,https://myanimelist.net/anime/420/Spriggan,Key Animation,Movie,,1998.0,6.68,39030.0
39183,Super Shiro,https://myanimelist.net/anime/39183/Super_Shiro,"Storyboard (30-32, 38-40 ), Episode Director (ep 32, 38), Animation Director (ep 32, 38), Key Animation (ep 32, 38)",TV,Fall,2019.0,6.15,2723.0
7785,Yojouhan Shinwa Taikei,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei,"Storyboard (ep 7), Episode Director (ep 7), Animation Director (ep 7), Key Animation (ep 7)",TV,Spring,2010.0,8.55,471474.0
8985,Yojouhan Shinwa Taikei Specials,https://myanimelist.net/anime/8985/Yojouhan_Shinwa_Taikei_Specials,"Storyboard (ep 1), Episode Director (ep 1)",Special,,2010.0,6.33,28995.0
23283,Zankyou no Terror,https://myanimelist.net/anime/23283/Zankyou_no_Terror,Storyboard (ep 10),TV,Summer,2014.0,8.08,1222003.0
