ID,Title,Link,Roles,Type,Season,Year,Score,Members
1533,Ai Tenshi Densetsu Wedding Peach,https://myanimelist.net/anime/1533/Ai_Tenshi_Densetsu_Wedding_Peach,Storyboard (ep 27),TV,Spring,1995,6.74,24860.0
38413,Arad: Suming Zhi Men,https://myanimelist.net/anime/38413/Arad__Suming_Zhi_Men,"Director, Storyboard (eps 1-2, 15-16, 19-20), Episode Director (eps 1-2, 19-20)",ONA,,2017,6.06,2604.0
13029,Arashi no Yoru ni: Himitsu no Tomodachi,https://myanimelist.net/anime/13029/Arashi_no_Yoru_ni__Himitsu_no_Tomodachi,"Storyboard (eps  	10, 20)",TV,Spring,2012,6.65,2832.0
52995,Arifureta Shokugyou de Sekai Saikyou Season 3,https://myanimelist.net/anime/52995/Arifureta_Shokugyou_de_Sekai_Saikyou_Season_3,Episode Director (ep 3),TV,Fall,2024,7.05,166421.0
406,Buzzer Beater,https://myanimelist.net/anime/406/Buzzer_Beater,Storyboard (ep 8),TV,Winter,2005,6.5,16377.0
59199,Classic★Stars,https://myanimelist.net/anime/59199/Classic★Stars,Director,TV,Spring,2025,,2115.0
8123,Cooking Papa,https://myanimelist.net/anime/8123/Cooking_Papa,"Storyboard (ep 11), Episode Director (eps 4, 11, 18)",TV,Spring,1992,6.73,2758.0
1482,D.Gray-man,https://myanimelist.net/anime/1482/DGray-man,"Storyboard (eps 25, 32, 44, 49, 54, 63, 67, 80, 86, 92, 99), Episode Director (eps 32, 39, 44, 49, 54, 63, 67, 73, 80, 86, 92, 99)",TV,Fall,2006,8.0,711801.0
233,Daa! Daa! Daa!,https://myanimelist.net/anime/233/Daa_Daa_Daa,Episode Director (ep 62),TV,Spring,2000,7.63,26946.0
8956,Denkou Chou Tokkyuu Hikarian,https://myanimelist.net/anime/8956/Denkou_Chou_Tokkyuu_Hikarian,Director,TV,Spring,2002,6.3,1142.0
2803,Densetsu no Yuusha da Garn,https://myanimelist.net/anime/2803/Densetsu_no_Yuusha_da_Garn,"Storyboard (eps  	3, 8, 13, 18, 23, 28, 38, 43), Episode Director (eps 3, 8, 13, 18, 23, 28, 38, 43)",TV,Winter,1992,7.11,5075.0
2259,Dr. Rin ni Kiitemite!,https://myanimelist.net/anime/2259/Dr_Rin_ni_Kiitemite,"Storyboard (eps 31, 36, 41, 46)",TV,Spring,2001,6.79,5018.0
38691,Dr. Stone,https://myanimelist.net/anime/38691/Dr_Stone,"Storyboard (eps 3, 8, 14, 18, 23), Episode Director (eps 3, 8, 12, 18, 23)",TV,Summer,2019,8.27,1841662.0
40906,Dragon Quest: Dai no Daibouken (2020),https://myanimelist.net/anime/40906/Dragon_Quest__Dai_no_Daibouken_2020,"Storyboard (eps 56, 74), Episode Director (eps 8, 16, 24, 39, 56, 74)",TV,Fall,2020,7.73,77065.0
15,Eyeshield 21,https://myanimelist.net/anime/15/Eyeshield_21,"Storyboard (ep 11), Episode Director (ep 11)",TV,Spring,2005,7.91,189580.0
56691,Gekkan Mousou Kagaku,https://myanimelist.net/anime/56691/Gekkan_Mousou_Kagaku,"Storyboard (ep 10), Episode Director (ep 10)",TV,Winter,2024,5.41,11518.0
2717,Ginga Tetsudou Monogatari: Eien e no Bunkiten,https://myanimelist.net/anime/2717/Ginga_Tetsudou_Monogatari__Eien_e_no_Bunkiten,"Storyboard (eps  	3, 10, 16, 23)",TV,Fall,2006,6.72,4802.0
3854,Ginga Tetsudou Monogatari: Wasurerareta Toki no Wakusei,https://myanimelist.net/anime/3854/Ginga_Tetsudou_Monogatari__Wasurerareta_Toki_no_Wakusei,Director,OVA,,2006,6.68,3281.0
4713,Heart no Kuni no Alice: Wonderful Wonder World,https://myanimelist.net/anime/4713/Heart_no_Kuni_no_Alice__Wonderful_Wonder_World,Director,Movie,,2011,6.02,32841.0
11521,Hello Kitty: Ringo no Mori no Fantasy,https://myanimelist.net/anime/11521/Hello_Kitty__Ringo_no_Mori_no_Fantasy,Director,TV,Spring,2006,6.01,1291.0
22439,Hello Kitty: Ringo no Mori no Mystery,https://myanimelist.net/anime/22439/Hello_Kitty__Ringo_no_Mori_no_Mystery,Director,TV,Winter,2007,5.99,992.0
22441,Hello Kitty: Ringo no Mori to Parallel Town,https://myanimelist.net/anime/22441/Hello_Kitty__Ringo_no_Mori_to_Parallel_Town,Director,TV,Fall,2007,6.19,951.0
777,Hellsing Ultimate,https://myanimelist.net/anime/777/Hellsing_Ultimate,Episode Director (ep 9),OVA,,2006,8.35,973803.0
37007,Hinomaruzumou,https://myanimelist.net/anime/37007/Hinomaruzumou,Episode Director (ep 3),TV,Fall,2018,7.53,127521.0
139,Hunter x Hunter: Greed Island Final,https://myanimelist.net/anime/139/Hunter_x_Hunter__Greed_Island_Final,"Storyboard (eps 2, 9, 12)",OVA,,2004,8.25,150757.0
48804,Isekai Shokudou 2,https://myanimelist.net/anime/48804/Isekai_Shokudou_2,"Storyboard (ep 10), Episode Director (ep 10)",TV,Fall,2021,7.69,106866.0
3731,Itazura na Kiss,https://myanimelist.net/anime/3731/Itazura_na_Kiss,"Storyboard (eps 4, 12, 19)",TV,Spring,2008,7.4,290561.0
2281,Jikuu Tantei Genshi-kun,https://myanimelist.net/anime/2281/Jikuu_Tantei_Genshi-kun,"Storyboard (eps 6, 12, 18, 22, 28, 34), Episode Director (eps 6, 12, 18, 22, 28, 34)",TV,Fall,1998,6.33,10616.0
42822,Kai Byoui Ramune,https://myanimelist.net/anime/42822/Kai_Byoui_Ramune,Director,TV,Winter,2021,7.15,86015.0
1567,Kaitou Saint Tail,https://myanimelist.net/anime/1567/Kaitou_Saint_Tail,"Storyboard (eps 11, 16), Episode Director (eps 11, 16)",TV,Fall,1995,7.55,22648.0
52990,"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi.",https://myanimelist.net/anime/52990/Keikenzumi_na_Kimi_to_Keiken_Zero_na_Ore_ga_Otsukiai_suru_Hanashi,"Director, Storyboard (eps 1, 4, OP), Episode Director (eps 1, 4, OP)",TV,Fall,2023,6.75,199708.0
22651,Kerokero Keroppi: Hasunoue Town Kiki Ippatsu!,https://myanimelist.net/anime/22651/Kerokero_Keroppi__Hasunoue_Town_Kiki_Ippatsu,Director,TV,Fall,2006,,460.0
2075,Kiko-chan Smile,https://myanimelist.net/anime/2075/Kiko-chan_Smile,"Storyboard, Episode Director",TV,Fall,1996,6.41,1929.0
38080,Kono Oto Tomare!,https://myanimelist.net/anime/38080/Kono_Oto_Tomare,"Storyboard (eps 6, 10), Episode Director (eps 6, 10)",TV,Spring,2019,7.93,329090.0
38889,Kono Oto Tomare! Part 2,https://myanimelist.net/anime/38889/Kono_Oto_Tomare_Part_2,"Storyboard (eps 4, 9, 11), Episode Director (eps 4, 9, 11)",TV,Fall,2019,8.42,190296.0
44516,Koroshi Ai,https://myanimelist.net/anime/44516/Koroshi_Ai,"Director, Storyboard (eps 2, 5, 9), Episode Director (eps 1-2, 5, 9)",TV,Winter,2022,6.9,183874.0
2980,Kuusou Kagaku Sekai Gulliver Boy,https://myanimelist.net/anime/2980/Kuusou_Kagaku_Sekai_Gulliver_Boy,"Storyboard (eps 28, 35, 41), Episode Director (eps 21, 28, 35, 41)",TV,Winter,1995,6.57,2269.0
4903,Kyou no 5 no 2 (TV),https://myanimelist.net/anime/4903/Kyou_no_5_no_2_TV,Episode Director (ep 11),TV,Fall,2008,7.18,37024.0
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,https://myanimelist.net/anime/279/Kyougoku_Natsuhiko__Kousetsu_Hyaku_Monogatari,"Storyboard (eps 3, 9), Episode Director (eps 3, 9)",TV,Fall,2003,7.07,41848.0
1271,Kyoukasho ni Nai!,https://myanimelist.net/anime/1271/Kyoukasho_ni_Nai,"Director, Script",OVA,,1998,5.41,6002.0
49556,Love All Play,https://myanimelist.net/anime/49556/Love_All_Play,"Storyboard (ep 14), Episode Director (ep 14)",TV,Spring,2022,6.53,42027.0
8097,Lupin III: The Last Job,https://myanimelist.net/anime/8097/Lupin_III__The_Last_Job,Episode Director,TV Special,,2010,6.87,8510.0
4049,Mafukiden: Pandarian,https://myanimelist.net/anime/4049/Mafukiden__Pandarian,Director,TV,Winter,2005,6.3,1206.0
860,Makai Senki Disgaea,https://myanimelist.net/anime/860/Makai_Senki_Disgaea,Storyboard (ep 4),TV,Spring,2006,6.7,45608.0
11761,Medaka Box,https://myanimelist.net/anime/11761/Medaka_Box,"Storyboard (ep 4), Episode Director (eps 4, 8)",TV,Spring,2012,7.01,267949.0
9519,Medaka no Gakkou,https://myanimelist.net/anime/9519/Medaka_no_Gakkou,Storyboard,OVA,,2001,6.21,1092.0
55318,Medalist,https://myanimelist.net/anime/55318/Medalist,"Episode Director (eps 6, 10)",TV,Winter,2025,8.39,51633.0
235,Meitantei Conan,https://myanimelist.net/anime/235/Meitantei_Conan,"Storyboard (eps 278, 339, 354-355, 361-362, 369, 408, 442, 447, 520, 526, 591), Episode Director (eps 258, 266, 320, 325, 328, 332, 339, 343, 349, 354-355, 361-362, 369)",TV,Winter,1996,8.17,361537.0
2736,Mojakou,https://myanimelist.net/anime/2736/Mojakou,Storyboard (ep 11),TV,Fall,1995,7.14,3140.0
