ID,Title,Link,Roles,Type,Season,Year,Score,Members
55,Arc the Lad,https://myanimelist.net/anime/55/Arc_the_Lad,Theme Song Arrangement (ED1-2),TV,Spring,1999,6.49,17471.0
68,Black Cat,https://myanimelist.net/anime/68/Black_Cat,Theme Song Arrangement (ED1),TV,Fall,2005,7.31,277080.0
5071,Croket!,https://myanimelist.net/anime/5071/Croket,Theme Song Arrangement (ED1),TV,Spring,2003,6.88,1625.0
8179,Eagle Sam,https://myanimelist.net/anime/8179/Eagle_Sam,"Theme Song Arrangement (OP1, ED1)",TV,Spring,1983,,686.0
122,Full Moon wo Sagashite,https://myanimelist.net/anime/122/Full_Moon_wo_Sagashite,"Theme Song Arrangement (OP1-2), Theme Song Composition (OP1-2)",TV,Spring,2002,7.93,113383.0
1281,Gakkou no Kaidan,https://myanimelist.net/anime/1281/Gakkou_no_Kaidan,Theme Song Arrangement (OP),TV,Fall,2000,7.75,234200.0
3813,Gekkou no Pierce: Yumemi to Gin no Bara Kishidan,https://myanimelist.net/anime/3813/Gekkou_no_Pierce__Yumemi_to_Gin_no_Bara_Kishidan,Theme Song Arrangement (OP),OVA,,1991,5.77,1432.0
132,GetBackers,https://myanimelist.net/anime/132/GetBackers,Theme Song Arrangement (OP2),TV,Fall,2002,7.57,125709.0
185,Initial D First Stage,https://myanimelist.net/anime/185/Initial_D_First_Stage,Theme Song Arrangement (ED2),TV,Spring,1998,8.35,411380.0
1021,Kaikan Phrase,https://myanimelist.net/anime/1021/Kaikan_Phrase,"Theme Song Arrangement (OP1, 4)",TV,Spring,1999,7.32,14581.0
19585,Kobo-chan,https://myanimelist.net/anime/19585/Kobo-chan,Theme Song Arrangement (OP4),TV,Fall,1992,6.52,1060.0
633,Legend of Basara,https://myanimelist.net/anime/633/Legend_of_Basara,Theme Song Arrangement (ED),TV,Spring,1998,7.27,14291.0
45,Rurouni Kenshin: Meiji Kenkaku Romantan,https://myanimelist.net/anime/45/Rurouni_Kenshin__Meiji_Kenkaku_Romantan,Theme Song Arrangement (OP3),TV,Winter,1996,8.28,511091.0
341,Spiral: Suiri no Kizuna,https://myanimelist.net/anime/341/Spiral__Suiri_no_Kizuna,Theme Song Arrangement (ED),TV,Fall,2002,7.21,54172.0
3859,Top Secret: The Revelation,https://myanimelist.net/anime/3859/Top_Secret__The_Revelation,Theme Song Arrangement (OP),TV,Spring,2008,7.27,20537.0
3290,Vampiyan Kids,https://myanimelist.net/anime/3290/Vampiyan_Kids,Theme Song Arrangement (OP),TV,Fall,2001,5.94,1230.0
2008,Yawara! Sore Yuke Koshinuke Kids!!,https://myanimelist.net/anime/2008/Yawara_Sore_Yuke_Koshinuke_Kids,Music,Movie,,1992,6.22,3044.0
