ID,Title,Link,Roles,Type,Season,Year,Score,Members
56566,Beyblade X,https://myanimelist.net/anime/56566/Beyblade_X,Theme Song Performance (ED),TV,Fall,2023,6.81,4896.0
8687,Doraemon (2005),https://myanimelist.net/anime/8687/Doraemon_2005,Theme Song Performance,TV,Spring,2005,7.72,21528.0
15925,Doraemon Movie 33: Nobita no Himitsu Dougu Museum,https://myanimelist.net/anime/15925/Doraemon_Movie_33__Nobita_no_Himitsu_Dougu_Museum,Theme Song Performance,Movie,,2013,7.6,9403.0
28205,Fastening Days,https://myanimelist.net/anime/28205/Fastening_Days,Theme Song Performance,ONA,,2014,6.37,6397.0
48604,Fastening Days 2,https://myanimelist.net/anime/48604/Fastening_Days_2,Theme Song Performance,ONA,,2016,6.16,1272.0
48605,Fastening Days 3,https://myanimelist.net/anime/48605/Fastening_Days_3,Theme Song Performance,ONA,,2017,6.16,1051.0
48606,Fastening Days 4,https://myanimelist.net/anime/48606/Fastening_Days_4,Theme Song Performance,ONA,,2019,6.15,989.0
33240,Koneko no Chi: Ponponra Daibouken,https://myanimelist.net/anime/33240/Koneko_no_Chi__Ponponra_Daibouken,Theme Song Performance (OP),TV,Fall,2016,6.84,7631.0
33272,Nanocore 2016 Xinnian Tebie Ban,https://myanimelist.net/anime/33272/Nanocore_2016_Xinnian_Tebie_Ban,Theme Song Performance,Music,,2016,5.46,483.0
55921,Sayonara Plastic World,https://myanimelist.net/anime/55921/Sayonara_Plastic_World,Theme Song Performance,Music,,2022,,127.0
53936,Sumikko Gurashi Movie 3: Tsugihagi Koujou no Fushigi na Ko,https://myanimelist.net/anime/53936/Sumikko_Gurashi_Movie_3__Tsugihagi_Koujou_no_Fushigi_na_Ko,Theme Song Performance,Movie,,2023,,529.0
31633,Sushi Police,https://myanimelist.net/anime/31633/Sushi_Police,Theme Song Performance,TV,Winter,2016,4.65,13977.0
32384,The New A-Class.: Next Stage with YOU,https://myanimelist.net/anime/32384/The_New_A-Class__Next_Stage_with_YOU,Theme Song Performance,CM,,2015,4.87,1607.0
