ID,Title,Link,Roles,Type,Season,Year,Score,Members
4025,Asobou! Hello Kitty,https://myanimelist.net/anime/4025/Asobou_Hello_Kitty,Executive Producer,TV,Spring,1994.0,5.95,1727.0
9291,Hello Kitty no Cinderella,https://myanimelist.net/anime/9291/Hello_Kitty_no_Cinderella,Executive Producer,Movie,,1989.0,6.42,1801.0
17953,Hello Kitty no London ni Orita Uchuujin,https://myanimelist.net/anime/17953/Hello_Kitty_no_London_ni_Orita_Uchuujin,Executive Producer,OVA,,1992.0,5.93,581.0
22479,Hello Kitty no Mahou no Ringo,https://myanimelist.net/anime/22479/Hello_Kitty_no_Mahou_no_Ringo,Executive Producer,OVA,,1992.0,6.03,619.0
17481,Hello Kitty no Oyayubi-hime (OVA),https://myanimelist.net/anime/17481/Hello_Kitty_no_Oyayubi-hime_OVA,Executive Producer,OVA,,2001.0,5.62,759.0
17951,Hello Kitty no Shirayuki-hime,https://myanimelist.net/anime/17951/Hello_Kitty_no_Shirayuki-hime,Executive Producer,OVA,,1993.0,6.09,971.0
18033,Hello Kitty no Yuubinya-san Arigatou,https://myanimelist.net/anime/18033/Hello_Kitty_no_Yuubinya-san_Arigatou,Executive Producer,OVA,,1993.0,5.74,572.0
18827,Hello Kitty: Mahou no Mori no Ohimesama,https://myanimelist.net/anime/18827/Hello_Kitty__Mahou_no_Mori_no_Ohimesama,Executive Producer,Movie,,1991.0,5.93,896.0
2876,Hoshi no Orpheus,https://myanimelist.net/anime/2876/Hoshi_no_Orpheus,Executive Producer,Movie,,1979.0,5.26,1284.0
36591,Kerokero Keroppi no Bokura no Ohimesama,https://myanimelist.net/anime/36591/Kerokero_Keroppi_no_Bokura_no_Ohimesama,Executive Producer,,,,,259.0
17489,Kerokero Keroppi no Daibouken: Fushigi na Mame no Ki,https://myanimelist.net/anime/17489/Kerokero_Keroppi_no_Daibouken__Fushigi_na_Mame_no_Ki,Executive Producer,Movie,,1990.0,5.97,513.0
22605,Kerokero Keroppi no Ganbare! Keroppooz,https://myanimelist.net/anime/22605/Kerokero_Keroppi_no_Ganbare_Keroppooz,Executive Producer,OVA,,1992.0,5.73,547.0
22643,Kerokero Keroppi no Kyouryuu ga Deta,https://myanimelist.net/anime/22643/Kerokero_Keroppi_no_Kyouryuu_ga_Deta,Executive Producer,OVA,,1992.0,,393.0
22649,Kerokero Keroppi no Sanjuushi,https://myanimelist.net/anime/22649/Kerokero_Keroppi_no_Sanjuushi,Executive Producer,Movie,,1991.0,,475.0
22613,Kerokero Keroppi no Yowamushi-ouji no Daibouken,https://myanimelist.net/anime/22613/Kerokero_Keroppi_no_Yowamushi-ouji_no_Daibouken,Executive Producer,OVA,,1993.0,5.75,528.0
9292,Kiki to Lala no Aoi Tori,https://myanimelist.net/anime/9292/Kiki_to_Lala_no_Aoi_Tori,Executive Producer,Movie,,1989.0,5.98,620.0
17483,Kiki to Lala no Hansel to Gretel,https://myanimelist.net/anime/17483/Kiki_to_Lala_no_Hansel_to_Gretel,Executive Producer,OVA,,1993.0,,418.0
7376,Kurumiwari Ningyou,https://myanimelist.net/anime/7376/Kurumiwari_Ningyou,Screenplay,Movie,,1979.0,6.22,1233.0
26043,Kurumiwari Ningyou (2014),https://myanimelist.net/anime/26043/Kurumiwari_Ningyou_2014,Executive Producer,Movie,,2014.0,,512.0
14253,My Melody no Akazukin,https://myanimelist.net/anime/14253/My_Melody_no_Akazukin,Executive Producer,Movie,,1989.0,5.88,814.0
9789,Nezumi Monogatari: George to Gerald no Bouken,https://myanimelist.net/anime/9789/Nezumi_Monogatari__George_to_Gerald_no_Bouken,"Original Creator, Executive Producer",Movie,,2007.0,6.43,1325.0
2029,Sirius no Densetsu,https://myanimelist.net/anime/2029/Sirius_no_Densetsu,"Original Character Design, Planning",Movie,,1981.0,6.69,6482.0
3885,Sugar Bunnies,https://myanimelist.net/anime/3885/Sugar_Bunnies,Executive Producer,TV,Spring,2007.0,6.01,1460.0
4943,Yousei Florence,https://myanimelist.net/anime/4943/Yousei_Florence,Original Creator,Movie,,1985.0,6.47,2892.0
