ID,Title,Link,Roles,Type,Season,Year,Score,Members
39783,5-toubun no Hanayome ∬,https://myanimelist.net/anime/39783/5-toubun_no_Hanayome_∬,"Episode Director (eps 2, 7)",TV,Winter,2021,8.02,762676.0
59730,"A-Rank Party wo Ridatsu shita Ore wa, Moto Oshiego-tachi to Meikyuu Shinbu wo Mezasu.",https://myanimelist.net/anime/59730/A-Rank_Party_wo_Ridatsu_shita_Ore_wa_Moto_Oshiego-tachi_to_Meikyuu_Shinbu_wo_Mezasu,"Chief Animation Director (eps 3, 5, 7, 9)",TV,Winter,2025,6.67,58002.0
37206,Anima Yell!,https://myanimelist.net/anime/37206/Anima_Yell,Key Animation (OP),TV,Fall,2018,6.88,45441.0
11697,Area no Kishi,https://myanimelist.net/anime/11697/Area_no_Kishi,Animation Director,TV,Winter,2012,7.16,78574.0
9513,Beelzebub,https://myanimelist.net/anime/9513/Beelzebub,"Animation Director (eps 1, 13, 21, 27, 35, 46, 54, 60), Key Animation (OP 2-4), Assistant Animation Director (ep 58)",TV,Winter,2011,7.84,614862.0
55690,Boku no Kokoro no Yabai Yatsu 2nd Season,https://myanimelist.net/anime/55690/Boku_no_Kokoro_no_Yabai_Yatsu_2nd_Season,Storyboard (ep 7),TV,Winter,2024,8.76,252429.0
51371,Bucchigire!,https://myanimelist.net/anime/51371/Bucchigire,"Storyboard (ep 7), Episode Director (eps 1, 7), Animation Director (ep 1)",TV,Summer,2022,5.99,38014.0
40167,Cardfight!! Vanguard: Shinemon-hen,https://myanimelist.net/anime/40167/Cardfight_Vanguard__Shinemon-hen,"Chief Animation Director (eps 2, 6, 11, 21, 26, 31)",TV,Summer,2019,6.65,5204.0
39244,Cardfight!! Vanguard: Zoku Koukousei-hen,https://myanimelist.net/anime/39244/Cardfight_Vanguard__Zoku_Koukousei-hen,"Chief Animation Director (eps 3, 7, 13)",TV,Spring,2019,6.36,7017.0
8363,Crayon Shin-chan Movie 11: Arashi wo Yobu Eikou no Yakiniku Road,https://myanimelist.net/anime/8363/Crayon_Shin-chan_Movie_11__Arashi_wo_Yobu_Eikou_no_Yakiniku_Road,In-Between Animation,Movie,,2003,7.26,5942.0
8368,Crayon Shin-chan Movie 17: Otakebe! Kasukabe Yasei Oukoku,https://myanimelist.net/anime/8368/Crayon_Shin-chan_Movie_17__Otakebe_Kasukabe_Yasei_Oukoku,Key Animation,Movie,,2009,6.84,4718.0
8369,Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome,https://myanimelist.net/anime/8369/Crayon_Shin-chan_Movie_18__Chou_Jikuu_Arashi_wo_Yobu_Ora_no_Hanayome,Key Animation,Movie,,2010,7.5,7749.0
10116,Crayon Shin-chan Movie 19: Arashi wo Yobu Ougon no Spy Daisakusen,https://myanimelist.net/anime/10116/Crayon_Shin-chan_Movie_19__Arashi_wo_Yobu_Ougon_no_Spy_Daisakusen,Key Animation,Movie,,2011,7.0,5992.0
