ID,Title,Link,Roles,Type,Season,Year,Score,Members
6408,"""Bungaku Shoujo"" Movie",https://myanimelist.net/anime/6408/Bungaku_Shoujo_Movie,Key Animation,Movie,,2010.0,7.31,69756.0
66,Azumanga Daiou The Animation,https://myanimelist.net/anime/66/Azumanga_Daiou_The_Animation,"In-Between Animation (ep 11, 17)",TV,Spring,2002.0,8.05,393864.0
2251,Baccano!,https://myanimelist.net/anime/2251/Baccano,Key Animation (ep 5),TV,Summer,2007.0,8.35,931993.0
150,Blood+,https://myanimelist.net/anime/150/Blood_,"Key Animation (OP2, ep 18)",TV,Fall,2005.0,7.61,387578.0
10681,Blood-C: The Last Dark,https://myanimelist.net/anime/10681/Blood-C__The_Last_Dark,"Key Animation, Assistant Animation Director",Movie,,2012.0,7.15,107800.0
1681,Brave Story,https://myanimelist.net/anime/1681/Brave_Story,Key Animation,Movie,,2006.0,7.4,46103.0
33080,Brotherhood: Final Fantasy XV,https://myanimelist.net/anime/33080/Brotherhood__Final_Fantasy_XV,Key Animation (ep 1),ONA,,2016.0,6.9,87840.0
2285,D.I.C.E.,https://myanimelist.net/anime/2285/DICE,Key Animation,TV,Winter,2006.0,6.38,5165.0
61,D.N.Angel,https://myanimelist.net/anime/61/DNAngel,In-Between Animation (ep 4),TV,Spring,2003.0,7.16,188479.0
6573,Darker than Black: Ryuusei no Gemini,https://myanimelist.net/anime/6573/Darker_than_Black__Ryuusei_no_Gemini,Key Animation (OP),TV,Fall,2009.0,7.42,421093.0
974,Dead Leaves,https://myanimelist.net/anime/974/Dead_Leaves,In-Between Animation,Movie,,2004.0,7.2,98083.0
1535,Death Note,https://myanimelist.net/anime/1535/Death_Note,"Animation Director (ep 29, 35), Key Animation",TV,Fall,2006.0,8.62,4078984.0
2994,Death Note: Rewrite,https://myanimelist.net/anime/2994/Death_Note__Rewrite,Key Animation (ep 1),TV Special,,2007.0,7.71,215733.0
2164,Dennou Coil,https://myanimelist.net/anime/2164/Dennou_Coil,"Key Animation (ep 20-21, 23, 26)",TV,Spring,2007.0,8.02,152605.0
1317,Eyeshield 21: Maboroshi no Golden Bowl,https://myanimelist.net/anime/1317/Eyeshield_21__Maboroshi_no_Golden_Bowl,"In-Between Animation, Key Animation",Special,,2004.0,6.61,8994.0
121,Fullmetal Alchemist,https://myanimelist.net/anime/121/Fullmetal_Alchemist,Key Animation (ep 18),TV,Fall,2003.0,8.11,1512390.0
364,Gallery Fake,https://myanimelist.net/anime/364/Gallery_Fake,Key Animation (ep 33),TV,Winter,2005.0,7.4,16285.0
28791,Gunslinger Stratos The Animation,https://myanimelist.net/anime/28791/Gunslinger_Stratos_The_Animation,"Character Design, Chief Animation Director",TV,Spring,2015.0,6.04,73733.0
11061,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,Key Animation (ED3),TV,Fall,2011.0,9.03,2996559.0
3270,IGPX: Immortal Grand Prix (2005),https://myanimelist.net/anime/3270/IGPX__Immortal_Grand_Prix_2005,Key Animation (ep 6),TV,Fall,2005.0,7.06,21992.0
468,Innocence,https://myanimelist.net/anime/468/Innocence,In-Between Animation,Movie,,2004.0,7.78,170158.0
3638,Kaiketsu Zorori,https://myanimelist.net/anime/3638/Kaiketsu_Zorori,Key Animation (ep 21),TV,Winter,2004.0,7.07,4154.0
467,Koukaku Kidoutai: Stand Alone Complex,https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex,"In-Between Animation (ep 1, 6, 8, 11, 13, 15, 21)",TV,Fall,2002.0,8.42,410198.0
1566,Koukaku Kidoutai: Stand Alone Complex - Solid State Society,https://myanimelist.net/anime/1566/Koukaku_Kidoutai__Stand_Alone_Complex_-_Solid_State_Society,Key Animation,TV Special,,2006.0,8.1,103804.0
