ID,Title,Link,Roles,Type,Season,Year,Score,Members
492,Armitage III: Dual-Matrix,https://myanimelist.net/anime/492/Armitage_III__Dual-Matrix,Screenplay,Movie,,2002,6.8,19836.0
1347,Bubblegum Crisis,https://myanimelist.net/anime/1347/Bubblegum_Crisis,Screenplay,OVA,,1987,7.29,59995.0
1598,Casshern: Robot Hunter,https://myanimelist.net/anime/1598/Casshern__Robot_Hunter,"2nd Key Animation, Screenplay",OVA,,1993,6.3,9860.0
1178,Detonator Orgun,https://myanimelist.net/anime/1178/Detonator_Orgun,"Executive Producer, 2nd Key Animation",OVA,,1991,6.37,7480.0
2060,Gall Force 1: Eternal Story,https://myanimelist.net/anime/2060/Gall_Force_1__Eternal_Story,Mechanical Design,Movie,,1986,6.37,8168.0
2061,Gall Force 2: Destruction,https://myanimelist.net/anime/2061/Gall_Force_2__Destruction,Script,OVA,,1987,6.34,4152.0
2062,Gall Force 3: Stardust War,https://myanimelist.net/anime/2062/Gall_Force_3__Stardust_War,Script,OVA,,1988,6.32,3911.0
2064,Gall Force: Chikyuu Shou,https://myanimelist.net/anime/2064/Gall_Force__Chikyuu_Shou,Script ((eps 2-3)),OVA,,1989,6.15,3877.0
2065,Gall Force: New Era,https://myanimelist.net/anime/2065/Gall_Force__New_Era,Script,OVA,,1991,5.67,3097.0
2066,Gall Force: The Revolution,https://myanimelist.net/anime/2066/Gall_Force__The_Revolution,Script,OVA,,1996,5.92,2635.0
3670,Kikou Souseiki Mospeada,https://myanimelist.net/anime/3670/Kikou_Souseiki_Mospeada,Mechanical Design ((Artmic)),TV,Fall,1983,7.03,10511.0
1935,Megazone 23,https://myanimelist.net/anime/1935/Megazone_23,Mechanical Design,OVA,,1985,6.74,24096.0
1832,Project Zeorymer,https://myanimelist.net/anime/1832/Project_Zeorymer,Mechanical Design,OVA,,1988,6.09,7525.0
2063,Rhea Gall Force,https://myanimelist.net/anime/2063/Rhea_Gall_Force,Script,OVA,,1989,6.18,3838.0
3398,Shin Hurricane Polymar,https://myanimelist.net/anime/3398/Shin_Hurricane_Polymar,Script,OVA,,1996,5.92,3196.0
