ID,Title,Link,Roles,Type,Season,Year,Score,Members
40266,Aikatsu on Parade!,https://myanimelist.net/anime/40266/Aikatsu_on_Parade,Theme Song Performance (ED6-7),TV,Fall,2019,7.03,6929.0
15061,Aikatsu!,https://myanimelist.net/anime/15061/Aikatsu,"Theme Song Performance (OP1, ED2, 4-5)",TV,Fall,2012,7.47,45858.0
53499,Aikatsu! 10th Story: Mirai e no Starway (2023),https://myanimelist.net/anime/53499/Aikatsu_10th_Story__Mirai_e_no_Starway_2023,Theme Song Performance (ED),Movie,,2023,7.91,1971.0
40532,Appare-Ranman!,https://myanimelist.net/anime/40532/Appare-Ranman,Theme Song Lyrics (OP),TV,Spring,2020,7.24,136163.0
40550,Assault Lily: Bouquet,https://myanimelist.net/anime/40550/Assault_Lily__Bouquet,Theme Song Lyrics (ED1-3),TV,Fall,2020,6.5,91633.0
45961,Assault Lily: Fruits,https://myanimelist.net/anime/45961/Assault_Lily__Fruits,Theme Song Lyrics (OP),ONA,,2021,6.37,4882.0
37614,Hitoribocchi no Marumaru Seikatsu,https://myanimelist.net/anime/37614/Hitoribocchi_no_Marumaru_Seikatsu,"Theme Song Lyrics (OP, ED1)",TV,Spring,2019,7.47,227184.0
35413,Imouto sae Ireba Ii.,https://myanimelist.net/anime/35413/Imouto_sae_Ireba_Ii,Theme Song Lyrics (ED2-3),TV,Fall,2017,7.25,356737.0
41783,Iwa Kakeru! Sport Climbing Girls,https://myanimelist.net/anime/41783/Iwa_Kakeru_Sport_Climbing_Girls,Theme Song Lyrics (ED),TV,Fall,2020,6.48,99977.0
40196,Kandagawa Jet Girls,https://myanimelist.net/anime/40196/Kandagawa_Jet_Girls,Theme Song Lyrics (ED),TV,Fall,2019,5.75,46260.0
54714,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,https://myanimelist.net/anime/54714/Kimi_no_Koto_ga_Daidaidaidaidaisuki_na_100-nin_no_Kanojo,Theme Song Lyrics (OP),TV,Fall,2023,7.72,277865.0
57616,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo 2nd Season,https://myanimelist.net/anime/57616/Kimi_no_Koto_ga_Daidaidaidaidaisuki_na_100-nin_no_Kanojo_2nd_Season,Theme Song Lyrics (OP),TV,Winter,2025,8.07,117812.0
40085,Maesetsu!,https://myanimelist.net/anime/40085/Maesetsu,"Theme Song Lyrics (OP1-2, ED)",TV,Fall,2020,5.8,12577.0
50384,Mononogatari,https://myanimelist.net/anime/50384/Mononogatari,Theme Song Lyrics (OP),TV,Winter,2023,7.25,75336.0
40708,Monster Musume no Oishasan,https://myanimelist.net/anime/40708/Monster_Musume_no_Oishasan,Theme Song Lyrics (OP),TV,Summer,2020,6.53,235967.0
39609,Ochikobore Fruit Tart,https://myanimelist.net/anime/39609/Ochikobore_Fruit_Tart,"Theme Song Lyrics (OP, ED)",TV,Fall,2020,6.77,41629.0
