ID,Title,Link,Roles,Type,Season,Year,Score,Members
59457,"Haite Kudasai, Takamine-san",https://myanimelist.net/anime/59457/Haite_Kudasai_Takamine-san,Theme Song Performance (OP),TV,Spring,2025,,42830.0
58822,Izure Saikyou no Renkinjutsushi?,https://myanimelist.net/anime/58822/Izure_Saikyou_no_Renkinjutsushi,Theme Song Lyrics (ED),TV,Winter,2025,6.6,78302.0
36098,Kimi no Suizou wo Tabetai,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,Inserted Song Performance,Movie,,2018,8.55,1036642.0
31804,Kuma Miko,https://myanimelist.net/anime/31804/Kuma_Miko,"Theme Song Arrangement (OP), Theme Song Composition (OP), Theme Song Lyrics (OP)",TV,Spring,2016,6.31,77900.0
34745,Mahoujin Guruguru (2017),https://myanimelist.net/anime/34745/Mahoujin_Guruguru_2017,Theme Song Performance (ED),TV,Summer,2017,7.8,34285.0
31540,Sekkou Boys,https://myanimelist.net/anime/31540/Sekkou_Boys,Theme Song Lyrics,TV,Winter,2016,6.25,54429.0
49683,Subarashii Shin Sekai,https://myanimelist.net/anime/49683/Subarashii_Shin_Sekai,"Theme Song Lyrics, Theme Song Performance",Music,,2021,6.36,437.0
44077,Tululu feat. Taku Inoue,https://myanimelist.net/anime/44077/Tululu_feat_Taku_Inoue,Theme Song Performance,Music,,2020,,195.0
32681,Uchuu Patrol Luluco,https://myanimelist.net/anime/32681/Uchuu_Patrol_Luluco,Theme Song Performance (ED),TV,Spring,2016,7.52,156722.0
37786,Yagate Kimi ni Naru,https://myanimelist.net/anime/37786/Yagate_Kimi_ni_Naru,"Theme Song Composition (OP), Theme Song Lyrics (OP)",TV,Fall,2018,7.88,362202.0
26165,Yuri Kuma Arashi,https://myanimelist.net/anime/26165/Yuri_Kuma_Arashi,"Theme Song Arrangement (OP), Theme Song Composition (OP), Theme Song Lyrics (OP), Theme Song Performance (OP)",TV,Winter,2015,7.03,106154.0
