ID,Title,Link,Roles,Type,Season,Year,Score,Members
27737,Battle Spirits: Burning Soul,https://myanimelist.net/anime/27737/Battle_Spirits__Burning_Soul,Music,TV,Spring,2015,6.69,4588.0
59205,Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha,https://myanimelist.net/anime/59205/Clevatess__Majuu_no_Ou_to_Akago_to_Shikabane_no_Yuusha,Music,TV,Summer,2025,,4504.0
31636,Dagashi Kashi,https://myanimelist.net/anime/31636/Dagashi_Kashi,Music,TV,Winter,2016,6.6,473613.0
36049,Dagashi Kashi 2,https://myanimelist.net/anime/36049/Dagashi_Kashi_2,Music,TV,Winter,2018,6.82,176719.0
49519,Hakozume: Kouban Joshi no Gyakushuu,https://myanimelist.net/anime/49519/Hakozume__Kouban_Joshi_no_Gyakushuu,Music,TV,Winter,2022,7.17,55768.0
39198,Kanata no Astra,https://myanimelist.net/anime/39198/Kanata_no_Astra,Music,TV,Summer,2019,8.07,323203.0
34934,Koi to Uso,https://myanimelist.net/anime/34934/Koi_to_Uso,Music,TV,Summer,2017,6.48,435418.0
54617,Kyuujitsu no Warumono-san,https://myanimelist.net/anime/54617/Kyuujitsu_no_Warumono-san,Music,TV,Winter,2024,7.25,93510.0
24455,Madan no Ou to Vanadis,https://myanimelist.net/anime/24455/Madan_no_Ou_to_Vanadis,Music,TV,Fall,2014,7.1,377419.0
33836,Seiren,https://myanimelist.net/anime/33836/Seiren,Music,TV,Winter,2017,6.28,249012.0
32595,Seisen Cerberus: Ryuukoku no Fatalités,https://myanimelist.net/anime/32595/Seisen_Cerberus__Ryuukoku_no_Fatalités,Music,TV,Spring,2016,5.58,105418.0
30484,Steins;Gate 0,https://myanimelist.net/anime/30484/Steins_Gate_0,Music,TV,Spring,2018,8.54,910880.0
