ID,Title,Link,Roles,Type,Season,Year,Score,Members
5525,07-Ghost,https://myanimelist.net/anime/5525/07-Ghost,Key Animation (ep 2),TV,Spring,2009,7.18,217254.0
25397,Absolute Duo,https://myanimelist.net/anime/25397/Absolute_Duo,Animation Director (ED3),TV,Winter,2015,6.41,574389.0
49520,Aharen-san wa Hakarenai,https://myanimelist.net/anime/49520/Aharen-san_wa_Hakarenai,"Character Design, Chief Animation Director (ep 1)",TV,Spring,2022,7.28,362653.0
59466,Aharen-san wa Hakarenai Season 2,https://myanimelist.net/anime/59466/Aharen-san_wa_Hakarenai_Season_2,Character Design,TV,Spring,2025,,41690.0
309,Akahori Gedou Hour Rabuge,https://myanimelist.net/anime/309/Akahori_Gedou_Hour_Rabuge,"Key Animation (eps 1, 3)",TV,Summer,2005,6.11,6892.0
3359,Amatsuki,https://myanimelist.net/anime/3359/Amatsuki,Key Animation (ep 2),TV,Spring,2008,6.86,58812.0
7817,B-gata H-kei,https://myanimelist.net/anime/7817/B-gata_H-kei,"Character Design, Chief Animation Director, Animation Director (OP, ED)",TV,Spring,2010,6.83,401037.0
2786,Bakegyamon,https://myanimelist.net/anime/2786/Bakegyamon,"Animation Director (eps 39, 45)",TV,Spring,2006,6.63,4071.0
34636,Ballroom e Youkoso,https://myanimelist.net/anime/34636/Ballroom_e_Youkoso,"Key Animation (ep 3, OP2)",TV,Summer,2017,8.18,349122.0
5167,Cream Lemon: New Generation,https://myanimelist.net/anime/5167/Cream_Lemon__New_Generation,Key Animation (ep 2),OVA,,2006,5.66,2197.0
15109,Cuticle Tantei Inaba,https://myanimelist.net/anime/15109/Cuticle_Tantei_Inaba,"Animation Director (eps 6, 12)",TV,Winter,2013,7.24,110780.0
17513,Diabolik Lovers,https://myanimelist.net/anime/17513/Diabolik_Lovers,"Character Design, Chief Animation Director",TV,Fall,2013,5.18,361875.0
29974,"Diabolik Lovers More,Blood",https://myanimelist.net/anime/29974/Diabolik_Lovers_MoreBlood,"Character Design, Chief Animation Director",TV,Fall,2015,5.52,166668.0
27417,Diabolik Lovers OVA,https://myanimelist.net/anime/27417/Diabolik_Lovers_OVA,Animation Director,OVA,,2015,5.7,41012.0
6922,Fate/stay night Movie: Unlimited Blade Works,https://myanimelist.net/anime/6922/Fate_stay_night_Movie__Unlimited_Blade_Works,Assistant Animation Director,Movie,,2010,7.39,236002.0
32948,Fune wo Amu,https://myanimelist.net/anime/32948/Fune_wo_Amu,"Chief Animation Director (eps 5, 10)",TV,Fall,2016,7.61,128837.0
239,Gankutsuou,https://myanimelist.net/anime/239/Gankutsuou,In-Between Animation (ep 14),TV,Fall,2004,8.11,259526.0
34279,Grancrest Senki,https://myanimelist.net/anime/34279/Grancrest_Senki,"Character Design (Sub Character Design), Chief Animation Director (eps 2-3, 6-7, 10, 21)",TV,Winter,2018,7.22,330117.0
32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,"Chief Animation Director (eps 1, 3, 5, 7, 9), Animation Director (ep 9)",TV,Fall,2016,8.77,1264016.0
35110,Haikyuu!! Movie 3: Sainou to Sense,https://myanimelist.net/anime/35110/Haikyuu_Movie_3__Sainou_to_Sense,Chief Animation Director,Movie,,2017,8.19,99309.0
35111,Haikyuu!! Movie 4: Concept no Tatakai,https://myanimelist.net/anime/35111/Haikyuu_Movie_4__Concept_no_Tatakai,Chief Animation Director,Movie,,2017,8.24,96086.0
28891,Haikyuu!! Second Season,https://myanimelist.net/anime/28891/Haikyuu_Second_Season,"Chief Animation Director (eps 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25), Animation Director (eps 21, 23)",TV,Fall,2015,8.62,1496554.0
18055,Hakkenden: Touhou Hakken Ibun 2nd Season,https://myanimelist.net/anime/18055/Hakkenden__Touhou_Hakken_Ibun_2nd_Season,Chief Animation Director (ep 7),TV,Summer,2013,7.6,65450.0
3298,Hatenkou Yuugi,https://myanimelist.net/anime/3298/Hatenkou_Yuugi,"Animation Director (eps 2, 7)",TV,Winter,2008,7.09,38674.0
31500,High School Fleet,https://myanimelist.net/anime/31500/High_School_Fleet,Key Animation (ep 5),TV,Spring,2016,7.3,108910.0
3652,Higurashi no Naku Koro ni Rei,https://myanimelist.net/anime/3652/Higurashi_no_Naku_Koro_ni_Rei,"Animation Director (ep 4), Key Animation (ep 4)",OVA,,2009,7.4,200907.0
9750,Itsuka Tenma no Kuro Usagi,https://myanimelist.net/anime/9750/Itsuka_Tenma_no_Kuro_Usagi,"Chief Animation Director (eps 7, 12), Key Animation (eps 7, 12)",TV,Summer,2011,6.5,135615.0
10934,Itsuka Tenma no Kuro Usagi: Kokoro Utsuri no Toukoubi - School Attendance Day,https://myanimelist.net/anime/10934/Itsuka_Tenma_no_Kuro_Usagi__Kokoro_Utsuri_no_Toukoubi_-_School_Attendance_Day,Key Animation (ED),OVA,,2011,6.86,20979.0
4814,Junjou Romantica 2,https://myanimelist.net/anime/4814/Junjou_Romantica_2,"Animation Director (eps 5, 10)",TV,Fall,2008,7.67,184642.0
26441,Junketsu no Maria,https://myanimelist.net/anime/26441/Junketsu_no_Maria,"Animation Director (eps 3, 6), 2nd Key Animation (ep 3), Key Animation (ep 10)",TV,Winter,2015,7.1,159034.0
52198,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,Character Design,Movie,,2022,8.74,320016.0
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,"Character Design, Chief Animation Director (eps 1, 7, 12), Animation Director (OP, ED1)",TV,Winter,2019,8.4,1833053.0
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,"Character Design, Chief Animation Director (ep 13)",TV,Spring,2022,8.98,1016200.0
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen,"Character Design, Chief Animation Director (ep 3)",TV,Spring,2020,8.62,1417016.0
43609,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA,https://myanimelist.net/anime/43609/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen_OVA,Character Design,OVA,,2021,7.58,246992.0
3464,Kemeko Deluxe!,https://myanimelist.net/anime/3464/Kemeko_Deluxe,Key Animation (ep 10),TV,Fall,2008,6.54,43441.0
8841,Kore wa Zombie desu ka?,https://myanimelist.net/anime/8841/Kore_wa_Zombie_desu_ka,"Chief Animation Director (eps 1, 3, 5, 7, 9, 11-12), Animation Director (ep 7), Key Animation (ep 3)",TV,Winter,2011,7.33,641884.0
