ID,Title,Link,Roles,Type,Season,Year,Score,Members
37982,Domestic na Kanojo,https://myanimelist.net/anime/37982/Domestic_na_Kanojo,Director of Photography,TV,Winter,2019,6.64,794329.0
40488,Futsal Boys!!!!!,https://myanimelist.net/anime/40488/Futsal_Boys,Director of Photography,TV,Winter,2022,5.46,34109.0
33743,Fuuka,https://myanimelist.net/anime/33743/Fuuka,Director of Photography,TV,Winter,2017,6.51,308524.0
32607,Gi(a)rlish Number,https://myanimelist.net/anime/32607/Giarlish_Number,Director of Photography,TV,Fall,2016,6.81,103793.0
32648,Handa-kun,https://myanimelist.net/anime/32648/Handa-kun,Director of Photography,TV,Summer,2016,7.34,317215.0
37517,Happy Sugar Life,https://myanimelist.net/anime/37517/Happy_Sugar_Life,Director of Photography,TV,Summer,2018,6.76,320037.0
49438,Isekai Yakkyoku,https://myanimelist.net/anime/49438/Isekai_Yakkyoku,Director of Photography,TV,Summer,2022,7.27,246596.0
52446,Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life,https://myanimelist.net/anime/52446/Kaiko_sareta_Ankoku_Heishi_30-dai_no_Slow_na_Second_Life,Director of Photography,TV,Winter,2023,7.01,169157.0
53879,Kamonohashi Ron no Kindan Suiri,https://myanimelist.net/anime/53879/Kamonohashi_Ron_no_Kindan_Suiri,Director of Photography,TV,Fall,2023,7.5,149337.0
57635,Kamonohashi Ron no Kindan Suiri 2nd Season,https://myanimelist.net/anime/57635/Kamonohashi_Ron_no_Kindan_Suiri_2nd_Season,Director of Photography,TV,Fall,2024,7.6,54701.0
25283,Kuusen Madoushi Kouhosei no Kyoukan,https://myanimelist.net/anime/25283/Kuusen_Madoushi_Kouhosei_no_Kyoukan,Director of Photography,TV,Summer,2015,6.3,266617.0
32438,Mayoiga,https://myanimelist.net/anime/32438/Mayoiga,Director of Photography,TV,Spring,2016,5.49,221576.0
51215,Seijo no Maryoku wa Bannou desu Season 2,https://myanimelist.net/anime/51215/Seijo_no_Maryoku_wa_Bannou_desu_Season_2,Director of Photography,TV,Fall,2023,7.43,96377.0
39456,Sounan desu ka?,https://myanimelist.net/anime/39456/Sounan_desu_ka,Director of Photography,TV,Summer,2019,6.59,166107.0
52736,Tensei Oujo to Tensai Reijou no Mahou Kakumei,https://myanimelist.net/anime/52736/Tensei_Oujo_to_Tensai_Reijou_no_Mahou_Kakumei,Director of Photography,TV,Winter,2023,7.47,210126.0
