ID,Title,Link,Roles,Type,Season,Year,Score,Members
9919,Ao no Exorcist,https://myanimelist.net/anime/9919/Ao_no_Exorcist,Key Animation (ep 18),TV,Spring,2011,7.48,1994353.0
6164,Aoi Hana,https://myanimelist.net/anime/6164/Aoi_Hana,Key Animation (ep 5),TV,Summer,2009,7.09,103781.0
12967,Arcana Famiglia,https://myanimelist.net/anime/12967/Arcana_Famiglia,"Character Design, Chief Animation Director, Animation Director (eps 1, 12)",TV,Summer,2012,6.26,214438.0
1554,Asatte no Houkou.,https://myanimelist.net/anime/1554/Asatte_no_Houkou,"2nd Key Animation (eps 1-2, 5-7), In-Between Animation (ep 6), Key Animation (ep 8)",TV,Fall,2006,7.01,25794.0
10030,Bakuman. 2nd Season,https://myanimelist.net/anime/10030/Bakuman_2nd_Season,"Animation Director (eps 1, 4, 10)",TV,Fall,2011,8.33,362449.0
50183,Blue Giant,https://myanimelist.net/anime/50183/Blue_Giant,Key Animation,Movie,,2023,8.39,38432.0
159,Boukyaku no Senritsu,https://myanimelist.net/anime/159/Boukyaku_no_Senritsu,In-Between Animation,TV,Spring,2004,6.26,19923.0
33771,Cheating Craft,https://myanimelist.net/anime/33771/Cheating_Craft,Character Design,TV,Fall,2016,5.38,72373.0
9135,Fullmetal Alchemist: The Sacred Star of Milos,https://myanimelist.net/anime/9135/Fullmetal_Alchemist__The_Sacred_Star_of_Milos,"2nd Key Animation, Key Animation",Movie,,2011,7.26,192169.0
1571,Ghost Hunt,https://myanimelist.net/anime/1571/Ghost_Hunt,"2nd Key Animation, In-Between Animation",TV,Fall,2006,7.74,236828.0
10793,Guilty Crown,https://myanimelist.net/anime/10793/Guilty_Crown,"Key Animation (eps 5, 20)",TV,Fall,2011,7.4,1247839.0
16,Hachimitsu to Clover,https://myanimelist.net/anime/16/Hachimitsu_to_Clover,"2nd Key Animation, Key Animation",TV,Spring,2005,7.98,276293.0
1142,Hachimitsu to Clover II,https://myanimelist.net/anime/1142/Hachimitsu_to_Clover_II,"2nd Key Animation, In-Between Animation, Key Animation",TV,Summer,2006,8.18,109572.0
2026,Hayate no Gotoku!,https://myanimelist.net/anime/2026/Hayate_no_Gotoku,Key Animation,TV,Spring,2007,7.5,231846.0
23153,Hayate no Gotoku! OVA,https://myanimelist.net/anime/23153/Hayate_no_Gotoku_OVA,Key Animation,OVA,,2014,7.09,13929.0
40359,Ikebukuro West Gate Park,https://myanimelist.net/anime/40359/Ikebukuro_West_Gate_Park,Chief Animation Director,TV,Fall,2020,6.87,125270.0
10217,Kaitou Tenshi Twin Angel: Kyunkyun☆Tokimeki Paradise!!,https://myanimelist.net/anime/10217/Kaitou_Tenshi_Twin_Angel__Kyunkyun☆Tokimeki_Paradise,Key Animation (ep 1),TV,Summer,2011,6.07,9581.0
60131,Karaoke Iko!,https://myanimelist.net/anime/60131/Karaoke_Iko,Character Design,TV,Summer,2025,,2098.0
469,Karin,https://myanimelist.net/anime/469/Karin,Key Animation,TV,Fall,2005,7.1,183208.0
9656,Kimi ni Todoke 2nd Season,https://myanimelist.net/anime/9656/Kimi_ni_Todoke_2nd_Season,Key Animation (ep 12),TV,Winter,2011,7.98,522882.0
2927,KimiKiss Pure Rouge,https://myanimelist.net/anime/2927/KimiKiss_Pure_Rouge,"2nd Key Animation (ep 3), Key Animation",TV,Fall,2007,7.26,92168.0
31762,King of Prism by Pretty Rhythm,https://myanimelist.net/anime/31762/King_of_Prism_by_Pretty_Rhythm,"Original Character Design, Character Design",Movie,,2016,6.18,9251.0
59275,King of Prism: Dramatic Prism.1,https://myanimelist.net/anime/59275/King_of_Prism__Dramatic_Prism1,Original Character Design,Movie,,2024,,455.0
