ID,Title,Link,Roles,Type,Season,Year,Score,Members
9332,.hack//Quantum,https://myanimelist.net/anime/9332/hack__Quantum,Director of Photography,OVA,,2011,7.11,41879.0
2213,Black Jack (TV),https://myanimelist.net/anime/2213/Black_Jack_TV,Director of Photography,TV,Fall,2004,7.58,38563.0
2214,Black Jack 21,https://myanimelist.net/anime/2214/Black_Jack_21,Director of Photography,TV,Spring,2006,7.53,14438.0
11103,Busou Shinki Moon Angel,https://myanimelist.net/anime/11103/Busou_Shinki_Moon_Angel,Director of Photography,ONA,,2011,6.53,13572.0
10260,Eiyuu Densetsu: Sora no Kiseki The Animation,https://myanimelist.net/anime/10260/Eiyuu_Densetsu__Sora_no_Kiseki_The_Animation,Director of Photography,OVA,,2011,6.42,18253.0
12471,Eureka Seven AO,https://myanimelist.net/anime/12471/Eureka_Seven_AO,Director of Photography,TV,Spring,2012,6.64,98946.0
14875,Eureka Seven AO: Jungfrau no Hanabana-tachi,https://myanimelist.net/anime/14875/Eureka_Seven_AO__Jungfrau_no_Hanabana-tachi,Director of Photography,OVA,,2012,6.24,11242.0
4334,Heroman,https://myanimelist.net/anime/4334/Heroman,Director of Photography,TV,Spring,2010,6.81,42733.0
52359,Isekai de Mofumofu Nadenade suru Tame ni Ganbattemasu.,https://myanimelist.net/anime/52359/Isekai_de_Mofumofu_Nadenade_suru_Tame_ni_Ganbattemasu,Director of Photography,TV,Winter,2024,6.78,84601.0
43969,Kanojo mo Kanojo,https://myanimelist.net/anime/43969/Kanojo_mo_Kanojo,Director of Photography,TV,Summer,2021,6.52,400274.0
1086,Kenran Butou Sai: The Mars Daybreak,https://myanimelist.net/anime/1086/Kenran_Butou_Sai__The_Mars_Daybreak,Director of Photography,TV,Spring,2004,7.13,23089.0
237,Koukyoushihen Eureka Seven,https://myanimelist.net/anime/237/Koukyoushihen_Eureka_Seven,Director of Photography,TV,Spring,2005,8.05,447040.0
35134,Koukyoushihen Eureka Seven Hi-Evolution 1,https://myanimelist.net/anime/35134/Koukyoushihen_Eureka_Seven_Hi-Evolution_1,Director of Photography,Movie,,2017,6.16,18959.0
35135,Koukyoushihen Eureka Seven Hi-Evolution 2: Anemone,https://myanimelist.net/anime/35135/Koukyoushihen_Eureka_Seven_Hi-Evolution_2__Anemone,Director of Photography,Movie,,2018,6.59,13096.0
35136,Koukyoushihen Eureka Seven Hi-Evolution 3: Eureka,https://myanimelist.net/anime/35136/Koukyoushihen_Eureka_Seven_Hi-Evolution_3__Eureka,Director of Photography,Movie,,2021,6.47,13319.0
4246,Koukyoushihen Eureka Seven: Pocket ga Niji de Ippai,https://myanimelist.net/anime/4246/Koukyoushihen_Eureka_Seven__Pocket_ga_Niji_de_Ippai,Director of Photography,Movie,,2009,7.12,46313.0
13835,Marimo no Hana: Saikyou Butouha Shougakusei Densetsu,https://myanimelist.net/anime/13835/Marimo_no_Hana__Saikyou_Butouha_Shougakusei_Densetsu,Director of Photography,OVA,,2012,5.03,4652.0
23755,Nanatsu no Taizai,https://myanimelist.net/anime/23755/Nanatsu_no_Taizai,Director of Photography,TV,Fall,2014,7.62,2130489.0
34577,Nanatsu no Taizai: Imashime no Fukkatsu,https://myanimelist.net/anime/34577/Nanatsu_no_Taizai__Imashime_no_Fukkatsu,Director of Photography,TV,Winter,2018,7.55,1167062.0
19653,Neppuu Kairiku Bushi Road,https://myanimelist.net/anime/19653/Neppuu_Kairiku_Bushi_Road,Director of Photography,TV Special,,2013,7.14,51816.0
2161,Skull Man,https://myanimelist.net/anime/2161/Skull_Man,Director of Photography,TV,Spring,2007,6.59,34302.0
47194,Summertime Render,https://myanimelist.net/anime/47194/Summertime_Render,Director of Photography,TV,Spring,2022,8.47,605435.0
10294,Towa no Quon 1: Utakata no Kaben,https://myanimelist.net/anime/10294/Towa_no_Quon_1__Utakata_no_Kaben,Director of Photography,Movie,,2011,7.27,83661.0
10713,Towa no Quon 2: Konton no Ranbu,https://myanimelist.net/anime/10713/Towa_no_Quon_2__Konton_no_Ranbu,Director of Photography,Movie,,2011,7.3,40818.0
10714,Towa no Quon 3: Mugen no Renza,https://myanimelist.net/anime/10714/Towa_no_Quon_3__Mugen_no_Renza,Director of Photography,Movie,,2011,7.4,38729.0
10715,Towa no Quon 4: Guren no Shoushin,https://myanimelist.net/anime/10715/Towa_no_Quon_4__Guren_no_Shoushin,Director of Photography,Movie,,2011,7.5,37851.0
10716,Towa no Quon 5: Souzetsu no Raifuku,https://myanimelist.net/anime/10716/Towa_no_Quon_5__Souzetsu_no_Raifuku,Director of Photography,Movie,,2011,7.47,36911.0
10717,Towa no Quon 6: Towa no Quon,https://myanimelist.net/anime/10717/Towa_no_Quon_6__Towa_no_Quon,Director of Photography,Movie,,2011,7.56,43599.0
30901,Utawarerumono: Itsuwari no Kamen,https://myanimelist.net/anime/30901/Utawarerumono__Itsuwari_no_Kamen,Director of Photography,TV,Fall,2015,7.26,115641.0
3011,Yotsunoha,https://myanimelist.net/anime/3011/Yotsunoha,Director of Photography,OVA,,2008,6.29,12033.0
