ID,Title,Link,Roles,Type,Season,Year,Score,Members
33573,BanG Dream!,https://myanimelist.net/anime/33573/BanG_Dream,Planning,TV,Winter,2017,6.99,99471.0
17729,Grisaia no Kajitsu,https://myanimelist.net/anime/17729/Grisaia_no_Kajitsu,Planning,TV,Fall,2014,7.46,639104.0
29093,Grisaia no Meikyuu: Caprice no Mayu 0,https://myanimelist.net/anime/29093/Grisaia_no_Meikyuu__Caprice_no_Mayu_0,Planning,TV Special,,2015,7.81,240205.0
29095,Grisaia no Rakuen,https://myanimelist.net/anime/29095/Grisaia_no_Rakuen,Planning,TV,Spring,2015,7.73,425569.0
32083,Luck & Logic,https://myanimelist.net/anime/32083/Luck___Logic,Planning,TV,Winter,2016,6.05,112918.0
24455,Madan no Ou to Vanadis,https://myanimelist.net/anime/24455/Madan_no_Ou_to_Vanadis,Planning,TV,Fall,2014,7.1,377419.0
32606,Onigiri,https://myanimelist.net/anime/32606/Onigiri,Planning,TV,Spring,2016,5.33,32249.0
27629,Tantei Kageki Milky Holmes TD,https://myanimelist.net/anime/27629/Tantei_Kageki_Milky_Holmes_TD,Executive Producer,TV,Winter,2015,6.44,9916.0
31486,Tantei Opera Milky Holmes Movie: Gyakushuu no Milky Holmes,https://myanimelist.net/anime/31486/Tantei_Opera_Milky_Holmes_Movie__Gyakushuu_no_Milky_Holmes,Producer,Movie,,2016,7.15,5078.0
33308,Tantei Opera Milky Holmes: Fun Fun Party Night♪ - Ken to Janet no Okurimono,https://myanimelist.net/anime/33308/Tantei_Opera_Milky_Holmes__Fun_Fun_Party_Night♪_-_Ken_to_Janet_no_Okurimono,Executive Producer,TV Special,,2016,6.65,2623.0
29017,Wooser no Sono Higurashi: Mugen-hen,https://myanimelist.net/anime/29017/Wooser_no_Sono_Higurashi__Mugen-hen,Planning,TV,Summer,2015,6.52,5127.0
