ID,Title,Link,Roles,Type,Season,Year,Score,Members
9919,Ao no Exorcist,https://myanimelist.net/anime/9919/Ao_no_Exorcist,Key Animation,TV,Spring,2011,7.48,1994353.0
10396,Ben-To,https://myanimelist.net/anime/10396/Ben-To,Key Animation (ep 3),TV,Fall,2011,7.18,337079.0
68,Black Cat,https://myanimelist.net/anime/68/Black_Cat,Animation Director (ep 10),TV,Fall,2005,7.31,277073.0
3407,Blassreiter,https://myanimelist.net/anime/3407/Blassreiter,Animation Director (ep 19),TV,Spring,2008,6.87,84088.0
8086,Densetsu no Yuusha no Densetsu,https://myanimelist.net/anime/8086/Densetsu_no_Yuusha_no_Densetsu,Key Animation (ep 9),TV,Summer,2010,7.49,313427.0
5593,Dogs: Bullets & Carnage,https://myanimelist.net/anime/5593/Dogs__Bullets___Carnage,Animation Director (ep 1),OVA,,2009,7.28,62758.0
1126,Figure 17: Tsubasa & Hikaru,https://myanimelist.net/anime/1126/Figure_17__Tsubasa___Hikaru,Key Animation (eps 3-6),TV,Spring,2001,7.19,15110.0
28537,Garo: Guren no Tsuki,https://myanimelist.net/anime/28537/Garo__Guren_no_Tsuki,Character Design,TV,Fall,2015,5.88,31978.0
918,Gintama,https://myanimelist.net/anime/918/Gintama,Animation Director (ep 98),TV,Spring,2006,8.93,1107426.0
6895,Hakuouki,https://myanimelist.net/anime/6895/Hakuouki,Animation Director (ep 5),TV,Spring,2010,7.35,173300.0
4312,Hokuto no Ken: Toki-den,https://myanimelist.net/anime/4312/Hokuto_no_Ken__Toki-den,"Animation Director, Key Animation",OVA,,2008,7.38,9443.0
10372,Kamisama Dolls,https://myanimelist.net/anime/10372/Kamisama_Dolls,Key Animation (ep 2),TV,Summer,2011,6.99,74225.0
27721,Kasumin,https://myanimelist.net/anime/27721/Kasumin,"Animation Director (eps 13, 23)",TV,Fall,2001,6.39,1906.0
27723,Kasumin 2nd Season,https://myanimelist.net/anime/27723/Kasumin_2nd_Season,"Animation Director (eps 6, 15, 24)",TV,Fall,2002,,831.0
2738,Kasumin 3rd Season,https://myanimelist.net/anime/2738/Kasumin_3rd_Season,"Animation Director (eps 4, 10, 16, 24)",TV,Spring,2003,6.23,1013.0
1691,Kaze no Stigma,https://myanimelist.net/anime/1691/Kaze_no_Stigma,"Animation Director (eps 2, 8, 14, 20)",TV,Spring,2007,7.15,465440.0
3653,Kurogane no Linebarrels,https://myanimelist.net/anime/3653/Kurogane_no_Linebarrels,Animation Director (ep 22),TV,Fall,2008,6.89,44089.0
9834,Level E,https://myanimelist.net/anime/9834/Level_E,"Animation Director (ep 3), Key Animation (ep 1)",TV,Winter,2011,7.39,97503.0
8097,Lupin III: The Last Job,https://myanimelist.net/anime/8097/Lupin_III__The_Last_Job,Key Animation,TV Special,,2010,6.87,8508.0
13203,Lupin the Third: Mine Fujiko to Iu Onna,https://myanimelist.net/anime/13203/Lupin_the_Third__Mine_Fujiko_to_Iu_Onna,Key Animation (ep 10),TV,Spring,2012,7.76,66816.0
9756,Mahou Shoujo Madoka★Magica,https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka★Magica,Key Animation (ep 7),TV,Winter,2011,8.37,1345699.0
11977,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,https://myanimelist.net/anime/11977/Mahou_Shoujo_Madoka★Magica_Movie_1__Hajimari_no_Monogatari,Key Animation,Movie,,2012,8.22,207925.0
10620,Mirai Nikki (TV),https://myanimelist.net/anime/10620/Mirai_Nikki_TV,Animation Director (ep 13),TV,Fall,2011,7.39,2073595.0
3655,Nabari no Ou,https://myanimelist.net/anime/3655/Nabari_no_Ou,Key Animation (ep 9),TV,Spring,2008,7.24,170141.0
1210,NHK ni Youkoso!,https://myanimelist.net/anime/1210/NHK_ni_Youkoso,"Animation Director (eps 9, 17)",TV,Summer,2006,8.31,786461.0
