ID,Title,Link,Roles,Type,Season,Year,Score,Members
40677,Argonavis from BanG Dream!,https://myanimelist.net/anime/40677/Argonavis_from_BanG_Dream,Color Design,TV,Spring,2020,6.71,12556.0
37869,BanG Dream! 2nd Season,https://myanimelist.net/anime/37869/BanG_Dream_2nd_Season,Color Design,TV,Winter,2019,7.57,48413.0
37870,BanG Dream! 3rd Season,https://myanimelist.net/anime/37870/BanG_Dream_3rd_Season,Color Design,TV,Winter,2020,8.0,40145.0
56653,BanG Dream! Ave Mujica,https://myanimelist.net/anime/56653/BanG_Dream_Ave_Mujica,Color Design,TV,Winter,2025,8.14,22667.0
54959,BanG Dream! It's MyGO!!!!!,https://myanimelist.net/anime/54959/BanG_Dream_Its_MyGO,Color Design,TV,Summer,2023,8.24,32006.0
57754,BanG Dream! It's MyGO!!!!! Movie,https://myanimelist.net/anime/57754/BanG_Dream_Its_MyGO_Movie,Color Design,Movie,,2024,,2418.0
20033,Miss Monochrome The Animation,https://myanimelist.net/anime/20033/Miss_Monochrome_The_Animation,Color Design,TV,Fall,2013,6.37,51406.0
30384,Miss Monochrome The Animation 2,https://myanimelist.net/anime/30384/Miss_Monochrome_The_Animation_2,Color Design,TV,Summer,2015,6.48,21634.0
31560,Miss Monochrome The Animation 3,https://myanimelist.net/anime/31560/Miss_Monochrome_The_Animation_3,Color Design,TV,Fall,2015,6.51,15977.0
15751,Senyuu.,https://myanimelist.net/anime/15751/Senyuu,Color Design,TV,Winter,2013,7.27,118572.0
