ID,Title,Link,Roles,Type,Season,Year,Score,Members
35964,Basilisk: Ouka Ninpouchou,https://myanimelist.net/anime/35964/Basilisk__Ouka_Ninpouchou,Sound Director,TV,Winter,2018.0,5.55,40195.0
38199,Bermuda Triangle: Colorful Pastrale,https://myanimelist.net/anime/38199/Bermuda_Triangle__Colorful_Pastrale,Sound Director,TV,Winter,2019.0,5.51,9218.0
35712,Boku no Kanojo ga Majimesugiru Sho-bitch na Ken,https://myanimelist.net/anime/35712/Boku_no_Kanojo_ga_Majimesugiru_Sho-bitch_na_Ken,Sound Director,TV,Fall,2017.0,6.21,291083.0
32353,Bonobono (TV 2016),https://myanimelist.net/anime/32353/Bonobono_TV_2016,Sound Director,TV,Spring,2016.0,6.37,3298.0
16385,Dog Days'',https://myanimelist.net/anime/16385/Dog_Days,Sound Director,TV,Winter,2015.0,6.85,76726.0
56146,Good Night World,https://myanimelist.net/anime/56146/Good_Night_World,Sound Director,ONA,,2023.0,7.02,58688.0
33572,Idol Memories,https://myanimelist.net/anime/33572/Idol_Memories,Sound Director,TV,Fall,2016.0,5.38,9361.0
57753,Jantama Kan!!,https://myanimelist.net/anime/57753/Jantama_Kan,Sound Director,ONA,,2024.0,5.82,2893.0
50789,Jantama Pong☆,https://myanimelist.net/anime/50789/Jantama_Pong☆,Sound Director,TV,Spring,2022.0,6.09,8916.0
27991,K: Return of Kings,https://myanimelist.net/anime/27991/K__Return_of_Kings,Sound Director,TV,Fall,2015.0,7.55,341519.0
21105,Love Stage!!,https://myanimelist.net/anime/21105/Love_Stage,Sound Director,TV,Summer,2014.0,7.14,269364.0
50392,Mato Seihei no Slave,https://myanimelist.net/anime/50392/Mato_Seihei_no_Slave,Sound Director,TV,Winter,2024.0,6.85,223523.0
58505,Mato Seihei no Slave 2,https://myanimelist.net/anime/58505/Mato_Seihei_no_Slave_2,Sound Director,,,,,34092.0
41491,Nanatsu no Taizai: Funnu no Shinpan,https://myanimelist.net/anime/41491/Nanatsu_no_Taizai__Funnu_no_Shinpan,Sound Director,TV,Winter,2021.0,6.57,453748.0
35251,Sengoku Night Blood,https://myanimelist.net/anime/35251/Sengoku_Night_Blood,Sound Director,TV,Fall,2017.0,6.15,47709.0
61198,Tabekko Doubutsu The Movie,https://myanimelist.net/anime/61198/Tabekko_Doubutsu_The_Movie,Sound Director,Movie,,2025.0,,53.0
33589,ViVid Strike!,https://myanimelist.net/anime/33589/ViVid_Strike,Sound Director,TV,Fall,2016.0,6.97,91690.0
40267,Wave!! Surfing Yappe!!,https://myanimelist.net/anime/40267/Wave_Surfing_Yappe,Sound Director,Movie,,2020.0,6.01,19310.0
46118,Wave!! Surfing Yappe!! (TV),https://myanimelist.net/anime/46118/Wave_Surfing_Yappe_TV,Sound Director,TV,Winter,2021.0,5.86,50902.0
41686,Zo Zo Zo Zombie-kun (TV),https://myanimelist.net/anime/41686/Zo_Zo_Zo_Zombie-kun_TV,Sound Director,TV,Spring,2020.0,,774.0
