ID,Title,Link,Roles,Type,Season,Year,Score,Members
24833,Ansatsu Kyoushitsu,https://myanimelist.net/anime/24833/Ansatsu_Kyoushitsu,Color Design,TV,Winter,2015,8.08,2112019.0
30654,Ansatsu Kyoushitsu 2nd Season,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season,Color Design,TV,Winter,2016,8.48,1499243.0
54791,Given Movie 2: Hiiragi Mix,https://myanimelist.net/anime/54791/Given_Movie_2__Hiiragi_Mix,Color Design,Movie,,2024,8.01,37421.0
58222,Given Movie 3: Umi e,https://myanimelist.net/anime/58222/Given_Movie_3__Umi_e,Color Design,Movie,,2024,7.57,16403.0
48644,Gyakuten Sekai no Denchi Shoujo,https://myanimelist.net/anime/48644/Gyakuten_Sekai_no_Denchi_Shoujo,Color Design,TV,Fall,2021,6.3,22639.0
60658,Hibi wa Sugiredo Meshi Umashi,https://myanimelist.net/anime/60658/Hibi_wa_Sugiredo_Meshi_Umashi,Color Design,TV,Spring,2025,,5397.0
40842,Idoly Pride,https://myanimelist.net/anime/40842/Idoly_Pride,Color Design,TV,Winter,2021,7.41,70577.0
28619,Ranpo Kitan: Game of Laplace,https://myanimelist.net/anime/28619/Ranpo_Kitan__Game_of_Laplace,Color Design,TV,Summer,2015,6.57,121808.0
36316,Shichisei no Subaru,https://myanimelist.net/anime/36316/Shichisei_no_Subaru,Color Design,TV,Summer,2018,6.1,145792.0
51096,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,https://myanimelist.net/anime/51096/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_2nd_Season,Color Design,TV,Summer,2022,8.08,720372.0
51180,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,https://myanimelist.net/anime/51180/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_3rd_Season,Color Design,TV,Winter,2024,7.96,454283.0
