ID,Title,Link,Roles,Type,Season,Year,Score,Members
8481,"""Bungaku Shoujo"" Memoire",https://myanimelist.net/anime/8481/Bungaku_Shoujo_Memoire,Key Animation (ep 3),OVA,,2010,7.24,30151.0
6408,"""Bungaku Shoujo"" Movie",https://myanimelist.net/anime/6408/Bungaku_Shoujo_Movie,Key Animation,Movie,,2010,7.31,69756.0
2163,AIKa R-16: Virgin Mission,https://myanimelist.net/anime/2163/AIKa_R-16__Virgin_Mission,Key Animation (ep 1),OVA,,2007,5.88,27498.0
30123,Akagami no Shirayuki-hime,https://myanimelist.net/anime/30123/Akagami_no_Shirayuki-hime,Key Animation (OP),TV,Summer,2015,7.76,708249.0
309,Akahori Gedou Hour Rabuge,https://myanimelist.net/anime/309/Akahori_Gedou_Hour_Rabuge,Key Animation (ep 4),TV,Summer,2005,6.11,6892.0
38753,Araburu Kisetsu no Otome-domo yo.,https://myanimelist.net/anime/38753/Araburu_Kisetsu_no_Otome-domo_yo,"Animation Director (eps 1, 3, 8, 10-11), 2nd Key Animation (eps 10, 12), Key Animation (eps 1, 3, OP, ED), Assistant Animation Director (eps 7, 12)",TV,Summer,2019,7.3,360155.0
1554,Asatte no Houkou.,https://myanimelist.net/anime/1554/Asatte_no_Houkou,"Animation Director (ep 10), 2nd Key Animation (ep 12), Key Animation (ep 7)",TV,Fall,2006,7.01,25794.0
56,Avenger,https://myanimelist.net/anime/56/Avenger,Key Animation (ep 9),TV,Fall,2003,5.85,18674.0
2986,Bamboo Blade,https://myanimelist.net/anime/2986/Bamboo_Blade,Key Animation (ep 17),TV,Fall,2007,7.29,90477.0
1519,Black Lagoon: The Second Barrage,https://myanimelist.net/anime/1519/Black_Lagoon__The_Second_Barrage,"Key Animation (eps 1, 11), Assistant Animation Director (ep 11)",TV,Fall,2006,8.17,540514.0
53411,Buddy Daddies,https://myanimelist.net/anime/53411/Buddy_Daddies,"Character Design, Chief Animation Director (eps 1-3, 8, 10, 12), Animation Director (eps 1, 12, OP), Key Animation (ep 1)",TV,Winter,2023,8.11,315422.0
21677,Captain Earth,https://myanimelist.net/anime/21677/Captain_Earth,Key Animation (ep 1),TV,Spring,2014,6.4,68738.0
30383,Classroom☆Crisis,https://myanimelist.net/anime/30383/Classroom☆Crisis,"Animation Director (eps 9, 13), Key Animation (eps 1, 9, 13, OP), Assistant Animation Director (ep 1)",TV,Summer,2015,6.96,124116.0
59205,Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha,https://myanimelist.net/anime/59205/Clevatess__Majuu_no_Ou_to_Akago_to_Shikabane_no_Yuusha,"Character Design, Chief Animation Director",TV,Summer,2025,,4504.0
2025,Darker than Black: Kuro no Keiyakusha,https://myanimelist.net/anime/2025/Darker_than_Black__Kuro_no_Keiyakusha,"Key Animation (eps 6, 12)",TV,Spring,2007,8.04,976314.0
15583,Date A Live,https://myanimelist.net/anime/15583/Date_A_Live,Assistant Animation Director (ep 8),TV,Spring,2013,7.14,1078179.0
31163,Dimension W,https://myanimelist.net/anime/31163/Dimension_W,Key Animation (ep 1),TV,Winter,2016,7.17,306337.0
