ID,Title,Link,Roles,Type,Season,Year,Score,Members
9332,.hack//Quantum,https://myanimelist.net/anime/9332/hack__Quantum,Key Animation (ep 1),OVA,,2011.0,7.11,41879.0
40679,2.43: Seiin Koukou Danshi Volley-bu,https://myanimelist.net/anime/40679/243__Seiin_Koukou_Danshi_Volley-bu,Key Animation (ep 2),TV,Winter,2021.0,6.14,116116.0
15061,Aikatsu!,https://myanimelist.net/anime/15061/Aikatsu,Key Animation (ep 153),TV,Fall,2012.0,7.47,45856.0
2289,Akihabara Dennou-gumi: 2011-nen no Natsuyasumi,https://myanimelist.net/anime/2289/Akihabara_Dennou-gumi__2011-nen_no_Natsuyasumi,Key Animation,Movie,,1999.0,6.6,3177.0
9919,Ao no Exorcist,https://myanimelist.net/anime/9919/Ao_no_Exorcist,Key Animation (ep 13),TV,Spring,2011.0,7.48,1994353.0
2986,Bamboo Blade,https://myanimelist.net/anime/2986/Bamboo_Blade,Key Animation (ep 7),TV,Fall,2007.0,7.29,90477.0
33573,BanG Dream!,https://myanimelist.net/anime/33573/BanG_Dream,"Animation Director (ep 3), Key Animation (ep 1)",TV,Winter,2017.0,6.99,99471.0
22789,Barakamon,https://myanimelist.net/anime/22789/Barakamon,"Episode Director (eps 4, 8, 11), Key Animation (eps 1, 4, OP)",TV,Summer,2014.0,8.37,687817.0
1186,Battle Athletess Daiundoukai (TV),https://myanimelist.net/anime/1186/Battle_Athletess_Daiundoukai_TV,Key Animation (ep 18),TV,Fall,1997.0,6.86,10621.0
348,Binzume Yousei,https://myanimelist.net/anime/348/Binzume_Yousei,"Animation Director (ep 8), Key Animation",TV,Fall,2003.0,6.44,20355.0
51716,Bishoujo Senshi Sailor Moon Cosmos Movie,https://myanimelist.net/anime/51716/Bishoujo_Senshi_Sailor_Moon_Cosmos_Movie,Key Animation (ep 2),Movie,,2023.0,7.82,14419.0
740,Bishoujo Senshi Sailor Moon R,https://myanimelist.net/anime/740/Bishoujo_Senshi_Sailor_Moon_R,Key Animation (ep 32),TV,Spring,1993.0,7.73,166093.0
20787,Black Bullet,https://myanimelist.net/anime/20787/Black_Bullet,"Key Animation (ep 4, OP)",TV,Spring,2014.0,7.07,946798.0
889,Black Lagoon,https://myanimelist.net/anime/889/Black_Lagoon,Key Animation (ep 1),TV,Spring,2006.0,8.03,1057789.0
405,Blood: The Last Vampire,https://myanimelist.net/anime/405/Blood__The_Last_Vampire,Key Animation,Movie,,2000.0,6.87,116602.0
1598,Casshern: Robot Hunter,https://myanimelist.net/anime/1598/Casshern__Robot_Hunter,Key Animation (ep 2),OVA,,1993.0,6.3,9866.0
1312,Chikyuu Bouei Kigyou Dai-Guard,https://myanimelist.net/anime/1312/Chikyuu_Bouei_Kigyou_Dai-Guard,Key Animation (ep 9),TV,Fall,1999.0,7.1,10559.0
2090,Choujikuu Seiki Orguss 02,https://myanimelist.net/anime/2090/Choujikuu_Seiki_Orguss_02,Key Animation (ep 2),OVA,,1993.0,6.72,4493.0
32407,Clockwork Planet,https://myanimelist.net/anime/32407/Clockwork_Planet,"Key Animation (OP), Assistant Animation Director (eps 1, 4)",TV,Spring,2017.0,6.45,164290.0
61,D.N.Angel,https://myanimelist.net/anime/61/DNAngel,"Animation Director (ep 14), Key Animation (eps 1, 6-7, 14, 19-21, 25-26, OP, ED1-2)",TV,Spring,2003.0,7.16,188479.0
2025,Darker than Black: Kuro no Keiyakusha,https://myanimelist.net/anime/2025/Darker_than_Black__Kuro_no_Keiyakusha,Key Animation (OP2),TV,Spring,2007.0,8.04,976314.0
6880,Deadman Wonderland,https://myanimelist.net/anime/6880/Deadman_Wonderland,Key Animation (ep 1),TV,Spring,2011.0,7.13,1278682.0
10418,Deadman Wonderland: Akai Knife Tsukai,https://myanimelist.net/anime/10418/Deadman_Wonderland__Akai_Knife_Tsukai,Key Animation,OVA,,2011.0,6.91,137122.0
1757,Di Gi Charat Christmas Special,https://myanimelist.net/anime/1757/Di_Gi_Charat_Christmas_Special,Key Animation,Special,,2000.0,6.61,4765.0
1683,Di Gi Charat Nyo,https://myanimelist.net/anime/1683/Di_Gi_Charat_Nyo,"Key Animation (OP1, 3, ED3)",TV,Spring,2003.0,7.05,8682.0
1755,Di Gi Charat Ohanami Special,https://myanimelist.net/anime/1755/Di_Gi_Charat_Ohanami_Special,Key Animation (ep 2),Special,,2001.0,6.72,3997.0
1758,Di Gi Charat Tsuyu Specials,https://myanimelist.net/anime/1758/Di_Gi_Charat_Tsuyu_Specials,Key Animation (ep 1),Special,,2001.0,6.54,3020.0
1752,Di Gi Charat: Hoshi no Tabi,https://myanimelist.net/anime/1752/Di_Gi_Charat__Hoshi_no_Tabi,Key Animation,Movie,,2001.0,6.65,4478.0
10260,Eiyuu Densetsu: Sora no Kiseki The Animation,https://myanimelist.net/anime/10260/Eiyuu_Densetsu__Sora_no_Kiseki_The_Animation,Key Animation (ep 2),OVA,,2011.0,6.42,18253.0
1250,Erementar Gerad,https://myanimelist.net/anime/1250/Erementar_Gerad,"Key Animation (ep 1, OP)",TV,Spring,2005.0,7.23,98411.0
12471,Eureka Seven AO,https://myanimelist.net/anime/12471/Eureka_Seven_AO,Key Animation (ep 3),TV,Spring,2012.0,6.64,98946.0
31931,Full Metal Panic! Invisible Victory,https://myanimelist.net/anime/31931/Full_Metal_Panic_Invisible_Victory,Key Animation (ep 1),TV,Spring,2018.0,7.57,103048.0
121,Fullmetal Alchemist,https://myanimelist.net/anime/121/Fullmetal_Alchemist,"Key Animation (eps 3, 21, 28)",TV,Fall,2003.0,8.11,1512390.0
5114,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,Key Animation (ep 57),TV,Spring,2009.0,9.1,3497660.0
126,Futakoi Alternative,https://myanimelist.net/anime/126/Futakoi_Alternative,Key Animation (ep 7),TV,Spring,2005.0,6.84,32778.0
8215,Genji Tsuushin Agedama,https://myanimelist.net/anime/8215/Genji_Tsuushin_Agedama,"Key Animation (eps 34, 38, 44, 50)",TV,Fall,1991.0,6.49,2368.0
29787,Gochuumon wa Usagi desu ka??,https://myanimelist.net/anime/29787/Gochuumon_wa_Usagi_desu_ka,Animation Director (ep 12),TV,Fall,2015.0,7.77,136955.0
36028,Golden Kamuy,https://myanimelist.net/anime/36028/Golden_Kamuy,"Key Animation (eps 1, 11-12), Assistant Animation Director (eps 2-3, 9)",TV,Spring,2018.0,7.88,421483.0
37989,Golden Kamuy 2nd Season,https://myanimelist.net/anime/37989/Golden_Kamuy_2nd_Season,"Storyboard (ep 4), Episode Director (eps 4, 11), 2nd Key Animation (eps 11-12), Key Animation (ep 4)",TV,Fall,2018.0,8.24,220517.0
40059,Golden Kamuy 3rd Season,https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season,"Key Animation (eps 2, 12)",TV,Fall,2020.0,8.43,183565.0
11785,Haiyore! Nyaruko-san,https://myanimelist.net/anime/11785/Haiyore_Nyaruko-san,"Key Animation (ep 1, ED)",TV,Spring,2012.0,6.97,366498.0
26023,Haiyore! Nyaruko-san F,https://myanimelist.net/anime/26023/Haiyore_Nyaruko-san_F,Key Animation (OP),OVA,,2015.0,7.42,59740.0
15699,Haiyore! Nyaruko-san W,https://myanimelist.net/anime/15699/Haiyore_Nyaruko-san_W,"Episode Director (ED3), Key Animation (OP)",TV,Spring,2013.0,7.2,187161.0
39620,Hakata Mentai! Pirikarako-chan,https://myanimelist.net/anime/39620/Hakata_Mentai_Pirikarako-chan,"Director, Character Design",TV,Summer,2019.0,5.13,3341.0
