ID,Title,Link,Roles,Type,Season,Year,Score,Members
35248,18if,https://myanimelist.net/anime/35248/18if,Editing,TV,Summer,2017,6.11,58847.0
48553,Akebi-chan no Sailor-fuku,https://myanimelist.net/anime/48553/Akebi-chan_no_Sailor-fuku,Editing,TV,Winter,2022,7.65,200222.0
28391,Ao no Kanata no Four Rhythm,https://myanimelist.net/anime/28391/Ao_no_Kanata_no_Four_Rhythm,Editing,TV,Winter,2016,6.64,152870.0
28833,Chain Chronicle: Haecceitas no Hikari,https://myanimelist.net/anime/28833/Chain_Chronicle__Haecceitas_no_Hikari,Editing,TV,Winter,2017,6.54,131678.0
33728,Chain Chronicle: Haecceitas no Hikari Part 1,https://myanimelist.net/anime/33728/Chain_Chronicle__Haecceitas_no_Hikari_Part_1,Editing,Movie,,2016,6.98,25151.0
48779,Deaimon,https://myanimelist.net/anime/48779/Deaimon,Editing,TV,Spring,2022,7.55,103570.0
39792,Eizouken ni wa Te wo Dasu na!,https://myanimelist.net/anime/39792/Eizouken_ni_wa_Te_wo_Dasu_na,Editing,TV,Winter,2020,8.13,352871.0
28221,Etotama,https://myanimelist.net/anime/28221/Etotama,Editing,TV,Spring,2015,6.78,81736.0
37346,Etotama: Nyankyaku Banrai,https://myanimelist.net/anime/37346/Etotama__Nyankyaku_Banrai,Editing,ONA,,2021,6.41,9341.0
40488,Futsal Boys!!!!!,https://myanimelist.net/anime/40488/Futsal_Boys,Editing,TV,Winter,2022,5.46,34111.0
59935,Gorilla no Kami kara Kago sareta Reijou wa Ouritsu Kishidan de Kawaigarareru,https://myanimelist.net/anime/59935/Gorilla_no_Kami_kara_Kago_sareta_Reijou_wa_Ouritsu_Kishidan_de_Kawaigarareru,Editing,TV,Spring,2025,,10892.0
59055,"Hana wa Saku, Shura no Gotoku",https://myanimelist.net/anime/59055/Hana_wa_Saku_Shura_no_Gotoku,Editing,TV,Winter,2025,7.18,32988.0
17831,Inu to Hasami wa Tsukaiyou,https://myanimelist.net/anime/17831/Inu_to_Hasami_wa_Tsukaiyou,Editing,TV,Summer,2013,6.51,154223.0
55848,Isekai Suicide Squad,https://myanimelist.net/anime/55848/Isekai_Suicide_Squad,Editing,TV,Summer,2024,6.44,150503.0
52446,Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life,https://myanimelist.net/anime/52446/Kaiko_sareta_Ankoku_Heishi_30-dai_no_Slow_na_Second_Life,Editing,TV,Winter,2023,7.01,169186.0
36754,Kakuriyo no Yadomeshi,https://myanimelist.net/anime/36754/Kakuriyo_no_Yadomeshi,Editing,TV,Spring,2018,7.54,183398.0
