ID,Title,Link,Roles,Type,Season,Year,Score,Members
32998,91 Days,https://myanimelist.net/anime/32998/91_Days,Storyboard (ep 7),TV,Summer,2016,7.83,758640.0
306,Abenobashi Mahou☆Shoutengai,https://myanimelist.net/anime/306/Abenobashi_Mahou☆Shoutengai,Storyboard (ep 4),TV,Spring,2002,7.21,94796.0
34350,Alice to Zouroku,https://myanimelist.net/anime/34350/Alice_to_Zouroku,Storyboard (OP),TV,Spring,2017,7.1,122344.0
1554,Asatte no Houkou.,https://myanimelist.net/anime/1554/Asatte_no_Houkou,"Storyboard (ep 2, 8)",TV,Fall,2006,7.01,25794.0
66,Azumanga Daiou The Animation,https://myanimelist.net/anime/66/Azumanga_Daiou_The_Animation,"Storyboard (OP, ep 5, 10, 22, 26), Episode Director (OP, ep 5, 10, 22)",TV,Spring,2002,8.05,393864.0
2251,Baccano!,https://myanimelist.net/anime/2251/Baccano,"Storyboard (ep 2, 8, 10), Episode Director (ep 8)",TV,Summer,2007,8.35,931993.0
3901,Baccano! Specials,https://myanimelist.net/anime/3901/Baccano_Specials,"Storyboard (ep 1), Episode Director (ep 1), Key Animation (ep 1)",Special,,2008,8.08,183054.0
4286,Bonobono (TV),https://myanimelist.net/anime/4286/Bonobono_TV,"Storyboard (ep 11, 20, 26, 37, 39, 48), Episode Director (ep 1, 11, 14, 20, 26, 37, 39, 48)",TV,Spring,1995,6.74,2132.0
159,Boukyaku no Senritsu,https://myanimelist.net/anime/159/Boukyaku_no_Senritsu,"Storyboard (ep 3-5, 21-23), Episode Director (ep 23), Assistant Director, Key Animation (ep 24)",TV,Spring,2004,6.26,19923.0
370,Burn Up Excess,https://myanimelist.net/anime/370/Burn_Up_Excess,"Storyboard (ep 2, 4, 8-10 ), Episode Director (ep 8, 10 ), Assistant Director (ep 5-13 ), Key Animation (ending animation, ep 1-13)",TV,Winter,1998,6.53,12932.0
1674,Captain Tsubasa J,https://myanimelist.net/anime/1674/Captain_Tsubasa_J,Episode Director (ep 42),TV,Fall,1994,7.28,31335.0
812,Chikyuu Shoujo Arjuna,https://myanimelist.net/anime/812/Chikyuu_Shoujo_Arjuna,Storyboard (ep 7),TV,Winter,2001,6.77,36282.0
2803,Densetsu no Yuusha da Garn,https://myanimelist.net/anime/2803/Densetsu_no_Yuusha_da_Garn,"Storyboard (ep 6, 17, 26), Episode Director (ep 1, 6, 12, 17, 20, 26, 30, 34, 39, 44), Key Animation (ep 14)",TV,Winter,1992,7.11,5075.0
37347,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,https://myanimelist.net/anime/37347/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_II,Storyboard (ep 5),TV,Summer,2019,7.24,867848.0
40453,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II OVA,https://myanimelist.net/anime/40453/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_II_OVA,Storyboard,OVA,,2020,6.5,113957.0
