ID,Title,Link,Roles,Type,Season,Year,Score,Members
7669,"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi",https://myanimelist.net/anime/7669/Bungaku_Shoujo_Kyou_no_Oyatsu__Hatsukoi,Director of Photography,OVA,,2009,6.84,19975.0
8481,"""Bungaku Shoujo"" Memoire",https://myanimelist.net/anime/8481/Bungaku_Shoujo_Memoire,Director of Photography,OVA,,2010,7.24,30151.0
6408,"""Bungaku Shoujo"" Movie",https://myanimelist.net/anime/6408/Bungaku_Shoujo_Movie,Director of Photography,Movie,,2010,7.31,69749.0
34636,Ballroom e Youkoso,https://myanimelist.net/anime/34636/Ballroom_e_Youkoso,Director of Photography,TV,Summer,2017,8.18,349111.0
38985,Birthday Wonderland,https://myanimelist.net/anime/38985/Birthday_Wonderland,Director of Photography,Movie,,2019,6.53,22733.0
150,Blood+,https://myanimelist.net/anime/150/Blood_,Director of Photography,TV,Fall,2005,7.61,387568.0
30923,Colorful Ninja Iromaki,https://myanimelist.net/anime/30923/Colorful_Ninja_Iromaki,Director of Photography,Movie,,2016,5.92,1662.0
38085,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; Agateram,https://myanimelist.net/anime/38085/Fate_Grand_Order__Shinsei_Entaku_Ryouiki_Camelot_1_-_Wandering__Agateram,Director of Photography,Movie,,2020,6.89,97043.0
33010,FLCL Progressive,https://myanimelist.net/anime/33010/FLCL_Progressive,Director of Photography,Movie,,2018,6.33,137355.0
10793,Guilty Crown,https://myanimelist.net/anime/10793/Guilty_Crown,Director of Photography,TV,Fall,2011,7.4,1247839.0
13411,Guilty Crown: Lost Christmas - An Episode of Port Town,https://myanimelist.net/anime/13411/Guilty_Crown__Lost_Christmas_-_An_Episode_of_Port_Town,Director of Photography,OVA,,2012,6.87,101060.0
16528,Hal,https://myanimelist.net/anime/16528/Hal,Director of Photography,Movie,,2013,7.38,148537.0
5630,Higashi no Eden,https://myanimelist.net/anime/5630/Higashi_no_Eden,Director of Photography,TV,Spring,2009,7.73,581096.0
6372,Higashi no Eden Movie I: The King of Eden,https://myanimelist.net/anime/6372/Higashi_no_Eden_Movie_I__The_King_of_Eden,Director of Photography,Movie,,2009,7.53,174709.0
6637,Higashi no Eden Movie II: Paradise Lost,https://myanimelist.net/anime/6637/Higashi_no_Eden_Movie_II__Paradise_Lost,Director of Photography,Movie,,2010,7.55,149416.0
6927,Higashi no Eden: Air Communication,https://myanimelist.net/anime/6927/Higashi_no_Eden__Air_Communication,Director of Photography,Movie,,2009,7.56,35514.0
