ID,Title,Link,Roles,Type,Season,Year,Score,Members
304,Aa! Megami-sama! Movie,https://myanimelist.net/anime/304/Aa_Megami-sama_Movie,Key Animation,Movie,,2000,7.53,44441.0
15061,Aikatsu!,https://myanimelist.net/anime/15061/Aikatsu,Key Animation (OP4),TV,Fall,2012,7.47,45856.0
47,Akira,https://myanimelist.net/anime/47/Akira,Key Animation,Movie,,1988,8.16,896057.0
6452,Akuu Daisakusen Srungle,https://myanimelist.net/anime/6452/Akuu_Daisakusen_Srungle,Key Animation (ep 5),TV,Winter,1983,6.14,2253.0
937,Appleseed,https://myanimelist.net/anime/937/Appleseed,In-Between Animation,OVA,,1988,6.52,33554.0
31821,Arslan Senki (TV): Fuujin Ranbu,https://myanimelist.net/anime/31821/Arslan_Senki_TV__Fuujin_Ranbu,Key Animation (OP),TV,Summer,2016,7.5,146378.0
269,Bleach,https://myanimelist.net/anime/269/Bleach,"Key Animation (ep 341, OP12)",TV,Fall,2004,7.97,2081613.0
4835,Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,https://myanimelist.net/anime/4835/Bleach_Movie_3__Fade_to_Black_-_Kimi_no_Na_wo_Yobu,Key Animation,Movie,,2008,7.5,245327.0
8247,Bleach Movie 4: Jigoku-hen,https://myanimelist.net/anime/8247/Bleach_Movie_4__Jigoku-hen,Key Animation,Movie,,2010,7.62,225713.0
50183,Blue Giant,https://myanimelist.net/anime/50183/Blue_Giant,Key Animation,Movie,,2023,8.39,38432.0
14967,Boku wa Tomodachi ga Sukunai Next,https://myanimelist.net/anime/14967/Boku_wa_Tomodachi_ga_Sukunai_Next,Key Animation (ED),TV,Winter,2013,7.26,546843.0
37828,Bokura no Nanokakan Sensou,https://myanimelist.net/anime/37828/Bokura_no_Nanokakan_Sensou,Key Animation,Movie,,2019,6.63,32610.0
34566,Boruto: Naruto Next Generations,https://myanimelist.net/anime/34566/Boruto__Naruto_Next_Generations,"Key Animation (eps 65, 135, 166, 175, 207)",TV,Spring,2017,6.0,897431.0
28755,Boruto: Naruto the Movie,https://myanimelist.net/anime/28755/Boruto__Naruto_the_Movie,Key Animation,Movie,,2015,7.38,481447.0
4177,Bounen no Xamdou,https://myanimelist.net/anime/4177/Bounen_no_Xamdou,"Key Animation (ep 1, ED1)",ONA,,2008,7.62,147193.0
17677,Buki yo Saraba,https://myanimelist.net/anime/17677/Buki_yo_Saraba,"Animation Director, Key Animation",Movie,,2013,6.88,13551.0
5356,Canaan,https://myanimelist.net/anime/5356/Canaan,Animation Director (ep 4),TV,Summer,2009,7.21,239281.0
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,https://myanimelist.net/anime/372/Cardcaptor_Sakura_Movie_2__Fuuin_Sareta_Card,Animation Director,Movie,,2000,8.21,119668.0
34382,Citrus,https://myanimelist.net/anime/34382/Citrus,Key Animation (ep 6),TV,Winter,2018,6.43,537196.0
