ID,Title,Link,Roles,Type,Season,Year,Score,Members
35025,"""Eikou Naki Tensai-tachi"" Kara no Monogatari",https://myanimelist.net/anime/35025/Eikou_Naki_Tensai-tachi_Kara_no_Monogatari,Animation Director,TV Special,,2017,,750.0
39184,A3! Season Spring & Summer,https://myanimelist.net/anime/39184/A3_Season_Spring___Summer,"Chief Animation Director (eps 3-6, 9, 11), Animation Director (eps 1, 5)",TV,Winter,2020,7.1,37060.0
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,https://myanimelist.net/anime/9989/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai,2nd Key Animation (ep 11),TV,Spring,2011,8.29,1655346.0
37525,Babylon,https://myanimelist.net/anime/37525/Babylon,Assistant Animation Director (ep 1),TV,Fall,2019,6.74,163859.0
13535,Binbougami ga!,https://myanimelist.net/anime/13535/Binbougami_ga,Key Animation (ep 3),TV,Summer,2012,7.66,241124.0
11285,Black★Rock Shooter (TV),https://myanimelist.net/anime/11285/Black★Rock_Shooter_TV,"2nd Key Animation (ep 5), Key Animation (eps 4, 8)",TV,Winter,2012,6.79,361269.0
31964,Boku no Hero Academia,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia,"Key Animation (eps 5, 12)",TV,Spring,2016,7.84,3152043.0
41587,Boku no Hero Academia 5th Season,https://myanimelist.net/anime/41587/Boku_no_Hero_Academia_5th_Season,Key Animation (ep 19),TV,Spring,2021,7.35,1265746.0
54789,Boku no Hero Academia 7th Season,https://myanimelist.net/anime/54789/Boku_no_Hero_Academia_7th_Season,Key Animation (ep 16),TV,Spring,2024,8.07,369881.0
57519,Boku no Hero Academia: Memories,https://myanimelist.net/anime/57519/Boku_no_Hero_Academia__Memories,Key Animation (ep 1),TV Special,,2024,6.65,21393.0
51371,Bucchigire!,https://myanimelist.net/anime/51371/Bucchigire,"Animation Director (eps 1, 7, 11)",TV,Summer,2022,5.99,38014.0
50330,Bungou Stray Dogs 4th Season,https://myanimelist.net/anime/50330/Bungou_Stray_Dogs_4th_Season,"Key Animation (eps 1, 6, 13)",TV,Winter,2023,8.43,325721.0
54898,Bungou Stray Dogs 5th Season,https://myanimelist.net/anime/54898/Bungou_Stray_Dogs_5th_Season,Key Animation (ep 5),TV,Summer,2023,8.62,221539.0
44511,Chainsaw Man,https://myanimelist.net/anime/44511/Chainsaw_Man,2nd Key Animation (ep 6),TV,Fall,2022,8.46,1712659.0
4975,ChäoS;HEAd,https://myanimelist.net/anime/4975/ChäoS_HEAd,Key Animation (ep 12),TV,Fall,2008,6.28,292936.0
9379,Denpa Onna to Seishun Otoko,https://myanimelist.net/anime/9379/Denpa_Onna_to_Seishun_Otoko,Key Animation (ep 4),TV,Spring,2011,7.11,314337.0
54294,Dog Signal,https://myanimelist.net/anime/54294/Dog_Signal,Animation Director (ep 1),TV,Fall,2023,7.09,7870.0
48549,Dr. Stone: New World,https://myanimelist.net/anime/48549/Dr_Stone__New_World,Animation Director (ep 1),TV,Spring,2023,8.15,529918.0
37348,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya,https://myanimelist.net/anime/37348/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_Movie__Orion_no_Ya,Assistant Animation Director,Movie,,2019,7.45,225207.0
34662,Fate/Apocrypha,https://myanimelist.net/anime/34662/Fate_Apocrypha,"Key Animation (ep 5), Assistant Animation Director (ep 3)",TV,Summer,2017,7.2,495475.0
34321,Fate/Grand Order: First Order,https://myanimelist.net/anime/34321/Fate_Grand_Order__First_Order,Assistant Animation Director,TV Special,,2016,6.73,231601.0
18851,Fate/kaleid liner Prisma☆Illya: Undoukai de Dance!,https://myanimelist.net/anime/18851/Fate_kaleid_liner_Prisma☆Illya__Undoukai_de_Dance,2nd Key Animation,OVA,,2014,6.66,55482.0
9314,Fractale,https://myanimelist.net/anime/9314/Fractale,2nd Key Animation (ep 11),TV,Winter,2011,6.91,85488.0
5114,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,Key Animation (ep 57),TV,Spring,2009,9.1,3497307.0
30544,Gakusen Toshi Asterisk,https://myanimelist.net/anime/30544/Gakusen_Toshi_Asterisk,Key Animation (ep 12),TV,Fall,2015,6.8,685385.0
31737,Gakusen Toshi Asterisk 2nd Season,https://myanimelist.net/anime/31737/Gakusen_Toshi_Asterisk_2nd_Season,2nd Key Animation (ep 1),TV,Spring,2016,6.98,451100.0
28977,Gintama°,https://myanimelist.net/anime/28977/Gintama°,Key Animation (ep 6),TV,Spring,2015,9.05,659463.0
