ID,Title,Link,Roles,Type,Season,Year,Score,Members
11235,Amagami SS+ Plus,https://myanimelist.net/anime/11235/Amagami_SS__Plus,"Background Art (eps 2, 5-7, 9)",TV,Winter,2012,7.38,175278.0
12293,Campione! Matsurowanu Kamigami to Kamigoroshi no Maou,https://myanimelist.net/anime/12293/Campione_Matsurowanu_Kamigami_to_Kamigoroshi_no_Maou,Background Art (ep 1),TV,Summer,2012,6.9,403416.0
9379,Denpa Onna to Seishun Otoko,https://myanimelist.net/anime/9379/Denpa_Onna_to_Seishun_Otoko,"Background Art (eps 1, 5, 9)",TV,Spring,2011,7.11,314337.0
27525,Fate/kaleid liner Prisma☆Illya 2wei Herz!,https://myanimelist.net/anime/27525/Fate_kaleid_liner_Prisma☆Illya_2wei_Herz,Art Director,TV,Summer,2015,7.15,149135.0
20509,Fate/kaleid liner Prisma☆Illya 2wei!,https://myanimelist.net/anime/20509/Fate_kaleid_liner_Prisma☆Illya_2wei,Art Director,TV,Summer,2014,7.2,170031.0
18851,Fate/kaleid liner Prisma☆Illya: Undoukai de Dance!,https://myanimelist.net/anime/18851/Fate_kaleid_liner_Prisma☆Illya__Undoukai_de_Dance,Art Director,OVA,,2014,6.66,55482.0
13161,Hagure Yuusha no Aesthetica,https://myanimelist.net/anime/13161/Hagure_Yuusha_no_Aesthetica,Background Art (eps 1-2),TV,Summer,2012,6.69,444522.0
21855,Hanamonogatari,https://myanimelist.net/anime/21855/Hanamonogatari,Background Art,TV Special,,2014,7.92,441218.0
15391,Kagaku na Yatsura,https://myanimelist.net/anime/15391/Kagaku_na_Yatsura,Background Art,OVA,,2013,5.68,29264.0
21563,Kamigami no Asobi,https://myanimelist.net/anime/21563/Kamigami_no_Asobi,Background Art (eps 1-12),TV,Spring,2014,6.99,150494.0
21511,Kantai Collection: KanColle,https://myanimelist.net/anime/21511/Kantai_Collection__KanColle,Background Art (ep 1),TV,Winter,2015,6.82,222583.0
15379,Kotoura-san,https://myanimelist.net/anime/15379/Kotoura-san,"Background Art (eps 1-4, 11)",TV,Winter,2013,7.15,353429.0
24629,Koufuku Graffiti,https://myanimelist.net/anime/24629/Koufuku_Graffiti,Background Art (ep 1),TV,Winter,2015,6.8,81579.0
7135,Mahou Sensei Negima! Movie: Anime Final,https://myanimelist.net/anime/7135/Mahou_Sensei_Negima_Movie__Anime_Final,Background Art,Movie,,2011,6.77,21843.0
9756,Mahou Shoujo Madoka★Magica,https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka★Magica,"Background Art (eps 8-9, 12)",TV,Winter,2011,8.37,1345699.0
31845,Masou Gakuen HxH,https://myanimelist.net/anime/31845/Masou_Gakuen_HxH,Art Director,TV,Summer,2016,6.11,307070.0
10257,Pretty Rhythm: Aurora Dream,https://myanimelist.net/anime/10257/Pretty_Rhythm__Aurora_Dream,"Background Art (eps 2, 5, 7, 31, 34, 37, 40, 43, 45-46, 48-51)",TV,Spring,2011,7.42,23926.0
11859,Queen's Blade: Rebellion,https://myanimelist.net/anime/11859/Queens_Blade__Rebellion,Background Art (eps 1-2),TV,Spring,2012,6.25,45417.0
11441,Rurouni Kenshin: Meiji Kenkaku Romantan - Shin Kyoto-hen,https://myanimelist.net/anime/11441/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Shin_Kyoto-hen,Background Art (eps 1-2),OVA,,2011,7.13,29951.0
14515,Sasami-san@Ganbaranai,https://myanimelist.net/anime/14515/Sasami-sanGanbaranai,Background Art (eps 2-12),TV,Winter,2013,6.66,84008.0
15963,Seitokai no Ichizon Lv.2: Watasu Seitokai,https://myanimelist.net/anime/15963/Seitokai_no_Ichizon_Lv2__Watasu_Seitokai,Background Art,OVA,,2013,7.28,23835.0
28025,Tsukimonogatari,https://myanimelist.net/anime/28025/Tsukimonogatari,Background Art,TV Special,,2014,8.08,431285.0
