ID,Title,Link,Roles,Type,Season,Year,Score,Members
11697,Area no Kishi,https://myanimelist.net/anime/11697/Area_no_Kishi,Background Art (ep 10),TV,Winter,2012,7.16,78577.0
3006,Atashin'chi,https://myanimelist.net/anime/3006/Atashinchi,Art Director,TV,Spring,2002,7.39,6149.0
9796,Atashin'chi 3D Movie: Jounetsu no Chou Chounouryoku Haha Dai Bousou,https://myanimelist.net/anime/9796/Atashinchi_3D_Movie__Jounetsu_no_Chou_Chounouryoku_Haha_Dai_Bousou,Art Director,Movie,,2010,6.4,883.0
8520,Biriken,https://myanimelist.net/anime/8520/Biriken,Art Director,TV,Summer,1988,,469.0
8521,Biriken Nandemo Shoukai,https://myanimelist.net/anime/8521/Biriken_Nandemo_Shoukai,Art Director,TV,Spring,1989,,438.0
1069,Chou Denji Machine Voltes V,https://myanimelist.net/anime/1069/Chou_Denji_Machine_Voltes_V,Background Art,TV,Summer,1977,7.42,8976.0
8142,Colorful (Movie),https://myanimelist.net/anime/8142/Colorful_Movie,Background Art,Movie,,2010,7.74,206147.0
6217,Crayon Shin-chan Movie 03: Unkokusai no Yabou,https://myanimelist.net/anime/6217/Crayon_Shin-chan_Movie_03__Unkokusai_no_Yabou,Background Art,Movie,,1995,6.94,6394.0
8359,Crayon Shin-chan Movie 04: Henderland no Daibouken,https://myanimelist.net/anime/8359/Crayon_Shin-chan_Movie_04__Henderland_no_Daibouken,Background Art,Movie,,1996,7.33,9556.0
6460,Crayon Shin-chan Movie 05: Ankoku Tamatama Daitsuiseki,https://myanimelist.net/anime/6460/Crayon_Shin-chan_Movie_05__Ankoku_Tamatama_Daitsuiseki,Background Art,Movie,,1997,7.42,8560.0
8361,Crayon Shin-chan Movie 07: Bakuhatsu! Onsen Wakuwaku Daikessen,https://myanimelist.net/anime/8361/Crayon_Shin-chan_Movie_07__Bakuhatsu_Onsen_Wakuwaku_Daikessen,Art Director,Movie,,1999,6.77,5024.0
8362,Crayon Shin-chan Movie 08: Arashi wo Yobu Jungle,https://myanimelist.net/anime/8362/Crayon_Shin-chan_Movie_08__Arashi_wo_Yobu_Jungle,Art Director,Movie,,2000,7.39,9276.0
3744,Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen,https://myanimelist.net/anime/3744/Crayon_Shin-chan_Movie_10__Arashi_wo_Yobu_Appare_Sengoku_Daikassen,Background Art,Movie,,2002,7.5,6445.0
8363,Crayon Shin-chan Movie 11: Arashi wo Yobu Eikou no Yakiniku Road,https://myanimelist.net/anime/8363/Crayon_Shin-chan_Movie_11__Arashi_wo_Yobu_Eikou_no_Yakiniku_Road,Background Art,Movie,,2003,7.26,5943.0
10116,Crayon Shin-chan Movie 19: Arashi wo Yobu Ougon no Spy Daisakusen,https://myanimelist.net/anime/10116/Crayon_Shin-chan_Movie_19__Arashi_wo_Yobu_Ougon_no_Spy_Daisakusen,Background Art,Movie,,2011,7.0,5993.0
10534,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,https://myanimelist.net/anime/10534/Doraemon_Movie_31__Shin_Nobita_to_Tetsujin_Heidan_-_Habatake_Tenshi-tachi,Background Art,Movie,,2011,8.29,18627.0
2648,Doraemon: 2112-nen Doraemon Tanjou,https://myanimelist.net/anime/2648/Doraemon__2112-nen_Doraemon_Tanjou,Background Art,Movie,,1995,7.36,6676.0
2651,Doraemon: Kaette Kita Doraemon (Movie),https://myanimelist.net/anime/2651/Doraemon__Kaette_Kita_Doraemon_Movie,Background Art,Movie,,1998,6.96,3166.0
2636,Dorami-chan: Arara Shounen Sanzokudan,https://myanimelist.net/anime/2636/Dorami-chan__Arara_Shounen_Sanzokudan,Art Director,Movie,,1991,6.11,959.0
1317,Eyeshield 21: Maboroshi no Golden Bowl,https://myanimelist.net/anime/1317/Eyeshield_21__Maboroshi_no_Golden_Bowl,Background Art,Special,,2004,6.61,8995.0
1193,Happy Seven: The TV Manga,https://myanimelist.net/anime/1193/Happy_Seven__The_TV_Manga,Background Art (ep 7),TV,Fall,2005,6.23,6319.0
