ID,Title,Link,Roles,Type,Season,Year,Score,Members
6452,Akuu Daisakusen Srungle,https://myanimelist.net/anime/6452/Akuu_Daisakusen_Srungle,Music,TV,Winter,1983,6.14,2252.0
39212,Daruma-san ga Koronda,https://myanimelist.net/anime/39212/Daruma-san_ga_Koronda,"Theme Song Composition, Theme Song Lyrics",Music,,1978,5.23,384.0
4242,Ginga Reppuu Baxingar,https://myanimelist.net/anime/4242/Ginga_Reppuu_Baxingar,Music,TV,Summer,1982,6.38,1978.0
4240,Ginga Senpuu Braiger,https://myanimelist.net/anime/4240/Ginga_Senpuu_Braiger,Music,TV,Fall,1981,6.74,3217.0
6796,Kyuukyoku Choujin R,https://myanimelist.net/anime/6796/Kyuukyoku_Choujin_R,Theme Song Composition,OVA,,1991,6.13,1971.0
19817,Namakemono ga Miteta,https://myanimelist.net/anime/19817/Namakemono_ga_Miteta,Music,OVA,,1988,,366.0
3136,Ochamegami Monogatari: Korokoro Pollon,https://myanimelist.net/anime/3136/Ochamegami_Monogatari__Korokoro_Pollon,"Theme Song Lyrics (OP,ED)",TV,Spring,1982,6.98,4070.0
7106,Ougon Senshi Gold Lightan,https://myanimelist.net/anime/7106/Ougon_Senshi_Gold_Lightan,Music,TV,Spring,1981,6.11,1507.0
16788,Sengoku Bushou Retsuden Bakufuu Douji Hissatsuman,https://myanimelist.net/anime/16788/Sengoku_Bushou_Retsuden_Bakufuu_Douji_Hissatsuman,Theme Song Performance (OP & ED),OVA,,1990,,543.0
31942,Shooting Hero,https://myanimelist.net/anime/31942/Shooting_Hero,"Theme Song Composition, Theme Song Lyrics",Music,,1986,5.22,404.0
55934,Taihen da,https://myanimelist.net/anime/55934/Taihen_da,Theme Song Composition,Music,,1986,,114.0
5475,Time Bokan 2000: Kaitou Kiramekiman,https://myanimelist.net/anime/5475/Time_Bokan_2000__Kaitou_Kiramekiman,Theme Song Performance (OP),TV,Spring,2000,5.91,1206.0
4578,Time Bokan Oudou Fukko,https://myanimelist.net/anime/4578/Time_Bokan_Oudou_Fukko,"Theme Song Performance (OPS 1,2)",OVA,,1993,6.06,2517.0
8011,Time Bokan Series: Gyakuten Ippatsuman,https://myanimelist.net/anime/8011/Time_Bokan_Series__Gyakuten_Ippatsuman,"Theme Song Performance (OP, ED)",TV,Winter,1982,5.87,1670.0
5344,Time Bokan Series: Itadakiman,https://myanimelist.net/anime/5344/Time_Bokan_Series__Itadakiman,Music,TV,Spring,1983,5.79,1523.0
8553,Time Bokan Series: Time Patroltai Otasukeman,https://myanimelist.net/anime/8553/Time_Bokan_Series__Time_Patroltai_Otasukeman,"Theme Song Performance (OP, EDS 1,2)",TV,Winter,1980,6.3,1671.0
3008,Time Bokan Series: Yatterman,https://myanimelist.net/anime/3008/Time_Bokan_Series__Yatterman,Music,TV,Winter,1977,6.7,5918.0
4154,Time Bokan Series: Yattodetaman,https://myanimelist.net/anime/4154/Time_Bokan_Series__Yattodetaman,Theme Song Lyrics (OP),TV,Winter,1981,6.4,2340.0
6889,Time Bokan Series: Zenderman,https://myanimelist.net/anime/6889/Time_Bokan_Series__Zenderman,Theme Song Performance (ED),TV,Winter,1979,5.86,1540.0
5022,Toushi Gordian,https://myanimelist.net/anime/5022/Toushi_Gordian,Music,TV,Fall,1979,6.33,1673.0
3361,UFO Senshi Dai Apolon,https://myanimelist.net/anime/3361/UFO_Senshi_Dai_Apolon,"Theme Song Composition (OP & ED), Theme Song Lyrics (OP & ED)",TV,Spring,1976,5.91,1692.0
10815,UFO Senshi Dai Apolon 2,https://myanimelist.net/anime/10815/UFO_Senshi_Dai_Apolon_2,"Theme Song Composition (OP & ED), Theme Song Lyrics (OP & ED)",TV,Fall,1976,6.25,1053.0
6693,Yatterman the Movie: Shin Yattermecha Dai Shuugou! Omocha no Kuni de Dai Ketsudan da Koron,https://myanimelist.net/anime/6693/Yatterman_the_Movie__Shin_Yattermecha_Dai_Shuugou_Omocha_no_Kuni_de_Dai_Ketsudan_da_Koron,Music,Movie,,2009,6.14,1197.0
18967,Zukkoke Sannin-gumi: Zukkoke Jikuu Bouken,https://myanimelist.net/anime/18967/Zukkoke_Sannin-gumi__Zukkoke_Jikuu_Bouken,Music,OVA,,1988,,725.0
