ID,Title,Link,Roles,Type,Season,Year,Score,Members
3538,Dorei Kaigo,https://myanimelist.net/anime/3538/Dorei_Kaigo,Music,OVA,,2003,6.17,4786.0
4487,Ebenbourg no Kaze,https://myanimelist.net/anime/4487/Ebenbourg_no_Kaze,Music,OVA,,2003,5.56,2120.0
4378,Hininden: Gauss,https://myanimelist.net/anime/4378/Hininden__Gauss,Music,OVA,,2005,5.65,2784.0
2371,Hotaruko,https://myanimelist.net/anime/2371/Hotaruko,Music,OVA,,2003,6.09,5307.0
221,Mezzo Forte,https://myanimelist.net/anime/221/Mezzo_Forte,Music,OVA,,2000,6.62,36106.0
1038,Mizuiro,https://myanimelist.net/anime/1038/Mizuiro,Music,OVA,,2002,5.72,2945.0
3370,Natural: Another,https://myanimelist.net/anime/3370/Natural__Another,Music,OVA,,2000,5.97,2511.0
1359,Nikutai Teni,https://myanimelist.net/anime/1359/Nikutai_Teni,Music,OVA,,2003,6.25,11673.0
211,Pure Mail,https://myanimelist.net/anime/211/Pure_Mail,Music,OVA,,2001,6.18,4047.0
2189,Shinseiki Inma Seiden,https://myanimelist.net/anime/2189/Shinseiki_Inma_Seiden,Music,OVA,,2001,6.12,3208.0
203,Words Worth,https://myanimelist.net/anime/203/Words_Worth,Music,OVA,,1999,6.72,9235.0
