ID,Title,Link,Roles,Type,Season,Year,Score,Members
37206,Anima Yell!,https://myanimelist.net/anime/37206/Anima_Yell,Inserted Song Performance (eps 9 & 12),TV,Fall,2018,6.88,45440.0
8336,Hanakappa,https://myanimelist.net/anime/8336/Hanakappa,"Theme Song Composition (OP), Theme Song Lyrics (OP), Theme Song Performance (OP)",TV,Spring,2010,6.0,1015.0
37259,Hanebado!,https://myanimelist.net/anime/37259/Hanebado,Theme Song Performance (ED),TV,Summer,2018,6.84,162000.0
35557,Houseki no Kuni,https://myanimelist.net/anime/35557/Houseki_no_Kuni,Theme Song Performance (ED),TV,Fall,2017,8.39,489835.0
35860,Karakai Jouzu no Takagi-san,https://myanimelist.net/anime/35860/Karakai_Jouzu_no_Takagi-san,Theme Song Performance (OP),TV,Winter,2018,7.68,615555.0
38993,Karakai Jouzu no Takagi-san 2,https://myanimelist.net/anime/38993/Karakai_Jouzu_no_Takagi-san_2,"Theme Song Performance (OP, ED), Inserted Song Performance (Ep.12)",TV,Summer,2019,8.03,347361.0
49721,Karakai Jouzu no Takagi-san 3,https://myanimelist.net/anime/49721/Karakai_Jouzu_no_Takagi-san_3,"Theme Song Performance (OP), Inserted Song Performance (ep.12)",TV,Winter,2022,8.38,199718.0
49722,Karakai Jouzu no Takagi-san Movie,https://myanimelist.net/anime/49722/Karakai_Jouzu_no_Takagi-san_Movie,"Theme Song Performance, Inserted Song Performance",Movie,,2022,8.43,85178.0
54492,Kusuriya no Hitorigoto,https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto,Inserted Song Performance (ep 3),TV,Fall,2023,8.88,589048.0
33489,Little Witch Academia (TV),https://myanimelist.net/anime/33489/Little_Witch_Academia_TV,"Theme Song Composition (ED2, ED3), Theme Song Lyrics (ED2, ED3), Theme Song Performance (ED2, ED3)",TV,Winter,2017,7.81,671553.0
51179,Mushoku Tensei II: Isekai Ittara Honki Dasu,https://myanimelist.net/anime/51179/Mushoku_Tensei_II__Isekai_Ittara_Honki_Dasu,"Theme Song Composition (ED2), Theme Song Lyrics (ED2), Theme Song Performance (ED2)",TV,Summer,2023,8.22,663570.0
55818,Mushoku Tensei II: Isekai Ittara Honki Dasu - Shugo Jutsushi Fitz,https://myanimelist.net/anime/55818/Mushoku_Tensei_II__Isekai_Ittara_Honki_Dasu_-_Shugo_Jutsushi_Fitz,Theme Song Performance (ED),TV Special,,2023,7.53,213799.0
55888,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,https://myanimelist.net/anime/55888/Mushoku_Tensei_II__Isekai_Ittara_Honki_Dasu_Part_2,Theme Song Performance (ED1),TV,Spring,2024,8.42,477481.0
39535,Mushoku Tensei: Isekai Ittara Honki Dasu,https://myanimelist.net/anime/39535/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu,"Theme Song Composition (OP1-2, ED), Theme Song Lyrics (OP1-2, ED), Theme Song Performance (OP1-2, ED)",TV,Winter,2021,8.36,1450096.0
45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2,Theme Song Composition,TV,Fall,2021,8.64,1025534.0
49369,Shinkai no Survival!,https://myanimelist.net/anime/49369/Shinkai_no_Survival,Theme Song Performance (ED),Movie,,2021,,447.0
