ID,Title,Link,Roles,Type,Season,Year,Score,Members
15061,Aikatsu!,https://myanimelist.net/anime/15061/Aikatsu,Key Animation (ep 29),TV,Fall,2012,7.47,45858.0
102,Aishiteruze Baby★★,https://myanimelist.net/anime/102/Aishiteruze_Baby★★,Key Animation (ep 17),TV,Spring,2004,7.43,105548.0
32171,Ange Vierge,https://myanimelist.net/anime/32171/Ange_Vierge,Animation Director (ep 5),TV,Summer,2016,5.98,57461.0
33573,BanG Dream!,https://myanimelist.net/anime/33573/BanG_Dream,Key Animation (ep 7),TV,Winter,2017,6.99,99481.0
14751,Bishoujo Senshi Sailor Moon Crystal,https://myanimelist.net/anime/14751/Bishoujo_Senshi_Sailor_Moon_Crystal,"Key Animation (eps 6, 15, 20)",ONA,,2014,7.13,153657.0
269,Bleach,https://myanimelist.net/anime/269/Bleach,Key Animation (ep 13),TV,Fall,2004,7.97,2082002.0
33486,Boku no Hero Academia 2nd Season,https://myanimelist.net/anime/33486/Boku_no_Hero_Academia_2nd_Season,Key Animation (ep 18),TV,Spring,2017,8.06,2619420.0
36456,Boku no Hero Academia 3rd Season,https://myanimelist.net/anime/36456/Boku_no_Hero_Academia_3rd_Season,"Key Animation (eps 8, 15)",TV,Spring,2018,7.99,2277323.0
54789,Boku no Hero Academia 7th Season,https://myanimelist.net/anime/54789/Boku_no_Hero_Academia_7th_Season,"Key Animation (eps 2, 5, 7-9, 12, 15, 19, 21, OP1)",TV,Spring,2024,8.07,370071.0
56685,Boku no Hero Academia: UA Heroes Battle,https://myanimelist.net/anime/56685/Boku_no_Hero_Academia__UA_Heroes_Battle,Key Animation,Movie,,2023,6.74,24885.0
55690,Boku no Kokoro no Yabai Yatsu 2nd Season,https://myanimelist.net/anime/55690/Boku_no_Kokoro_no_Yabai_Yatsu_2nd_Season,"Key Animation (eps 3, 8)",TV,Winter,2024,8.76,252429.0
50963,Delicious Party♡Precure Movie: Yume Miru Oko-sama Lunch!,https://myanimelist.net/anime/50963/Delicious_Party♡Precure_Movie__Yume_Miru_Oko-sama_Lunch,Key Animation,Movie,,2022,6.78,2490.0
30694,Dragon Ball Super,https://myanimelist.net/anime/30694/Dragon_Ball_Super,"Key Animation (eps 17, 38, 51, 65)",TV,Summer,2015,7.46,872059.0
48903,Dragon Ball Super: Super Hero,https://myanimelist.net/anime/48903/Dragon_Ball_Super__Super_Hero,Key Animation (Digital Key Animation),Movie,,2022,7.58,128963.0
3101,F-Zero: Falcon Densetsu,https://myanimelist.net/anime/3101/F-Zero__Falcon_Densetsu,"Key Animation (eps 14, 27)",TV,Fall,2003,6.52,10009.0
5973,Fight Ippatsu! Juuden-chan!!,https://myanimelist.net/anime/5973/Fight_Ippatsu_Juuden-chan,Key Animation (ep 6),TV,Summer,2009,6.59,37465.0
487,Girls Bravo: Second Season,https://myanimelist.net/anime/487/Girls_Bravo__Second_Season,"Key Animation (eps 2, 8)",TV,Winter,2005,6.59,94906.0
27631,God Eater,https://myanimelist.net/anime/27631/God_Eater,Key Animation (ep 7),TV,Summer,2015,7.18,561172.0
33378,"Haikara-san ga Tooru Movie 1: Benio, Hana no 17-sai",https://myanimelist.net/anime/33378/Haikara-san_ga_Tooru_Movie_1__Benio_Hana_no_17-sai,Key Animation,Movie,,2017,7.48,31112.0
649,Hanaukyou Maid-tai: La Verite,https://myanimelist.net/anime/649/Hanaukyou_Maid-tai__La_Verite,"Key Animation (eps 6, 10)",TV,Spring,2004,6.75,25134.0
21407,Happiness Charge Precure!,https://myanimelist.net/anime/21407/Happiness_Charge_Precure,Key Animation (ep 4),TV,Winter,2014,6.8,13420.0
30895,HaruChika: Haruta to Chika wa Seishun suru,https://myanimelist.net/anime/30895/HaruChika__Haruta_to_Chika_wa_Seishun_suru,Key Animation (ep 6),TV,Winter,2016,6.32,94475.0
6882,Hatsukoi Limited.: Gentei Shoujo,https://myanimelist.net/anime/6882/Hatsukoi_Limited__Gentei_Shoujo,2nd Key Animation (ep 1),Special,,2009,6.64,17760.0
31109,Hatsukoi Monster,https://myanimelist.net/anime/31109/Hatsukoi_Monster,"Animation Director (ep 12), Key Animation (ep 1)",TV,Summer,2016,5.44,116330.0
35075,Hoozuki no Reitetsu 2nd Season,https://myanimelist.net/anime/35075/Hoozuki_no_Reitetsu_2nd_Season,"Animation Director (eps 2, 7, 9-10, 13)",TV,Fall,2017,7.88,49207.0
37029,Hoozuki no Reitetsu 2nd Season: Sono Ni,https://myanimelist.net/anime/37029/Hoozuki_no_Reitetsu_2nd_Season__Sono_Ni,"Animation Director (eps 2, 7)",TV,Spring,2018,7.85,30655.0
37497,Irozuku Sekai no Ashita kara,https://myanimelist.net/anime/37497/Irozuku_Sekai_no_Ashita_kara,Key Animation (ep 5),TV,Fall,2018,7.52,349621.0
34012,Isekai Shokudou,https://myanimelist.net/anime/34012/Isekai_Shokudou,Animation Director (ep 3),TV,Summer,2017,7.41,272613.0
46569,Jigokuraku,https://myanimelist.net/anime/46569/Jigokuraku,Animation Director (eps 12-13),TV,Spring,2023,8.09,805420.0
22295,Juuza Engi: Engetsu Sangokuden - Gaiden Youzhou Genya,https://myanimelist.net/anime/22295/Juuza_Engi__Engetsu_Sangokuden_-_Gaiden_Youzhou_Genya,Key Animation,OVA,,2014,5.58,5358.0
33840,Kabuki-bu!,https://myanimelist.net/anime/33840/Kabuki-bu,"Animation Director (eps 2, 7-8, 12)",TV,Spring,2017,6.61,20829.0
7054,Kaichou wa Maid-sama!,https://myanimelist.net/anime/7054/Kaichou_wa_Maid-sama,2nd Key Animation (ep 12),TV,Spring,2010,7.99,1293738.0
516,Keroro Gunsou,https://myanimelist.net/anime/516/Keroro_Gunsou,Key Animation (ep 14),TV,Spring,2004,7.7,80523.0
911,Konjiki no Gash Bell!!: Mecha Vulkan no Raishuu,https://myanimelist.net/anime/911/Konjiki_no_Gash_Bell__Mecha_Vulkan_no_Raishuu,Key Animation,Movie,,2005,7.1,7645.0
22145,Kuroshitsuji: Book of Circus,https://myanimelist.net/anime/22145/Kuroshitsuji__Book_of_Circus,Key Animation (ep 5),TV,Summer,2014,8.06,424675.0
19703,Kyousou Giga (TV),https://myanimelist.net/anime/19703/Kyousou_Giga_TV,"Key Animation (eps 3, 8, 10)",TV,Fall,2013,7.69,199595.0
37023,Layton Mystery Tanteisha: Katri no Nazotoki File,https://myanimelist.net/anime/37023/Layton_Mystery_Tanteisha__Katri_no_Nazotoki_File,Key Animation (ep 24),TV,Spring,2018,7.23,18147.0
31741,Magi: Sinbad no Bouken (TV),https://myanimelist.net/anime/31741/Magi__Sinbad_no_Bouken_TV,Key Animation (ep 1),TV,Spring,2016,7.83,499950.0
875,Mind Game,https://myanimelist.net/anime/875/Mind_Game,In-Between Animation,Movie,,2004,7.79,90915.0
17074,Monogatari Series: Second Season,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,"2nd Key Animation (ep 13), Key Animation (ep 20), Assistant Animation Director (ep 13)",TV,Summer,2013,8.76,693205.0
33724,Monster Strike The Movie: Hajimari no Basho e,https://myanimelist.net/anime/33724/Monster_Strike_The_Movie__Hajimari_no_Basho_e,Key Animation,Movie,,2016,6.72,4853.0
20,Naruto,https://myanimelist.net/anime/20/Naruto,Key Animation (ep 83),TV,Fall,2002,8.01,2974322.0
6187,Nodame Cantabile OVA,https://myanimelist.net/anime/6187/Nodame_Cantabile_OVA,Key Animation,OVA,,2009,7.41,29009.0
7769,Ookami-san to Shichinin no Nakama-tachi,https://myanimelist.net/anime/7769/Ookami-san_to_Shichinin_no_Nakama-tachi,2nd Key Animation (ep 12),TV,Summer,2010,7.15,284063.0
41776,Oshiri Tantei 2nd Season,https://myanimelist.net/anime/41776/Oshiri_Tantei_2nd_Season,Key Animation (ep 14),TV,Winter,2019,,338.0
41777,Oshiri Tantei 3rd Season,https://myanimelist.net/anime/41777/Oshiri_Tantei_3rd_Season,"Animation Director (eps 6, 11)",TV,Summer,2019,,324.0
41778,Oshiri Tantei 4th Season,https://myanimelist.net/anime/41778/Oshiri_Tantei_4th_Season,"Animation Director (eps 2, 9, 13)",TV,Spring,2020,,336.0
48486,Oshiri Tantei 5th Season,https://myanimelist.net/anime/48486/Oshiri_Tantei_5th_Season,Animation Director (ep 1),TV,Spring,2021,,416.0
50799,Oshiri Tantei 6th Season,https://myanimelist.net/anime/50799/Oshiri_Tantei_6th_Season,Animation Director (ep 8),TV,Spring,2022,,324.0
19369,Outbreak Company,https://myanimelist.net/anime/19369/Outbreak_Company,Key Animation (ep 5),TV,Fall,2013,7.16,373590.0
28511,Precure All Stars Movie: Haru no Carnival♪,https://myanimelist.net/anime/28511/Precure_All_Stars_Movie__Haru_no_Carnival♪,Key Animation,Movie,,2015,6.53,4400.0
6201,Princess Lover!,https://myanimelist.net/anime/6201/Princess_Lover,"2nd Key Animation (eps 3-4, 8-9, 11)",TV,Summer,2009,6.67,236657.0
32094,Reikenzan: Hoshikuzu-tachi no Utage,https://myanimelist.net/anime/32094/Reikenzan__Hoshikuzu-tachi_no_Utage,Animation Director (ep 10),TV,Winter,2016,7.03,97910.0
25867,Rolling☆Girls,https://myanimelist.net/anime/25867/Rolling☆Girls,Key Animation (ep 9),TV,Winter,2015,6.58,92237.0
64,Rozen Maiden,https://myanimelist.net/anime/64/Rozen_Maiden,Key Animation (ep 3),TV,Fall,2004,7.4,212362.0
10156,Sacred Seven,https://myanimelist.net/anime/10156/Sacred_Seven,Key Animation (ep 10),TV,Summer,2011,6.58,80389.0
12929,Saint Seiya Omega,https://myanimelist.net/anime/12929/Saint_Seiya_Omega,Key Animation (ep 91),TV,Spring,2012,6.29,51296.0
166,Samurai 7,https://myanimelist.net/anime/166/Samurai_7,Key Animation (ep 12),TV,Summer,2004,7.43,135245.0
