ID,Title,Link,Roles,Type,Season,Year,Score,Members
8226,Akuma-kun (Movie),https://myanimelist.net/anime/8226/Akuma-kun_Movie,Theme Song Lyrics (ED),Movie,,1989,5.82,1623.0
59495,Aloha You: Kizuna,https://myanimelist.net/anime/59495/Aloha_You__Kizuna,Theme Song Lyrics,Music,,2010,,91.0
1673,Bomberman B-Daman Bakugaiden Victory,https://myanimelist.net/anime/1673/Bomberman_B-Daman_Bakugaiden_Victory,Theme Song Lyrics (OP2),TV,Winter,1999,6.47,2585.0
36402,Chiisana Tegami,https://myanimelist.net/anime/36402/Chiisana_Tegami,Theme Song Lyrics,Music,,2000,5.36,303.0
2703,Chousoku Spinner,https://myanimelist.net/anime/2703/Chousoku_Spinner,Theme Song Lyrics (OP2),TV,Fall,1998,6.65,6486.0
2450,Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,https://myanimelist.net/anime/2450/Crayon_Shin-chan_Movie_09__Arashi_wo_Yobu_Mouretsu_Otona_Teikoku_no_Gyakushuu,Theme Song Lyrics (ED),Movie,,2001,7.9,11677.0
1494,Darkside Blues,https://myanimelist.net/anime/1494/Darkside_Blues,Theme Song Lyrics (ED),Movie,,1994,6.0,11965.0
2642,Dorami-chan: Aoi Straw Hat,https://myanimelist.net/anime/2642/Dorami-chan__Aoi_Straw_Hat,Theme Song Lyrics (ED),Movie,,1994,6.04,554.0
13299,Houkago no Tinker Bell,https://myanimelist.net/anime/13299/Houkago_no_Tinker_Bell,Theme Song Lyrics (OP & ED),OVA,,1992,5.44,1311.0
2465,Idol Bouei-tai Hummingbird,https://myanimelist.net/anime/2465/Idol_Bouei-tai_Hummingbird,Theme Song Lyrics (OP1),OVA,,1993,5.81,4149.0
432,Iria: Zeiram The Animation,https://myanimelist.net/anime/432/Iria__Zeiram_The_Animation,Theme Song Lyrics (ED),OVA,,1994,7.05,29072.0
2757,Juuni Senshi Bakuretsu Eto Ranger,https://myanimelist.net/anime/2757/Juuni_Senshi_Bakuretsu_Eto_Ranger,Theme Song Lyrics (OP),TV,Spring,1995,6.99,2975.0
3110,Kaze no Naka no Shoujo: Kinpatsu no Jeanie,https://myanimelist.net/anime/3110/Kaze_no_Naka_no_Shoujo__Kinpatsu_no_Jeanie,Theme Song Lyrics (ED),TV,Fall,1992,7.03,4597.0
17719,Mahoutsukai Sally (Movie),https://myanimelist.net/anime/17719/Mahoutsukai_Sally_Movie,Theme Song Lyrics (ED),Movie,,1990,5.89,1058.0
10709,Manga Nihon Keizai Nyuumon,https://myanimelist.net/anime/10709/Manga_Nihon_Keizai_Nyuumon,Theme Song Lyrics (OP),TV,Fall,1987,,764.0
1175,Metal Fighter Miku,https://myanimelist.net/anime/1175/Metal_Fighter_Miku,Theme Song Lyrics (OP),TV,Summer,1994,6.07,5842.0
5440,Ougon Yuusha Goldran,https://myanimelist.net/anime/5440/Ougon_Yuusha_Goldran,Theme Song Lyrics (OP),TV,Winter,1995,6.98,3518.0
22313,Shinken Densetsu: Tight Road,https://myanimelist.net/anime/22313/Shinken_Densetsu__Tight_Road,Theme Song Lyrics (ED),TV,Fall,1994,,824.0
4599,Tanoshii Willow Town,https://myanimelist.net/anime/4599/Tanoshii_Willow_Town,Theme Song Lyrics (ED),TV,Fall,1993,6.27,1164.0
2179,Tokimeki Memorial: Forever With You,https://myanimelist.net/anime/2179/Tokimeki_Memorial__Forever_With_You,Theme Song Lyrics (ED1),OVA,,1999,6.04,3742.0
508,Tottoko Hamtarou,https://myanimelist.net/anime/508/Tottoko_Hamtarou,Theme Song Lyrics (ED1),TV,Summer,2000,7.01,62804.0
5473,Tsuri Baka Nisshi,https://myanimelist.net/anime/5473/Tsuri_Baka_Nisshi,Theme Song Lyrics (OP1),TV,Fall,2002,,929.0
12861,Umeboshi Denka: Uchuu no Hate kara Panparopan!,https://myanimelist.net/anime/12861/Umeboshi_Denka__Uchuu_no_Hate_kara_Panparopan,Theme Song Lyrics (ED),Movie,,1994,6.28,491.0
1744,Wagamama☆Fairy Mirumo de Pon!,https://myanimelist.net/anime/1744/Wagamama☆Fairy_Mirumo_de_Pon,Theme Song Lyrics (ED1),TV,Spring,2002,7.3,21150.0
12795,Yajikita Gakuen Douchuuki,https://myanimelist.net/anime/12795/Yajikita_Gakuen_Douchuuki,Theme Song Lyrics (ED2),OVA,,1989,5.47,2008.0
