ID,Title,Link,Roles,Type,Season,Year,Score,Members
32998,91 Days,https://myanimelist.net/anime/32998/91_Days,Director of Photography (ep 1),TV,Summer,2016,7.83,758681.0
39523,Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,https://myanimelist.net/anime/39523/Choujin_Koukousei-tachi_wa_Isekai_demo_Yoyuu_de_Ikinuku_you_desu,Director of Photography,TV,Fall,2019,6.36,288691.0
42310,Cyberpunk: Edgerunners,https://myanimelist.net/anime/42310/Cyberpunk__Edgerunners,Director of Photography,ONA,,2022,8.61,889386.0
38088,Digimon Adventure: Last Evolution Kizuna,https://myanimelist.net/anime/38088/Digimon_Adventure__Last_Evolution_Kizuna,Director of Photography,Movie,,2020,8.17,47761.0
40530,Jaku-Chara Tomozaki-kun,https://myanimelist.net/anime/40530/Jaku-Chara_Tomozaki-kun,Director of Photography,TV,Winter,2021,7.11,417297.0
53621,Jijou wo Shiranai Tenkousei ga Guigui Kuru.,https://myanimelist.net/anime/53621/Jijou_wo_Shiranai_Tenkousei_ga_Guigui_Kuru,Director of Photography,TV,Spring,2023,7.51,73693.0
49470,Mamahaha no Tsurego ga Motokano datta,https://myanimelist.net/anime/49470/Mamahaha_no_Tsurego_ga_Motokano_datta,Director of Photography,TV,Summer,2022,6.73,316041.0
36538,Natsume Yuujinchou Movie: Utsusemi ni Musubu,https://myanimelist.net/anime/36538/Natsume_Yuujinchou_Movie__Utsusemi_ni_Musubu,Director of Photography,Movie,,2018,8.42,78955.0
35905,Ryuuou no Oshigoto!,https://myanimelist.net/anime/35905/Ryuuou_no_Oshigoto,Director of Photography,TV,Winter,2018,6.82,202118.0
34177,Tenshi no 3P!,https://myanimelist.net/anime/34177/Tenshi_no_3P,Director of Photography,TV,Summer,2017,6.6,67793.0
