ID,Title,Link,Roles,Type,Season,Year,Score,Members
309,Akahori Gedou Hour Rabuge,https://myanimelist.net/anime/309/Akahori_Gedou_Hour_Rabuge,Planning,TV,Summer,2005,6.11,6894.0
4744,Akaneiro ni Somaru Saka,https://myanimelist.net/anime/4744/Akaneiro_ni_Somaru_Saka,Planning,TV,Fall,2008,6.38,154922.0
11111,Another,https://myanimelist.net/anime/11111/Another,Producer,TV,Winter,2012,7.46,1723824.0
11701,Another: The Other - Inga,https://myanimelist.net/anime/11701/Another__The_Other_-_Inga,Producer,OVA,,2012,7.25,195388.0
16518,Arata Kangatari,https://myanimelist.net/anime/16518/Arata_Kangatari,Planning,TV,Spring,2013,6.42,74612.0
1554,Asatte no Houkou.,https://myanimelist.net/anime/1554/Asatte_no_Houkou,Planning,TV,Fall,2006,7.01,25794.0
4999,Asu no Yoichi!,https://myanimelist.net/anime/4999/Asu_no_Yoichi,Planning,TV,Winter,2009,6.67,212484.0
14669,Aura: Maryuuin Kouga Saigo no Tatakai,https://myanimelist.net/anime/14669/Aura__Maryuuin_Kouga_Saigo_no_Tatakai,Planning,Movie,,2013,7.27,124927.0
10196,Baby Princess 3D Paradise 0 [Love],https://myanimelist.net/anime/10196/Baby_Princess_3D_Paradise_0_Love,Planning,OVA,,2011,6.37,31297.0
6347,Baka to Test to Shoukanjuu,https://myanimelist.net/anime/6347/Baka_to_Test_to_Shoukanjuu,Planning,TV,Winter,2010,7.5,651709.0
8516,Baka to Test to Shoukanjuu Ni!,https://myanimelist.net/anime/8516/Baka_to_Test_to_Shoukanjuu_Ni,Planning,TV,Summer,2011,7.66,378610.0
9471,Baka to Test to Shoukanjuu: Matsuri,https://myanimelist.net/anime/9471/Baka_to_Test_to_Shoukanjuu__Matsuri,Planning,OVA,,2011,7.55,128621.0
9907,Bokura no Live Kimi to no Life,https://myanimelist.net/anime/9907/Bokura_no_Live_Kimi_to_no_Life,Executive Producer,Music,,2010,7.06,20593.0
22433,Break Blade,https://myanimelist.net/anime/22433/Break_Blade,Planning,TV,Spring,2014,7.24,98919.0
8514,Break Blade Movie 2: Ketsubetsu no Michi,https://myanimelist.net/anime/8514/Break_Blade_Movie_2__Ketsubetsu_no_Michi,Planning,Movie,,2010,7.7,63182.0
12293,Campione! Matsurowanu Kamigami to Kamigoroshi no Maou,https://myanimelist.net/anime/12293/Campione_Matsurowanu_Kamigami_to_Kamigoroshi_no_Maou,Planning,TV,Summer,2012,6.9,403444.0
2127,Chouja Raideen,https://myanimelist.net/anime/2127/Chouja_Raideen,Music,TV,Fall,1996,6.4,3056.0
11703,Code:Breaker,https://myanimelist.net/anime/11703/Code_Breaker,Planning,TV,Fall,2012,6.71,344463.0
15633,Code:Breaker OVA,https://myanimelist.net/anime/15633/Code_Breaker_OVA,Planning,OVA,,2012,6.7,33651.0
31318,Comet Lucifer,https://myanimelist.net/anime/31318/Comet_Lucifer,Planning,TV,Fall,2015,5.83,108552.0
14827,D.C.III: Da Capo III,https://myanimelist.net/anime/14827/DCIII__Da_Capo_III,Executive Producer,TV,Winter,2013,6.5,31619.0
12549,"Dakara Boku wa, H ga Dekinai.",https://myanimelist.net/anime/12549/Dakara_Boku_wa_H_ga_Dekinai,Planning,TV,Summer,2012,6.53,434214.0
14893,"Dakara Boku wa, H ga Dekinai. Mie Sugi! Mizugi Contest",https://myanimelist.net/anime/14893/Dakara_Boku_wa_H_ga_Dekinai_Mie_Sugi_Mizugi_Contest,Planning,OVA,,2013,6.62,67805.0
63,DearS,https://myanimelist.net/anime/63/DearS,Planning,TV,Summer,2004,6.54,152937.0
8086,Densetsu no Yuusha no Densetsu,https://myanimelist.net/anime/8086/Densetsu_no_Yuusha_no_Densetsu,Planning,TV,Summer,2010,7.49,313457.0
10260,Eiyuu Densetsu: Sora no Kiseki The Animation,https://myanimelist.net/anime/10260/Eiyuu_Densetsu__Sora_no_Kiseki_The_Animation,Executive Producer,OVA,,2011,6.42,18254.0
1581,Gift: Eternal Rainbow,https://myanimelist.net/anime/1581/Gift__Eternal_Rainbow,Executive Producer,TV,Fall,2006,6.55,32745.0
18617,Girls & Panzer Movie,https://myanimelist.net/anime/18617/Girls___Panzer_Movie,Planning,Movie,,2015,8.18,112060.0
18619,Girls & Panzer: Kore ga Hontou no Anzio-sen desu!,https://myanimelist.net/anime/18619/Girls___Panzer__Kore_ga_Hontou_no_Anzio-sen_desu,Planning,OVA,,2014,7.72,51267.0
33970,Girls & Panzer: Saishuushou Part 1,https://myanimelist.net/anime/33970/Girls___Panzer__Saishuushou_Part_1,Planning,Movie,,2017,7.95,53540.0
38081,Girls & Panzer: Saishuushou Part 2,https://myanimelist.net/anime/38081/Girls___Panzer__Saishuushou_Part_2,Planning,Movie,,2019,8.07,41085.0
39166,Girls & Panzer: Saishuushou Part 3,https://myanimelist.net/anime/39166/Girls___Panzer__Saishuushou_Part_3,Planning,Movie,,2021,8.17,31645.0
27631,God Eater,https://myanimelist.net/anime/27631/God_Eater,Planning,TV,Summer,2015,7.18,561187.0
15613,Hakkenden: Touhou Hakken Ibun,https://myanimelist.net/anime/15613/Hakkenden__Touhou_Hakken_Ibun,Planning,TV,Winter,2013,7.38,117814.0
18055,Hakkenden: Touhou Hakken Ibun 2nd Season,https://myanimelist.net/anime/18055/Hakkenden__Touhou_Hakken_Ibun_2nd_Season,Planning,TV,Summer,2013,7.6,65452.0
9289,Hanasaku Iroha,https://myanimelist.net/anime/9289/Hanasaku_Iroha,Executive Producer,TV,Spring,2011,7.89,339554.0
14175,Hanasaku Iroha Movie: Home Sweet Home,https://myanimelist.net/anime/14175/Hanasaku_Iroha_Movie__Home_Sweet_Home,Executive Producer,Movie,,2013,7.83,94718.0
15809,Hataraku Maou-sama!,https://myanimelist.net/anime/15809/Hataraku_Maou-sama,Planning,TV,Spring,2013,7.71,1613388.0
5150,Hatsukoi Limited.,https://myanimelist.net/anime/5150/Hatsukoi_Limited,Planning,TV,Spring,2009,7.26,104580.0
27989,Hibike! Euphonium,https://myanimelist.net/anime/27989/Hibike_Euphonium,Planning,TV,Spring,2015,8.02,487807.0
12189,Hyouka,https://myanimelist.net/anime/12189/Hyouka,Planning,TV,Spring,2012,8.06,1426996.0
13469,Hyouka: Motsubeki Mono wa,https://myanimelist.net/anime/13469/Hyouka__Motsubeki_Mono_wa,Planning,OVA,,2012,7.35,196113.0
33899,IDOLiSH7,https://myanimelist.net/anime/33899/IDOLiSH7,Planning,TV,Winter,2018,7.69,75312.0
37962,IDOLiSH7 Second Beat!,https://myanimelist.net/anime/37962/IDOLiSH7_Second_Beat,Planning,TV,Spring,2020,8.14,33824.0
9041,IS: Infinite Stratos,https://myanimelist.net/anime/9041/IS__Infinite_Stratos,Planning,TV,Winter,2011,6.61,658865.0
18247,IS: Infinite Stratos 2,https://myanimelist.net/anime/18247/IS__Infinite_Stratos_2,Planning,TV,Fall,2013,6.45,405272.0
21653,IS: Infinite Stratos 2 - World Purge-hen,https://myanimelist.net/anime/21653/IS__Infinite_Stratos_2_-_World_Purge-hen,Planning,OVA,,2014,6.84,84901.0
10794,IS: Infinite Stratos Encore - Koi ni Kogareru Rokujuusou,https://myanimelist.net/anime/10794/IS__Infinite_Stratos_Encore_-_Koi_ni_Kogareru_Rokujuusou,Planning,OVA,,2011,6.82,125948.0
10357,Jinrui wa Suitai Shimashita,https://myanimelist.net/anime/10357/Jinrui_wa_Suitai_Shimashita,Planning,TV,Summer,2012,7.71,195933.0
26441,Junketsu no Maria,https://myanimelist.net/anime/26441/Junketsu_no_Maria,Planning,TV,Winter,2015,7.1,159050.0
2130,Kaibutsu Oujo,https://myanimelist.net/anime/2130/Kaibutsu_Oujo,Planning,TV,Spring,2007,6.96,83975.0
10568,Kamisama no Memochou,https://myanimelist.net/anime/10568/Kamisama_no_Memochou,Planning,TV,Summer,2011,7.46,245057.0
16035,Karneval (TV),https://myanimelist.net/anime/16035/Karneval_TV,Planning,TV,Spring,2013,7.07,220619.0
6205,Kämpfer,https://myanimelist.net/anime/6205/Kämpfer,Planning,TV,Fall,2009,6.35,297111.0
10076,Kämpfer für die Liebe,https://myanimelist.net/anime/10076/Kämpfer_für_die_Liebe,Planning,Special,,2011,6.43,63441.0
1725,Keitai Shoujo,https://myanimelist.net/anime/1725/Keitai_Shoujo,Producer,ONA,,2007,5.2,5784.0
3349,Kiddy GiRL-AND,https://myanimelist.net/anime/3349/Kiddy_GiRL-AND,Planning,TV,Fall,2009,6.81,18678.0
37968,Kirakira Happy★Hirake! Cocotama,https://myanimelist.net/anime/37968/Kirakira_Happy★Hirake_Cocotama,Planning,TV,Fall,2018,6.66,1358.0
2403,Kodomo no Jikan (TV),https://myanimelist.net/anime/2403/Kodomo_no_Jikan_TV,Planning,TV,Fall,2007,6.68,115204.0
12175,Koi to Senkyo to Chocolate,https://myanimelist.net/anime/12175/Koi_to_Senkyo_to_Chocolate,Planning,TV,Summer,2012,6.96,258870.0
1864,Koisuru Tenshi Angelique: Kagayaki no Ashita,https://myanimelist.net/anime/1864/Koisuru_Tenshi_Angelique__Kagayaki_no_Ashita,Planning,TV,Winter,2007,6.89,11774.0
1578,Koisuru Tenshi Angelique: Kokoro no Mezameru Toki,https://myanimelist.net/anime/1578/Koisuru_Tenshi_Angelique__Kokoro_no_Mezameru_Toki,Planning,TV,Summer,2006,6.82,12615.0
13367,"Kono Naka ni Hitori, Imouto ga Iru!",https://myanimelist.net/anime/13367/Kono_Naka_ni_Hitori_Imouto_ga_Iru,Planning,TV,Summer,2012,6.49,217832.0
11771,Kuroko no Basket,https://myanimelist.net/anime/11771/Kuroko_no_Basket,Planning,TV,Spring,2012,8.05,1255586.0
16894,Kuroko no Basket 2nd Season,https://myanimelist.net/anime/16894/Kuroko_no_Basket_2nd_Season,Planning,TV,Fall,2013,8.2,889911.0
24415,Kuroko no Basket 3rd Season,https://myanimelist.net/anime/24415/Kuroko_no_Basket_3rd_Season,Planning,TV,Winter,2015,8.29,795085.0
