ID,Title,Link,Roles,Type,Season,Year,Score,Members
1798,Animation Seisaku Shinkou Kuromi-chan 2,https://myanimelist.net/anime/1798/Animation_Seisaku_Shinkou_Kuromi-chan_2,Key Animation,OVA,,2004,6.91,6853.0
9858,Bakusou Kyoudai Let's & Go!! WGP Bousou Mini Yonku Daitsuiseki,https://myanimelist.net/anime/9858/Bakusou_Kyoudai_Lets___Go_WGP_Bousou_Mini_Yonku_Daitsuiseki,In-Between Animation,Movie,,1997,6.37,1466.0
889,Black Lagoon,https://myanimelist.net/anime/889/Black_Lagoon,"Animation Director (ep 11), Key Animation (eps 6, 9, OP)",TV,Spring,2006,8.03,1057881.0
4901,Black Lagoon: Roberta's Blood Trail,https://myanimelist.net/anime/4901/Black_Lagoon__Robertas_Blood_Trail,"Animation Director (eps 2-3, 5), 2nd Key Animation (ep 1), Key Animation (eps 3-4)",OVA,,2010,8.02,315016.0
1519,Black Lagoon: The Second Barrage,https://myanimelist.net/anime/1519/Black_Lagoon__The_Second_Barrage,"Animation Director (ep 12), Key Animation (OP)",TV,Fall,2006,8.17,540550.0
150,Blood+,https://myanimelist.net/anime/150/Blood_,Key Animation (OP1-2),TV,Fall,2005,7.61,387608.0
999,Blue Seed 2,https://myanimelist.net/anime/999/Blue_Seed_2,In-Between Animation (ep 3),OVA,,1996,6.41,7592.0
1690,Bokura no,https://myanimelist.net/anime/1690/Bokura_no,"Chief Animation Director (Assistant Chief Animation Director: eps 2-6, 8, 11, 18-20), Animation Director (eps 1, 24)",TV,Spring,2007,7.59,196824.0
232,Cardcaptor Sakura,https://myanimelist.net/anime/232/Cardcaptor_Sakura,Key Animation (ep 36),TV,Spring,1998,8.17,455362.0
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,https://myanimelist.net/anime/372/Cardcaptor_Sakura_Movie_2__Fuuin_Sareta_Card,Key Animation,Movie,,2000,8.21,119694.0
60,Chrno Crusade,https://myanimelist.net/anime/60/Chrno_Crusade,Animation Director (ep 14),TV,Fall,2003,7.6,232098.0
39175,Cider no You ni Kotoba ga Wakiagaru,https://myanimelist.net/anime/39175/Cider_no_You_ni_Kotoba_ga_Wakiagaru,Key Animation,Movie,,2021,7.39,248963.0
1683,Di Gi Charat Nyo,https://myanimelist.net/anime/1683/Di_Gi_Charat_Nyo,Key Animation (OP2),TV,Spring,2003,7.05,8683.0
7750,DigiGirl Pop!: Strawberry & Pop Mix Flavor,https://myanimelist.net/anime/7750/DigiGirl_Pop__Strawberry___Pop_Mix_Flavor,Character Design,TV,Winter,2003,5.79,783.0
41361,Eiga Daisuki Pompo-san,https://myanimelist.net/anime/41361/Eiga_Daisuki_Pompo-san,Character Design (Sub Character Design),Movie,,2021,8.14,57898.0
2759,Evangelion Movie 1: Jo,https://myanimelist.net/anime/2759/Evangelion_Movie_1__Jo,Key Animation,Movie,,2007,8.0,590120.0
3784,Evangelion Movie 2: Ha,https://myanimelist.net/anime/3784/Evangelion_Movie_2__Ha,Key Animation,Movie,,2009,8.3,567073.0
8503,Fushigi Mahou Fun Fun Pharmacy,https://myanimelist.net/anime/8503/Fushigi_Mahou_Fun_Fun_Pharmacy,Key Animation (ep 48),TV,Winter,1998,7.04,4350.0
239,Gankutsuou,https://myanimelist.net/anime/239/Gankutsuou,"Key Animation (eps 1, 7, 11, 17, OP, ED1)",TV,Fall,2004,8.11,259576.0
649,Hanaukyou Maid-tai: La Verite,https://myanimelist.net/anime/649/Hanaukyou_Maid-tai__La_Verite,Key Animation (ep 8),TV,Spring,2004,6.75,25134.0
958,Heat Guy J,https://myanimelist.net/anime/958/Heat_Guy_J,Key Animation (ep 25),TV,Fall,2002,7.12,20332.0
379,Heppoko Jikken Animation Excel♥Saga,https://myanimelist.net/anime/379/Heppoko_Jikken_Animation_Excel♥Saga,"Key Animation (eps 2, 22)",TV,Fall,1999,7.48,114369.0
39938,Inu-Ou,https://myanimelist.net/anime/39938/Inu-Ou,Key Animation,Movie,,2022,7.78,34322.0
218,Kidou Senkan Nadesico,https://myanimelist.net/anime/218/Kidou_Senkan_Nadesico,"In-Between Animation (eps 1, 3, 14, 19, 25-26)",TV,Fall,1996,7.49,57467.0
