ID,Title,Link,Roles,Type,Season,Year,Score,Members
40148,22/7,https://myanimelist.net/anime/40148/22_7,Storyboard (ep 10),TV,Winter,2020,6.79,49126.0
8812,Alice SOS,https://myanimelist.net/anime/8812/Alice_SOS,"Director, Storyboard (eps 1-2, 27-28)",TV,Spring,1998,6.04,2515.0
49780,Atasha Kawashiri Kodama da yo: Dangerous Lifehacker no Tadareta Seikatsu,https://myanimelist.net/anime/49780/Atasha_Kawashiri_Kodama_da_yo__Dangerous_Lifehacker_no_Tadareta_Seikatsu,"Director, Storyboard (eps 1, 3-12)",TV,Winter,2022,5.72,9047.0
22789,Barakamon,https://myanimelist.net/anime/22789/Barakamon,Episode Director (ep 5),TV,Summer,2014,8.37,687898.0
150,Blood+,https://myanimelist.net/anime/150/Blood_,Storyboard (ep 24),TV,Fall,2005,7.61,387608.0
15605,Brothers Conflict,https://myanimelist.net/anime/15605/Brothers_Conflict,"Storyboard (eps 5, 12), Episode Director (eps 1, 12), Assistant Director",TV,Summer,2013,5.89,189724.0
25437,Brothers Conflict OVA,https://myanimelist.net/anime/25437/Brothers_Conflict_OVA,Assistant Director (ep 1),OVA,,2014,6.47,28873.0
22745,Brothers Conflict: Setsubou,https://myanimelist.net/anime/22745/Brothers_Conflict__Setsubou,Storyboard,Special,,2014,6.42,23137.0
21677,Captain Earth,https://myanimelist.net/anime/21677/Captain_Earth,Storyboard (ep 17),TV,Spring,2014,6.4,68737.0
1153,Crying Freeman,https://myanimelist.net/anime/1153/Crying_Freeman,Assistant Director (ep 6),OVA,,1988,6.4,13387.0
233,Daa! Daa! Daa!,https://myanimelist.net/anime/233/Daa_Daa_Daa,"Storyboard (eps 6, 16, 27, 77), Episode Director (eps 16, 27, 38, 77)",TV,Spring,2000,7.63,26953.0
2025,Darker than Black: Kuro no Keiyakusha,https://myanimelist.net/anime/2025/Darker_than_Black__Kuro_no_Keiyakusha,"Storyboard (ep 26), Episode Director (eps 3, 7, 14, 19, 26)",TV,Spring,2007,8.04,976366.0
6573,Darker than Black: Ryuusei no Gemini,https://myanimelist.net/anime/6573/Darker_than_Black__Ryuusei_no_Gemini,"Storyboard (ep 7), Episode Director (OP, ep 7)",TV,Fall,2009,7.42,421103.0
1683,Di Gi Charat Nyo,https://myanimelist.net/anime/1683/Di_Gi_Charat_Nyo,"Storyboard (eps 47-48, 99)",TV,Spring,2003,7.05,8683.0
2471,Doraemon (1979),https://myanimelist.net/anime/2471/Doraemon_1979,Storyboard,TV,Spring,1979,7.87,67289.0
8687,Doraemon (2005),https://myanimelist.net/anime/8687/Doraemon_2005,"Storyboard (eps 826, 985)",TV,Spring,2005,7.72,21537.0
9493,Dororon Enma-kun Meeramera,https://myanimelist.net/anime/9493/Dororon_Enma-kun_Meeramera,Storyboard (ep 5),TV,Spring,2011,6.45,19139.0
9837,Emblem Take 2,https://myanimelist.net/anime/9837/Emblem_Take_2,Assistant Director (ep 2),OVA,,1993,6.59,2553.0
121,Fullmetal Alchemist,https://myanimelist.net/anime/121/Fullmetal_Alchemist,"Storyboard (eps 3, 37, 47), Episode Director (eps 3, 37, 47)",TV,Fall,2003,8.11,1512515.0
430,Fullmetal Alchemist: The Conqueror of Shamballa,https://myanimelist.net/anime/430/Fullmetal_Alchemist__The_Conqueror_of_Shamballa,"Storyboard, Episode Director",Movie,,2005,7.5,338880.0
23343,Futari no Oujisama,https://myanimelist.net/anime/23343/Futari_no_Oujisama,Assistant Director,Movie,,1996,5.96,542.0
