ID,Title,Link,Roles,Type,Season,Year,Score,Members
31173,Akagami no Shirayuki-hime 2nd Season,https://myanimelist.net/anime/31173/Akagami_no_Shirayuki-hime_2nd_Season,"Key Animation (eps 13, 19, 24), Assistant Animation Director (ep 22)",TV,Winter,2016,7.97,375219.0
14373,Arata naru Sekai: World's/Start/Load/End,https://myanimelist.net/anime/14373/Arata_naru_Sekai__Worlds_Start_Load_End,In-Between Animation,OVA,,2012,6.24,21108.0
28249,Arslan Senki (TV),https://myanimelist.net/anime/28249/Arslan_Senki_TV,Key Animation (OP2),TV,Spring,2015,7.65,386538.0
34636,Ballroom e Youkoso,https://myanimelist.net/anime/34636/Ballroom_e_Youkoso,"Animation Director (Action Animation Director, eps 3, 6, 8, 10, 12, 14), Key Animation (OP, eps 16, 24)",TV,Summer,2017,8.18,349162.0
6920,Blade,https://myanimelist.net/anime/6920/Blade,"In-Between Animation (eps 3, 7)",TV,Summer,2011,6.22,29862.0
50183,Blue Giant,https://myanimelist.net/anime/50183/Blue_Giant,Key Animation,Movie,,2023,8.39,38484.0
21405,Bokura wa Minna Kawai-sou,https://myanimelist.net/anime/21405/Bokura_wa_Minna_Kawai-sou,Key Animation (OP),TV,Spring,2014,7.65,394413.0
10800,Chihayafuru,https://myanimelist.net/anime/10800/Chihayafuru,"In-Between Animation (eps 1, 5-6, 11, 14, 16, 19, 25)",TV,Fall,2011,8.18,478301.0
14397,Chihayafuru 2,https://myanimelist.net/anime/14397/Chihayafuru_2,"2nd Key Animation (eps 7, 13), Key Animation (eps 20, 25)",TV,Winter,2013,8.38,243696.0
14353,Death Billiards,https://myanimelist.net/anime/14353/Death_Billiards,Key Animation,Movie,,2013,7.87,246071.0
28223,Death Parade,https://myanimelist.net/anime/28223/Death_Parade,"Animation Director (eps 8, 12), Key Animation (OP, ep 1-2, 5-6, 8-9, 12 )",TV,Winter,2015,8.14,1844271.0
40056,Deca-Dence,https://myanimelist.net/anime/40056/Deca-Dence,"Storyboard (ED), Episode Director (ED), 2nd Key Animation (ep 1, 7), Background Art (ED), Key Animation (ED, ep 1, 3, 7, 9, 12)",TV,Summer,2020,7.35,313879.0
18689,Diamond no Ace,https://myanimelist.net/anime/18689/Diamond_no_Ace,"Key Animation (OP1, ED2)",TV,Fall,2013,8.11,255217.0
30230,Diamond no Ace: Second Season,https://myanimelist.net/anime/30230/Diamond_no_Ace__Second_Season,2nd Key Animation (ep 9),TV,Spring,2015,8.3,143605.0
32608,Endride,https://myanimelist.net/anime/32608/Endride,"Animation Director (ep 6), Key Animation (ep 6)",TV,Spring,2016,5.58,76766.0
35842,FLCL Alternative,https://myanimelist.net/anime/35842/FLCL_Alternative,"2nd Key Animation, Key Animation",Movie,,2018,6.47,101119.0
51305,FLCL: Shoegaze,https://myanimelist.net/anime/51305/FLCL__Shoegaze,Key Animation (ep 1),TV,Fall,2023,6.17,21489.0
31931,Full Metal Panic! Invisible Victory,https://myanimelist.net/anime/31931/Full_Metal_Panic_Invisible_Victory,"Key Animation (OP, ED solo)",TV,Spring,2018,7.57,103059.0
10271,Gyakkyou Burai Kaiji: Hakairoku-hen,https://myanimelist.net/anime/10271/Gyakkyou_Burai_Kaiji__Hakairoku-hen,In-Between Animation (ep 23),TV,Spring,2011,8.24,203119.0
32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,"Key Animation (OP, eps 2, 4, 9-10, Eyecatch 1-3, 5-9)",TV,Fall,2016,8.77,1264266.0
28891,Haikyuu!! Second Season,https://myanimelist.net/anime/28891/Haikyuu_Second_Season,"2nd Key Animation (ED1), In-Between Animation (ep 20), Key Animation (OP2, eps 8, 10, 15, 20, 24)",TV,Fall,2015,8.62,1496767.0
40776,Haikyuu!! To the Top Part 2,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2,Key Animation (ep 11),TV,Fall,2020,8.55,872588.0
11061,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,"2nd Key Animation (eps 65, 92, 114, 148), Key Animation (OP5, ED5, eps 73, 75, 78, 81, 85, 94, 100, 107, 11)",TV,Fall,2011,9.03,2996854.0
19951,Hunter x Hunter Movie 2: The Last Mission,https://myanimelist.net/anime/19951/Hunter_x_Hunter_Movie_2__The_Last_Mission,Key Animation,Movie,,2013,7.28,190523.0
16009,Kamisama no Inai Nichiyoubi,https://myanimelist.net/anime/16009/Kamisama_no_Inai_Nichiyoubi,"2nd Key Animation (OP, eps 3, 8, 11, 13)",TV,Summer,2013,7.27,227163.0
37965,Kaze ga Tsuyoku Fuiteiru,https://myanimelist.net/anime/37965/Kaze_ga_Tsuyoku_Fuiteiru,Key Animation (OP 2),TV,Fall,2018,8.38,317139.0
